label,n_observations,run,shared_all_local_log_likelihood,local_all_local_log_likelihood,invalid_shared_k,valid_shared_all_local_k,local_k,invalid_shared_bic,local_bic,invalid_shared_bic_weight
INVALID: all-local optimization with shared-model penalty,2,0,1.8676509857177734,1.2949378490447998,3,4,4,-1.6558604297557111,0.18271302415018154,0.7148967491120471
INVALID: all-local optimization with shared-model penalty,2,1,1.3008038997650146,0.6638102531433105,3,4,4,-0.5221662578501935,1.44496821595316,0.7278154603924271
INVALID: all-local optimization with shared-model penalty,2,2,0.18259692192077637,-0.5321614742279053,3,4,4,1.714247697838283,3.8369116706955917,0.7429450073445939
INVALID: all-local optimization with shared-model penalty,2,3,1.1478044986724854,0.3647117614746094,3,4,4,-0.21616745566513496,2.0431651992905624,0.7557773157562216
INVALID: all-local optimization with shared-model penalty,2,4,1.8114218711853027,1.063478946685791,3,4,4,-1.5434022006907697,0.6456308288681991,0.7492312563204729
INVALID: all-local optimization with shared-model penalty,2,5,0.9732944965362549,0.07908773422241211,3,4,4,0.13285254860732598,2.614413253794957,0.7756998167234251
INVALID: all-local optimization with shared-model penalty,2,6,1.7772176265716553,1.376774549484253,3,4,4,-1.4749937114634748,0.019039623271275286,0.6785282987410817
INVALID: all-local optimization with shared-model penalty,2,7,0.6942856311798096,-0.07984590530395508,3,4,4,0.6908702793202166,2.9322805328476913,0.7541194867976863
INVALID: all-local optimization with shared-model penalty,2,8,1.3713741302490234,0.4911165237426758,3,4,4,-0.6633067188182111,1.7903556747544296,0.7732634784143559
INVALID: all-local optimization with shared-model penalty,2,9,1.752399206161499,1.1580839157104492,3,4,4,-1.4253568706431623,0.4564208908188827,0.7192791722090256
INVALID: all-local optimization with shared-model penalty,2,10,0.21068525314331055,-0.674506664276123,3,4,4,1.6580710353932147,4.121602050792028,0.7741274300192332
INVALID: all-local optimization with shared-model penalty,2,11,1.0940897464752197,0.37628912925720215,3,4,4,-0.1087379512706037,2.020010463725377,0.7435255742581418
INVALID: all-local optimization with shared-model penalty,2,12,2.2226192951202393,1.7984178066253662,3,4,4,-2.3657970485606428,-0.8242468910109513,0.6836885349858957
INVALID: all-local optimization with shared-model penalty,2,13,0.9472200870513916,0.40073513984680176,3,4,4,0.18500136757705254,1.9711184425461776,0.7095209438449426
INVALID: all-local optimization with shared-model penalty,2,14,1.793543815612793,0.9924359321594238,3,4,4,-1.5076460895457502,0.7877168579209335,0.7590871738885587
INVALID: all-local optimization with shared-model penalty,2,15,1.6602811813354492,1.0714318752288818,3,4,4,-1.2411208209910627,0.6297249717820175,0.7181741773207863
INVALID: all-local optimization with shared-model penalty,2,16,1.238483190536499,0.48557281494140625,3,4,4,-0.3975248393931623,1.8014430923569686,0.7501634038571033
INVALID: all-local optimization with shared-model penalty,2,17,2.033475399017334,1.4075915813446045,3,4,4,-1.9875092563548322,-0.04259444044942784,0.725609040254273
INVALID: all-local optimization with shared-model penalty,2,18,-0.22788071632385254,-1.0873475074768066,3,4,4,2.535202974327541,4.947283737193395,0.7695975904290524
INVALID: all-local optimization with shared-model penalty,2,19,2.093249559402466,1.5480632781982422,3,4,4,-2.107057577125096,-0.32353783415670323,0.7092532147063872
INVALID: all-local optimization with shared-model penalty,2,20,1.5601811408996582,0.9666478633880615,3,4,4,-1.0409207401194807,0.8392929954636581,0.7191212437068328
INVALID: all-local optimization with shared-model penalty,2,21,1.6797356605529785,0.6958925724029541,3,4,4,-1.2800297794261213,1.380803577433873,0.79090954993226
INVALID: all-local optimization with shared-model penalty,2,22,1.460085391998291,0.623558521270752,3,4,4,-0.8407292423167463,1.5254716796982772,0.7655048168937131
INVALID: all-local optimization with shared-model penalty,2,23,1.0017952919006348,0.41634106636047363,3,4,4,0.07585095787856622,1.9399065895188339,0.7174865042059568
INVALID: all-local optimization with shared-model penalty,2,24,2.050748586654663,1.7749507427215576,3,4,4,-2.0220556316294904,-0.7773127632033341,0.6507577019448537
INVALID: all-local optimization with shared-model penalty,2,25,0.649611234664917,-0.011236190795898438,3,4,4,0.7802190723500018,2.795061103831578,0.7325151346557618
INVALID: all-local optimization with shared-model penalty,2,26,1.4539954662322998,0.8344712257385254,3,4,4,-0.8285493907847639,1.1036462707627304,0.7243410298305499
INVALID: all-local optimization with shared-model penalty,2,27,1.0492732524871826,0.40510010719299316,3,4,4,-0.019104963294529487,1.9623885078537948,0.7292353913728578
INVALID: all-local optimization with shared-model penalty,2,28,1.5239613056182861,0.8550608158111572,3,4,4,-0.9684810695567365,1.0624670906174667,0.7340900680962915
INVALID: all-local optimization with shared-model penalty,2,29,0.8939850330352783,0.12438154220581055,3,4,4,0.2914714756092791,2.52382563782816,0.7532789159123682
INVALID: all-local optimization with shared-model penalty,2,30,-0.5497040748596191,-1.411863088607788,3,4,4,3.178849691399074,5.596314899455358,0.770074621112842
INVALID: all-local optimization with shared-model penalty,2,31,2.008788585662842,1.4726934432983398,3,4,4,-1.9381356296458478,-0.17279816435689854,0.7073749426607353
INVALID: all-local optimization with shared-model penalty,2,32,1.5792968273162842,0.943634033203125,3,4,4,-1.0791521129527326,0.8853206558335311,0.7275517384374849
INVALID: all-local optimization with shared-model penalty,2,33,-0.9566807746887207,-1.8783957958221436,3,4,4,3.992803091057277,6.529380313884069,0.7804496456554108
INVALID: all-local optimization with shared-model penalty,2,34,0.877265453338623,0.2932116985321045,3,4,4,0.32491063500258965,2.186165325175572,0.717202542876223
INVALID: all-local optimization with shared-model penalty,2,35,1.5382375717163086,0.9181950092315674,3,4,4,-0.9970336017527814,0.9361987037766464,0.7244445117185679
INVALID: all-local optimization with shared-model penalty,2,36,1.7270610332489014,1.1366515159606934,3,4,4,-1.374680524817967,0.4992856903183944,0.7184898565876208
INVALID: all-local optimization with shared-model penalty,2,37,1.6358540058135986,1.0732331275939941,3,4,4,-1.1922664699473615,0.6261224670517929,0.7128352978133303
INVALID: all-local optimization with shared-model penalty,2,38,1.8910703659057617,1.3824732303619385,3,4,4,-1.7026991901316877,0.007642261515904192,0.7016506940771126
INVALID: all-local optimization with shared-model penalty,2,39,1.8447091579437256,1.2288410663604736,3,4,4,-1.6099767742076154,0.3149065895188339,0.7236104040842416
INVALID: all-local optimization with shared-model penalty,2,40,0.41835451126098633,-0.32030320167541504,3,4,4,1.242732519157863,3.4131951255906112,0.7474826817385772
INVALID: all-local optimization with shared-model penalty,2,41,1.4516820907592773,0.9251952171325684,3,4,4,-0.8239226398387189,0.9221982879746444,0.7053821175888567
INVALID: all-local optimization with shared-model penalty,2,42,1.0383381843566895,0.28793978691101074,3,4,4,0.0027651729664568414,2.1967091484177597,0.7496923174692901
INVALID: all-local optimization with shared-model penalty,2,43,1.9166984558105469,1.752258062362671,3,4,4,-1.753955369941258,-0.7319274024855607,0.6250441458265167
INVALID: all-local optimization with shared-model penalty,2,44,1.6831495761871338,1.0560739040374756,3,4,4,-1.2868576106944318,0.66044091416483,0.7258462753302382
INVALID: all-local optimization with shared-model penalty,2,45,1.8055219650268555,1.1708881855010986,3,4,4,-1.5316023883738752,0.4308123512375839,0.7273477191997192
INVALID: all-local optimization with shared-model penalty,2,46,1.1602318286895752,0.5834050178527832,3,4,4,-0.24102211569931464,1.6057786865342147,0.7157344539342188
INVALID: all-local optimization with shared-model penalty,2,47,2.1576497554779053,2.211017608642578,3,4,4,-2.235857969275975,-1.649446495045375,0.5727807686878086
INVALID: all-local optimization with shared-model penalty,2,48,2.012277364730835,0.8670182228088379,3,4,4,-1.9451131877818342,1.0385522766221054,0.8163531963142554
INVALID: all-local optimization with shared-model penalty,2,49,1.6714494228363037,1.3318641185760498,3,4,4,-1.2634573039927717,0.10886048508768154,0.6651119096974641
INVALID: all-local optimization with shared-model penalty,2,50,1.9082272052764893,1.347949504852295,3,4,4,-1.7370128688731428,0.0766897125351913,0.7123554075497915
INVALID: all-local optimization with shared-model penalty,2,51,0.05516409873962402,-0.6797471046447754,3,4,4,1.9691133442005877,4.132082931529332,0.7467748639022447
INVALID: all-local optimization with shared-model penalty,2,52,0.9247848987579346,0.13355565071105957,3,4,4,0.2298717441639666,2.505477420817662,0.7572760091176527
INVALID: all-local optimization with shared-model penalty,2,53,1.5085585117340088,0.8355224132537842,3,4,4,-0.9376754817881818,1.1015438957322128,0.7348965645961746
INVALID: all-local optimization with shared-model penalty,2,54,1.124894380569458,0.4661874771118164,3,4,4,-0.17034721945908027,1.8402137680161483,0.7320955191281532
INVALID: all-local optimization with shared-model penalty,2,55,1.7004168033599854,0.9834251403808594,3,4,4,-1.321392065040135,0.8057384414780624,0.7433712801034764
INVALID: all-local optimization with shared-model penalty,2,56,1.1164860725402832,0.2641947269439697,3,4,4,-0.15353060340073066,2.2441992683518417,0.768322800360301
INVALID: all-local optimization with shared-model penalty,2,57,0.5890021324157715,0.07671427726745605,3,4,4,0.9014372768482928,2.619160167704869,0.7024227227899846
INVALID: all-local optimization with shared-model penalty,2,58,1.9541306495666504,1.6595325469970703,3,4,4,-1.828819757453465,-0.5464763717543595,0.6550182753285627
INVALID: all-local optimization with shared-model penalty,2,59,1.6138851642608643,1.1212091445922852,3,4,4,-1.1483287868418928,0.5301704330552108,0.6983071516521421
INVALID: all-local optimization with shared-model penalty,2,60,0.2546370029449463,-0.5411694049835205,3,4,4,1.5701675357899432,3.854927532206822,0.7581163415136648
INVALID: all-local optimization with shared-model penalty,2,61,1.766162633895874,1.2207930088043213,3,4,4,-1.4528837261119123,0.33100270463113857,0.7092910211657554
INVALID: all-local optimization with shared-model penalty,2,62,-0.9577534198760986,-1.8977696895599365,3,4,4,3.994948381432033,6.568128101359655,0.7835694283167546
INVALID: all-local optimization with shared-model penalty,2,63,1.6012847423553467,0.9310250282287598,3,4,4,-1.1231279430308576,0.9105386657822616,0.7343553067497353
INVALID: all-local optimization with shared-model penalty,2,64,1.7153561115264893,1.17262601852417,3,4,4,-1.3512706813731428,0.4273366851914413,0.70874645634097
INVALID: all-local optimization with shared-model penalty,2,65,1.8177552223205566,1.2908012866973877,3,4,4,-1.5560689029612775,0.19098614884500575,0.7054791722537576
INVALID: all-local optimization with shared-model penalty,2,66,1.8651049137115479,1.3799104690551758,3,4,4,-1.65076828574326,0.012767784129429582,0.696728641677927
INVALID: all-local optimization with shared-model penalty,2,67,1.9221408367156982,1.4824411869049072,3,4,4,-1.7648401317515607,-0.1922936515700333,0.6870305633517109
INVALID: all-local optimization with shared-model penalty,2,68,0.886843204498291,0.08284211158752441,3,4,4,0.3057551326832537,2.6069044990647323,0.7596158695257419
INVALID: all-local optimization with shared-model penalty,2,69,1.7787199020385742,1.34088134765625,3,4,4,-1.4779982623973127,0.09082602692728114,0.6866302521905279
INVALID: all-local optimization with shared-model penalty,2,70,0.9575743675231934,0.06757998466491699,3,4,4,0.16429280663344903,2.637428752909947,0.7749660553899452
