likelihood_std,mean_error_sigma,n_observations,prior_std,repeat,runtime_seconds,std_ratio,variant
0.5,0.010314539074897766,1,0.3,0,0.3891111030243337,1.0152032375335693,DPM + uncorrected
0.5,0.02518985979259014,1,0.3,0,0.4362611679825932,1.0070281028747559,DPM + Gaussian
0.5,0.006877950392663479,1,0.3,0,0.6773188499500975,1.0223524570465088,Langevin + Gaussian
0.5,0.05885809659957886,1,0.3,0,0.6081532099051401,1.075405240058899,Langevin + uncorrected
0.5,0.011714935302734375,1,0.3,0,0.9545358238974586,1.059172511100769,Langevin + F-NPSE
0.5,0.040905095636844635,1,0.3,1,0.38771484699100256,1.0150606632232666,DPM + uncorrected
0.5,0.04008867219090462,1,0.3,1,0.4411767109995708,1.0101583003997803,DPM + Gaussian
0.5,0.016022134572267532,1,0.3,1,0.680839705048129,1.0287443399429321,Langevin + Gaussian
0.5,0.004183862823992968,1,0.3,1,0.6024881718913093,1.090644121170044,Langevin + uncorrected
0.5,0.017902709543704987,1,0.3,1,0.9595329290023074,1.058610200881958,Langevin + F-NPSE
0.5,0.03527986630797386,1,0.3,2,0.38717378000728786,1.0226771831512451,DPM + uncorrected
0.5,0.03827989473938942,1,0.3,2,0.43572467705234885,1.003533959388733,DPM + Gaussian
0.5,0.022187329828739166,1,0.3,2,0.6817284879507497,1.0225781202316284,Langevin + Gaussian
0.5,0.021266309544444084,1,0.3,2,0.6032322010723874,1.0731205940246582,Langevin + uncorrected
0.5,0.03394373506307602,1,0.3,2,0.9545266539789736,1.025590181350708,Langevin + F-NPSE
0.5,0.1312830150127411,2,0.3,0,0.4201961630024016,1.0000014305114746,DPM + uncorrected
0.5,0.035068124532699585,2,0.3,0,0.463173855911009,0.9975476264953613,DPM + Gaussian
0.5,0.030017679557204247,2,0.3,0,0.7127533020684496,1.025181531906128,Langevin + Gaussian
0.5,0.04080234095454216,2,0.3,0,0.6150304119801149,1.0719406604766846,Langevin + uncorrected
0.5,0.0399245023727417,2,0.3,0,0.9649217249825597,1.0715818405151367,Langevin + F-NPSE
0.5,0.06001666933298111,2,0.3,1,0.39302581700030714,1.012145757675171,DPM + uncorrected
0.5,0.021740470081567764,2,0.3,1,0.46312846906948835,1.005387783050537,DPM + Gaussian
0.5,0.014623699709773064,2,0.3,1,0.7153343049576506,1.022782802581787,Langevin + Gaussian
0.5,0.036217931658029556,2,0.3,1,0.6085706980666146,1.0650513172149658,Langevin + uncorrected
0.5,0.04531335458159447,2,0.3,1,0.9661375120049343,1.0929882526397705,Langevin + F-NPSE
0.5,0.04664715752005577,2,0.3,2,0.3915655929595232,1.007997989654541,DPM + uncorrected
0.5,0.020121203735470772,2,0.3,2,0.4632443949813023,1.0089385509490967,DPM + Gaussian
0.5,0.04892166331410408,2,0.3,2,0.7157839640276507,1.013465404510498,Langevin + Gaussian
0.5,0.006095940712839365,2,0.3,2,0.6132074170745909,1.063689112663269,Langevin + uncorrected
0.5,0.016671840101480484,2,0.3,2,0.9615048619452864,1.0880138874053955,Langevin + F-NPSE
0.5,0.17123258113861084,5,0.3,0,0.39653339399956167,0.9579869508743286,DPM + uncorrected
0.5,0.01604519970715046,5,0.3,0,0.4626867100596428,0.9971444010734558,DPM + Gaussian
0.5,0.036091435700654984,5,0.3,0,0.7187937829876319,1.0021778345108032,Langevin + Gaussian
0.5,0.08074192702770233,5,0.3,0,0.618725590989925,1.0680756568908691,Langevin + uncorrected
0.5,0.11113423109054565,5,0.3,0,0.9720388870919123,1.1577250957489014,Langevin + F-NPSE
0.5,0.1219148263335228,5,0.3,1,0.39903614099603146,0.9594546556472778,DPM + uncorrected
0.5,0.02473720721900463,5,0.3,1,0.4716129209846258,0.9983914494514465,DPM + Gaussian
0.5,0.03540721908211708,5,0.3,1,0.7166871529771015,1.0261204242706299,Langevin + Gaussian
0.5,0.017887046560645103,5,0.3,1,0.6133631549309939,1.0552098751068115,Langevin + uncorrected
0.5,0.07284224033355713,5,0.3,1,0.9673832319676876,1.1387896537780762,Langevin + F-NPSE
0.5,0.09148572385311127,5,0.3,2,0.38984497799538076,0.9516744613647461,DPM + uncorrected
0.5,0.015839099884033203,5,0.3,2,0.4643118699314073,1.0170655250549316,DPM + Gaussian
0.5,0.03142965957522392,5,0.3,2,0.723111093044281,1.0165691375732422,Langevin + Gaussian
