accepted_steps,label,map_error_sigma,n_observations,rejected_steps,repeat,runtime_seconds,sample_mean,sample_std,score_evaluations,std_ratio,truth_mean,truth_std,variant
53,d₁ = 1,0.01942510315703446,1,15,0,0.563787441002205,-0.14315992560470478,0.7394284496625515,136,1.0457097419172916,-0.15689554810523987,0.7071067811865476,d1_1
36,d₁ = 0.3,0.03303653325074896,1,20,0,0.46396796498447657,-0.1335351978604061,1.3853807923277355,112,1.9592243055610676,-0.15689554810523987,0.7071067811865476,d1_0p3
29,d₁ = 0.1,0.0026912027179661164,1,19,0,0.40268223779276013,-0.15879852315985288,2.1633459265600337,96,3.059433149445789,-0.15689554810523987,0.7071067811865476,d1_0p1
55,d₁ = 1/√N,0.015798041245453105,1,22,0,0.6167887849733233,-0.1457246460111152,0.7245230425784569,154,1.024630313066273,-0.15689554810523987,0.7071067811865476,d1_inverse_sqrt_n
52,d₁ = 1/N,0.02318023984538533,1,16,0,0.5779365410562605,-0.1732864713468589,0.740421485152421,136,1.047114106174983,-0.15689554810523987,0.7071067811865476,d1_inverse_n
77,d₁ = 1,0.011335407530954562,2,12,0,1.1410497990436852,-0.06502324510241549,0.5242919952237702,178,0.9081003737292292,-0.058478742837905884,0.5773502691896257,d1_1
42,d₁ = 0.3,0.01358013020814493,2,10,0,0.6752472720108926,-0.06631923368743932,0.7596381363522249,104,1.315731847528988,-0.058478742837905884,0.5773502691896257,d1_0p3
28,d₁ = 0.1,0.056196231207293675,2,12,0,0.5231538191437721,-0.09092365408766394,1.4287295355877447,80,2.47463214591226,-0.058478742837905884,0.5773502691896257,d1_0p1
63,d₁ = 1/√N,0.0050582778966145134,2,10,0,0.9024249268695712,-0.06139914094315221,0.5515341157801756,146,0.9552851106388399,-0.058478742837905884,0.5773502691896257,d1_inverse_sqrt_n
53,d₁ = 1/N,0.0032250926758957818,2,9,0,0.802052753046155,-0.0603407471254856,0.5924025328600383,124,1.0260712854460778,-0.058478742837905884,0.5773502691896257,d1_inverse_n
172,d₁ = 1,0.07231297661763236,5,32,0,5.682992099085823,-0.3583127256461885,0.3305746674942405,408,0.8097392572511019,-0.3878344049056371,0.408248290463863,d1_1
97,d₁ = 0.3,0.062015309484234796,5,33,0,3.62946600606665,-0.3625168102583848,0.35484691973878946,260,0.8691938901583705,-0.3878344049056371,0.408248290463863,d1_0p3
66,d₁ = 0.1,0.082585385583912,5,34,0,2.7841218099929392,-0.3541190520764018,0.45097456650089107,200,1.104657574900023,-0.3878344049056371,0.408248290463863,d1_0p1
113,d₁ = 1/√N,0.07401880426832418,5,30,0,3.6564936379436404,-0.35761635460091445,0.34061025248270754,286,0.8343213197431807,-0.3878344049056371,0.408248290463863,d1_inverse_sqrt_n
82,d₁ = 1/N,0.06579337648140526,5,30,0,3.145210387883708,-0.36097438109472085,0.373089113806327,224,0.9138779574126638,-0.3878344049056371,0.408248290463863,d1_inverse_n
300,d₁ = 1,0.06590947384598095,10,35,0,17.801496997009963,0.28254696977930144,0.22598742511375486,670,0.7495154964408638,0.3024194213477048,0.30151134457776363,d1_1
