method,sde,time_grid,timesteps,theta_index,theta_true,theta_mode,analytic_log_prob,method_log_prob,absolute_log_prob_error,median_runtime_seconds
DPM-2 + KDE,VESDE,uniform_t,10,0,-2.0590172,-2.1671157,0.4312535718092801,0.20581123134173482,0.22544234046754527,0.005642365594394505
DPM-2 + KDE,VESDE,uniform_t,10,1,-2.24755,-2.1222744,0.4312535718092801,0.23773601650996837,0.19351755529931172,0.005642365594394505
DPM-2 + KDE,VESDE,uniform_t,10,2,-2.2733066,-2.4073713,0.4312535718092801,0.19664402435325656,0.23460954745602353,0.005642365594394505
DPM-2 + KDE,VESDE,uniform_t,10,3,-2.4841154,-2.3091683,0.4312535718092801,0.23842699580960836,0.19282657599967173,0.005642365594394505
DPM-2 + KDE,VESDE,uniform_t,10,4,-2.2861452,-2.2408478,0.4312535718092801,0.1920661672319426,0.23918740457733748,0.005642365594394505
DPM-2 + KDE,VESDE,uniform_t,10,5,-2.7104778,-2.419225,0.4312535718092801,0.20531746946789156,0.22593610234138853,0.005642365594394505
DPM-2 + KDE,VESDE,uniform_t,10,6,-2.1987514,-2.1505857,0.4312535718092801,0.2270971275577267,0.20415644425155338,0.005642365594394505
DPM-2 + KDE,VESDE,uniform_t,10,7,-1.9966652,-2.1117482,0.4312535718092801,0.2267059304095692,0.20454764139971088,0.005642365594394505
DPM-2 + KDE,VESDE,uniform_t,10,8,-2.7305539,-2.3484304,0.4312535718092801,0.23132077973297388,0.1999327920763062,0.005642365594394505
DPM-2 + KDE,VESDE,uniform_t,10,9,-2.0067704,-2.2441282,0.4312535718092801,0.23182298553295633,0.19943058627632376,0.005642365594394505
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,0,-2.0590172,-2.1671157,0.4312535718092801,0.29041327838491604,0.14084029342436405,0.0006147983949631453
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,1,-2.24755,-2.1222744,0.4312535718092801,0.29041327838491604,0.14084029342436405,0.0006147983949631453
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,2,-2.2733066,-2.4073713,0.4312535718092801,0.29041327838491604,0.14084029342436405,0.0006147983949631453
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,3,-2.4841154,-2.3091683,0.4312535718092801,0.29041327838491604,0.14084029342436405,0.0006147983949631453
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,4,-2.2861452,-2.2408478,0.4312535718092801,0.29041327838491604,0.14084029342436405,0.0006147983949631453
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,5,-2.7104778,-2.419225,0.4312535718092801,0.29041327838491604,0.14084029342436405,0.0006147983949631453
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,6,-2.1987514,-2.1505857,0.4312535718092801,0.29041327838491604,0.14084029342436405,0.0006147983949631453
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,7,-1.9966652,-2.1117482,0.4312535718092801,0.29041327838491604,0.14084029342436405,0.0006147983949631453
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,8,-2.7305539,-2.3484304,0.4312535718092801,0.29041327838491604,0.14084029342436405,0.0006147983949631453
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,9,-2.0067704,-2.2441282,0.4312535718092801,0.29041327838491604,0.14084029342436405,0.0006147983949631453
Euler PF-ODE + KDE,VESDE,uniform_t,10,0,-2.0590172,-2.1671157,0.4312535718092801,0.8836665416841378,0.45241296987485774,0.0017654300085268916
Euler PF-ODE + KDE,VESDE,uniform_t,10,1,-2.24755,-2.1222744,0.4312535718092801,0.9081822432228855,0.47692867141360545,0.0017654300085268916
Euler PF-ODE + KDE,VESDE,uniform_t,10,2,-2.2733066,-2.4073713,0.4312535718092801,0.903346263174197,0.4720926913649169,0.0017654300085268916
Euler PF-ODE + KDE,VESDE,uniform_t,10,3,-2.4841154,-2.3091683,0.4312535718092801,0.9072224831757485,0.4759689113664684,0.0017654300085268916
Euler PF-ODE + KDE,VESDE,uniform_t,10,4,-2.2861452,-2.2408478,0.4312535718092801,0.8951822221820385,0.4639286503727584,0.0017654300085268916
Euler PF-ODE + KDE,VESDE,uniform_t,10,5,-2.7104778,-2.419225,0.4312535718092801,0.8987315341366705,0.4674779623273904,0.0017654300085268916
Euler PF-ODE + KDE,VESDE,uniform_t,10,6,-2.1987514,-2.1505857,0.4312535718092801,0.9342679064996848,0.5030143346904048,0.0017654300085268916
Euler PF-ODE + KDE,VESDE,uniform_t,10,7,-1.9966652,-2.1117482,0.4312535718092801,0.894354446113833,0.4631008743045529,0.0017654300085268916
Euler PF-ODE + KDE,VESDE,uniform_t,10,8,-2.7305539,-2.3484304,0.4312535718092801,0.9222036201968045,0.4909500483875244,0.0017654300085268916
Euler PF-ODE + KDE,VESDE,uniform_t,10,9,-2.0067704,-2.2441282,0.4312535718092801,0.8896345866615133,0.4583810148522332,0.0017654300085268916
DPM-2 + KDE,VESDE,uniform_t,50,0,-2.0590172,-2.1671157,0.4312535718092801,0.3787898190197175,0.05246375278956261,0.018622103706002237
DPM-2 + KDE,VESDE,uniform_t,50,1,-2.24755,-2.1222744,0.4312535718092801,0.4092770316874643,0.02197654012181577,0.018622103706002237
DPM-2 + KDE,VESDE,uniform_t,50,2,-2.2733066,-2.4073713,0.4312535718092801,0.4275853082614548,0.00366826354782529,0.018622103706002237
DPM-2 + KDE,VESDE,uniform_t,50,3,-2.4841154,-2.3091683,0.4312535718092801,0.39841451191098637,0.03283905989829372,0.018622103706002237
DPM-2 + KDE,VESDE,uniform_t,50,4,-2.2861452,-2.2408478,0.4312535718092801,0.42017283240134606,0.011080739407934026,0.018622103706002237
DPM-2 + KDE,VESDE,uniform_t,50,5,-2.7104778,-2.419225,0.4312535718092801,0.40388828627717244,0.027365285532107653,0.018622103706002237
DPM-2 + KDE,VESDE,uniform_t,50,6,-2.1987514,-2.1505857,0.4312535718092801,0.4404199067000409,0.009166334890760797,0.018622103706002237
DPM-2 + KDE,VESDE,uniform_t,50,7,-1.9966652,-2.1117482,0.4312535718092801,0.37452366882207666,0.05672990298720343,0.018622103706002237
DPM-2 + KDE,VESDE,uniform_t,50,8,-2.7305539,-2.3484304,0.4312535718092801,0.4338406028183741,0.0025870310090940207,0.018622103706002237
DPM-2 + KDE,VESDE,uniform_t,50,9,-2.0067704,-2.2441282,0.4312535718092801,0.39765930772857433,0.03359426408070576,0.018622103706002237
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,0,-2.0590172,-2.1671157,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,1,-2.24755,-2.1222744,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,2,-2.2733066,-2.4073713,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,3,-2.4841154,-2.3091683,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,4,-2.2861452,-2.2408478,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,5,-2.7104778,-2.419225,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,6,-2.1987514,-2.1505857,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,7,-1.9966652,-2.1117482,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,8,-2.7305539,-2.3484304,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,9,-2.0067704,-2.2441282,0.4312535718092801,0.41991578505849203,0.01133778675078806,0.002981901401653886
Euler PF-ODE + KDE,VESDE,uniform_t,50,0,-2.0590172,-2.1671157,0.4312535718092801,0.5639880563581829,0.13273448454890285,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,1,-2.24755,-2.1222744,0.4312535718092801,0.5319431901426749,0.10068961833339479,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,2,-2.2733066,-2.4073713,0.4312535718092801,0.5189448612175636,0.08769128940828347,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,3,-2.4841154,-2.3091683,0.4312535718092801,0.5564533953123266,0.12519982350304654,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,4,-2.2861452,-2.2408478,0.4312535718092801,0.5506591371996659,0.11940556539038577,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,5,-2.7104778,-2.419225,0.4312535718092801,0.6141724553299643,0.18291888352068425,0.0069089645054191354
Euler PF-ODE + KDE,VESDE,uniform_t,50,6,-2.1987514,-2.1505857,0.4312535718092801,0.49813347890125675,0.06687990709197666,0.0069089645054191354
