method,sde,time_grid,timesteps,mean_absolute_log_prob_error,median_runtime_seconds,plot_runtime_seconds
DPM-2 + KDE,VESDE,uniform_t,10,0.2119586990145173,0.005642365594394505,0.005642365594394505
Heun + exact PF-ODE likelihood,VESDE,uniform_t,10,0.14084029342436405,0.0006147983949631453,0.0006147983949631453
Euler PF-ODE + KDE,VESDE,uniform_t,10,0.47242561289547125,0.0017654300085268916,0.0017654300085268916
DPM-2 + KDE,VESDE,uniform_t,50,0.025147117426530308,0.018622103706002237,0.018622103706002237
Heun + exact PF-ODE likelihood,VESDE,uniform_t,50,0.01133778675078806,0.002981901401653886,0.002981901401653886
Euler PF-ODE + KDE,VESDE,uniform_t,50,0.11555855910083519,0.0069089645054191354,0.0069089645054191354
DPM-2 + KDE,VESDE,uniform_t,100,0.024498857485491014,0.0341833385056816,0.0341833385056816
Heun + exact PF-ODE likelihood,VESDE,uniform_t,100,0.0029591671986984314,0.005880982801318169,0.005880982801318169
Euler PF-ODE + KDE,VESDE,uniform_t,100,0.05111626480059726,0.01322145180311054,0.01322145180311054
DPM-2 + KDE,VESDE,uniform_t,200,0.019278226093169613,0.06696674479171634,0.06696674479171634
Heun + exact PF-ODE likelihood,VESDE,uniform_t,200,0.0005389699105576296,0.011954648001119495,0.011954648001119495
Euler PF-ODE + KDE,VESDE,uniform_t,200,0.031729012886781156,0.025885574996937066,0.025885574996937066
DPM-2 + KDE,VESDE,log_sigma,10,0.07344174516102864,0.005571951903402805,0.005571951903402805
Heun + exact PF-ODE likelihood,VESDE,log_sigma,10,0.14743123428063426,0.0006131612928584218,0.0006131612928584218
Euler PF-ODE + KDE,VESDE,log_sigma,10,0.1552529970032291,0.00176249120850116,0.00176249120850116
DPM-2 + KDE,VESDE,log_sigma,50,0.02951090474388825,0.01826319550164044,0.01826319550164044
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,0.005251924468567537,0.002896984596736729,0.002896984596736729
Euler PF-ODE + KDE,VESDE,log_sigma,50,0.02465629659914051,0.006840027205180376,0.006840027205180376
DPM-2 + KDE,VESDE,log_sigma,100,0.04315247264442564,0.03345694129820913,0.03345694129820913
Heun + exact PF-ODE likelihood,VESDE,log_sigma,100,0.0015439112638492847,0.005799739190842956,0.005799739190842956
Euler PF-ODE + KDE,VESDE,log_sigma,100,0.01960253712820969,0.012956976296845824,0.012956976296845824
DPM-2 + KDE,VESDE,log_sigma,200,0.030390185452102054,0.06611883459845558,0.06611883459845558
Heun + exact PF-ODE likelihood,VESDE,log_sigma,200,0.0006388824785458769,0.011645239603240043,0.011645239603240043
Euler PF-ODE + KDE,VESDE,log_sigma,200,0.021233961487373616,0.025939443591050805,0.025939443591050805
DPM-2 + KDE,VPSDE,uniform_t,10,0.2015535939648264,0.005878822796512395,0.005878822796512395
Heun + exact PF-ODE likelihood,VPSDE,uniform_t,10,0.3716497451245462,0.0007108251098543406,0.0007108251098543406
Euler PF-ODE + KDE,VPSDE,uniform_t,10,0.5731925338283055,0.002063938498031348,0.002063938498031348
DPM-2 + KDE,VPSDE,uniform_t,50,0.03635946907059778,0.018977709498722108,0.018977709498722108
Heun + exact PF-ODE likelihood,VPSDE,uniform_t,50,0.012698451646462383,0.0030412009917199613,0.0030412009917199613
Euler PF-ODE + KDE,VPSDE,uniform_t,50,0.07229076935688662,0.006987242598552257,0.006987242598552257
DPM-2 + KDE,VPSDE,uniform_t,100,0.04434454999528233,0.03484329520724714,0.03484329520724714
Heun + exact PF-ODE likelihood,VPSDE,uniform_t,100,0.0031290552803767135,0.0059479534043930474,0.0059479534043930474
Euler PF-ODE + KDE,VPSDE,uniform_t,100,0.033107849009593376,0.013512783101759851,0.013512783101759851
DPM-2 + KDE,VPSDE,uniform_t,200,0.035401740811139275,0.06843209150247276,0.06843209150247276
Heun + exact PF-ODE likelihood,VPSDE,uniform_t,200,0.0007772069558096839,0.011915992409922183,0.011915992409922183
Euler PF-ODE + KDE,VPSDE,uniform_t,200,0.02173455640027469,0.026692641293630005,0.026692641293630005
DPM-2 + KDE,VPSDE,log_sigma,10,0.1560316443716446,0.005888043099548668,0.005888043099548668
Heun + exact PF-ODE likelihood,VPSDE,log_sigma,10,0.9649741012628269,0.00067585309734568,0.00067585309734568
Euler PF-ODE + KDE,VPSDE,log_sigma,10,0.24506609448628852,0.0018801650963723659,0.0018801650963723659
DPM-2 + KDE,VPSDE,log_sigma,50,0.03746342143369684,0.01919090369483456,0.01919090369483456
Heun + exact PF-ODE likelihood,VPSDE,log_sigma,50,0.031172761892482692,0.0030505200964398684,0.0030505200964398684
Euler PF-ODE + KDE,VPSDE,log_sigma,50,0.035971005473513167,0.00706581260310486,0.00706581260310486
DPM-2 + KDE,VPSDE,log_sigma,100,0.018943460629893126,0.034825322101823986,0.034825322101823986
Heun + exact PF-ODE likelihood,VPSDE,log_sigma,100,0.007629016856727733,0.005928430601488799,0.005928430601488799
Euler PF-ODE + KDE,VPSDE,log_sigma,100,0.01922194892237359,0.013435332500375808,0.013435332500375808
DPM-2 + KDE,VPSDE,log_sigma,200,0.04027002072189168,0.06911045500310138,0.06911045500310138
Heun + exact PF-ODE likelihood,VPSDE,log_sigma,200,0.001888831578198913,0.011808258900418877,0.011808258900418877
Euler PF-ODE + KDE,VPSDE,log_sigma,200,0.016733536881603433,0.026634897291660308,0.026634897291660308
