n_observations,repeat,method,global_error_analytic_sigma,local_rmse_analytic_sigma,joint_mahalanobis_per_dimension,map_runtime_seconds,sampling_runtime_seconds
2,0,analytic,0.0,0.0,0.0,0.0,0.5880275659728795
2,1,analytic,0.0,0.0,0.0,0.0,0.2870997739955783
2,2,analytic,0.0,0.0,0.0,0.0,0.2973972479812801
2,3,analytic,0.0,0.0,0.0,0.0,0.2854786179959774
2,4,analytic,0.0,0.0,0.0,0.0,0.2899942498188466
2,5,analytic,0.0,0.0,0.0,0.0,0.28573309211060405
2,6,analytic,0.0,0.0,0.0,0.0,0.2856386990752071
2,7,analytic,0.0,0.0,0.0,0.0,0.28673913492821157
2,8,analytic,0.0,0.0,0.0,0.0,0.28737278981134295
2,9,analytic,0.0,0.0,0.0,0.0,0.28598100505769253
2,10,analytic,0.0,0.0,0.0,0.0,0.2865154859609902
2,11,analytic,0.0,0.0,0.0,0.0,0.2929438780993223
2,12,analytic,0.0,0.0,0.0,0.0,0.283040267881006
2,13,analytic,0.0,0.0,0.0,0.0,0.2863757011946291
2,14,analytic,0.0,0.0,0.0,0.0,0.2872218079864979
2,15,analytic,0.0,0.0,0.0,0.0,0.2900046019349247
2,16,analytic,0.0,0.0,0.0,0.0,0.28750299382954836
2,17,analytic,0.0,0.0,0.0,0.0,0.28685990604572
2,18,analytic,0.0,0.0,0.0,0.0,0.28681989619508386
2,19,analytic,0.0,0.0,0.0,0.0,0.28804595908150077
5,0,analytic,0.0,0.0,0.0,0.0,0.2876807670108974
5,1,analytic,0.0,0.0,0.0,0.0,0.2886138679459691
5,2,analytic,0.0,0.0,0.0,0.0,0.2859588039573282
5,3,analytic,0.0,0.0,0.0,0.0,0.2851756310556084
5,4,analytic,0.0,0.0,0.0,0.0,0.28749956702813506
5,5,analytic,0.0,0.0,0.0,0.0,0.2868465769570321
5,6,analytic,0.0,0.0,0.0,0.0,0.2874526239465922
5,7,analytic,0.0,0.0,0.0,0.0,0.2852522369939834
5,8,analytic,0.0,0.0,0.0,0.0,0.28827845491468906
5,9,analytic,0.0,0.0,0.0,0.0,0.2867374720517546
5,10,analytic,0.0,0.0,0.0,0.0,0.29061241005547345
5,11,analytic,0.0,0.0,0.0,0.0,0.28604115010239184
5,12,analytic,0.0,0.0,0.0,0.0,0.2872635880485177
5,13,analytic,0.0,0.0,0.0,0.0,0.28524062992073596
5,14,analytic,0.0,0.0,0.0,0.0,0.2857038259971887
5,15,analytic,0.0,0.0,0.0,0.0,0.2848259031306952
5,16,analytic,0.0,0.0,0.0,0.0,0.28549490799196064
5,17,analytic,0.0,0.0,0.0,0.0,0.2897680029273033
5,18,analytic,0.0,0.0,0.0,0.0,0.28749025287106633
5,19,analytic,0.0,0.0,0.0,0.0,0.2897846410050988
10,0,analytic,0.0,0.0,0.0,0.0,0.292917168000713
10,1,analytic,0.0,0.0,0.0,0.0,0.29211676004342735
10,2,analytic,0.0,0.0,0.0,0.0,0.2909707638900727
10,3,analytic,0.0,0.0,0.0,0.0,0.2922062068246305
10,4,analytic,0.0,0.0,0.0,0.0,0.29142461298033595
10,5,analytic,0.0,0.0,0.0,0.0,0.2938178600743413
10,6,analytic,0.0,0.0,0.0,0.0,0.2926504148636013
10,7,analytic,0.0,0.0,0.0,0.0,0.29146606707945466
10,8,analytic,0.0,0.0,0.0,0.0,0.2945700229611248
10,9,analytic,0.0,0.0,0.0,0.0,0.29147551697678864
10,10,analytic,0.0,0.0,0.0,0.0,0.2943486871663481
10,11,analytic,0.0,0.0,0.0,0.0,0.2903997600078583
10,12,analytic,0.0,0.0,0.0,0.0,0.29379439912736416
10,13,analytic,0.0,0.0,0.0,0.0,0.2851844939868897
10,14,analytic,0.0,0.0,0.0,0.0,0.2884177251253277
10,15,analytic,0.0,0.0,0.0,0.0,0.28892491897568107
10,16,analytic,0.0,0.0,0.0,0.0,0.28806384606286883
10,17,analytic,0.0,0.0,0.0,0.0,0.28759054793044925
10,18,analytic,0.0,0.0,0.0,0.0,0.28697629109956324
10,19,analytic,0.0,0.0,0.0,0.0,0.28688646806403995
25,0,analytic,0.0,0.0,0.0,0.0,0.2937407100107521
25,1,analytic,0.0,0.0,0.0,0.0,0.2945938599295914
25,2,analytic,0.0,0.0,0.0,0.0,0.2942148018628359
25,3,analytic,0.0,0.0,0.0,0.0,0.2929122089408338
25,4,analytic,0.0,0.0,0.0,0.0,0.2946040730457753
25,5,analytic,0.0,0.0,0.0,0.0,0.29506560298614204
25,6,analytic,0.0,0.0,0.0,0.0,0.29284903104417026
25,7,analytic,0.0,0.0,0.0,0.0,0.30111328698694706
25,8,analytic,0.0,0.0,0.0,0.0,0.29382249410264194
25,9,analytic,0.0,0.0,0.0,0.0,0.3009678591042757
25,10,analytic,0.0,0.0,0.0,0.0,0.29523279308341444
25,11,analytic,0.0,0.0,0.0,0.0,0.3013355939183384
25,12,analytic,0.0,0.0,0.0,0.0,0.29417626187205315
25,13,analytic,0.0,0.0,0.0,0.0,0.3024602250661701
25,14,analytic,0.0,0.0,0.0,0.0,0.2942156989593059
25,15,analytic,0.0,0.0,0.0,0.0,0.30240247095935047
25,16,analytic,0.0,0.0,0.0,0.0,0.29376858100295067
25,17,analytic,0.0,0.0,0.0,0.0,0.29372265189886093
25,18,analytic,0.0,0.0,0.0,0.0,0.29375899699516594
25,19,analytic,0.0,0.0,0.0,0.0,0.2943813649471849
50,0,analytic,0.0,0.0,0.0,0.0,0.3127710558474064
50,1,analytic,0.0,0.0,0.0,0.0,0.30340391700156033
50,2,analytic,0.0,0.0,0.0,0.0,0.30464403005316854
50,3,analytic,0.0,0.0,0.0,0.0,0.3036960850004107
50,4,analytic,0.0,0.0,0.0,0.0,0.3052953330334276
50,5,analytic,0.0,0.0,0.0,0.0,0.3025523000396788
50,6,analytic,0.0,0.0,0.0,0.0,0.3075793271418661
50,7,analytic,0.0,0.0,0.0,0.0,0.30237226793542504
50,8,analytic,0.0,0.0,0.0,0.0,0.3114139880053699
50,9,analytic,0.0,0.0,0.0,0.0,0.30154897598549724
50,10,analytic,0.0,0.0,0.0,0.0,0.30471893516369164
50,11,analytic,0.0,0.0,0.0,0.0,0.3036296109203249
50,12,analytic,0.0,0.0,0.0,0.0,0.3099602828733623
50,13,analytic,0.0,0.0,0.0,0.0,0.30319177405908704
50,14,analytic,0.0,0.0,0.0,0.0,0.31241393904201686
50,15,analytic,0.0,0.0,0.0,0.0,0.30325521901249886
50,16,analytic,0.0,0.0,0.0,0.0,0.31197793991304934
50,17,analytic,0.0,0.0,0.0,0.0,0.30312659218907356
50,18,analytic,0.0,0.0,0.0,0.0,0.30934776295907795
50,19,analytic,0.0,0.0,0.0,0.0,0.30444898805581033
