n_observations,repeat,method,parameter,parameter_index,truth,analytic_map,analytic_std,estimate
2,0,analytic,global,0,-0.11947858333587646,-0.029101144522428513,0.3985288441181183,-0.029101144522428513
2,0,analytic,local,1,-0.1339401751756668,-0.4683169722557068,0.4105673134326935,-0.4683169722557068
2,0,analytic,local,2,0.22376449406147003,0.4519473612308502,0.4105673134326935,0.4519473612308502
2,0,old_score,global,0,-0.11947858333587646,-0.029101144522428513,0.3985288441181183,-0.030422942712903023
2,0,old_score,local,1,-0.1339401751756668,-0.4683169722557068,0.4105673134326935,-0.4647202789783478
2,0,old_score,local,2,0.22376449406147003,0.4519473612308502,0.4105673134326935,0.45049288868904114
2,0,joint_score,global,0,-0.11947858333587646,-0.029101144522428513,0.3985288441181183,-0.025901369750499725
2,0,joint_score,local,1,-0.1339401751756668,-0.4683169722557068,0.4105673134326935,-0.4685639441013336
2,0,joint_score,local,2,0.22376449406147003,0.4519473612308502,0.4105673134326935,0.44670164585113525
2,1,analytic,global,0,-1.001737117767334,-1.1289575099945068,0.3985288441181183,-1.1289575099945068
2,1,analytic,local,1,0.15220510959625244,0.24182920157909393,0.4105673134326935,0.24182920157909393
2,1,analytic,local,2,-1.0331861972808838,-0.8768671154975891,0.4105673134326935,-0.8768671154975891
2,1,old_score,global,0,-1.001737117767334,-1.1289575099945068,0.3985288441181183,-1.0822484493255615
2,1,old_score,local,1,0.15220510959625244,0.24182920157909393,0.4105673134326935,0.19756068289279938
2,1,old_score,local,2,-1.0331861972808838,-0.8768671154975891,0.4105673134326935,-0.9149681329727173
2,1,joint_score,global,0,-1.001737117767334,-1.1289575099945068,0.3985288441181183,-1.0591237545013428
2,1,joint_score,local,1,0.15220510959625244,0.24182920157909393,0.4105673134326935,0.17811816930770874
2,1,joint_score,local,2,-1.0331861972808838,-0.8768671154975891,0.4105673134326935,-0.9345272779464722
2,2,analytic,global,0,0.4211232662200928,0.04894335940480232,0.3985288441181183,0.04894335940480232
2,2,analytic,local,1,-0.36044979095458984,-0.1266530454158783,0.4105673134326935,-0.1266530454158783
2,2,analytic,local,2,-0.27730417251586914,0.15418361127376556,0.4105673134326935,0.15418361127376556
2,2,old_score,global,0,0.4211232662200928,0.04894335940480232,0.3985288441181183,0.045368049293756485
2,2,old_score,local,1,-0.36044979095458984,-0.1266530454158783,0.4105673134326935,-0.12278620153665543
2,2,old_score,local,2,-0.27730417251586914,0.15418361127376556,0.4105673134326935,0.15650533139705658
2,2,joint_score,global,0,0.4211232662200928,0.04894335940480232,0.3985288441181183,0.031601376831531525
2,2,joint_score,local,1,-0.36044979095458984,-0.1266530454158783,0.4105673134326935,-0.11117889732122421
2,2,joint_score,local,2,-0.27730417251586914,0.15418361127376556,0.4105673134326935,0.16814666986465454
2,3,analytic,global,0,0.2611561715602875,-0.29613253474235535,0.3985288441181183,-0.29613253474235535
2,3,analytic,local,1,-0.4102761149406433,-0.044214460998773575,0.4105673134326935,-0.044214460998773575
2,3,analytic,local,2,-0.4099379777908325,-0.12236011028289795,0.4105673134326935,-0.12236011028289795
2,3,old_score,global,0,0.2611561715602875,-0.29613253474235535,0.3985288441181183,-0.26126304268836975
2,3,old_score,local,1,-0.4102761149406433,-0.044214460998773575,0.4105673134326935,-0.07432558387517929
2,3,old_score,local,2,-0.4099379777908325,-0.12236011028289795,0.4105673134326935,-0.15204329788684845
2,3,joint_score,global,0,0.2611561715602875,-0.29613253474235535,0.3985288441181183,-0.3159237205982208
2,3,joint_score,local,1,-0.4102761149406433,-0.044214460998773575,0.4105673134326935,-0.028153467923402786
2,3,joint_score,local,2,-0.4099379777908325,-0.12236011028289795,0.4105673134326935,-0.1058819442987442
2,4,analytic,global,0,0.4854675233364105,0.5548462271690369,0.3985288441181183,0.5548462271690369
2,4,analytic,local,1,-0.22590585052967072,-0.28181904554367065,0.4105673134326935,-0.28181904554367065
2,4,analytic,local,2,0.44101908802986145,0.5939195156097412,0.4105673134326935,0.5939195156097412
2,4,old_score,global,0,0.4854675233364105,0.5548462271690369,0.3985288441181183,0.5470836758613586
2,4,old_score,local,1,-0.22590585052967072,-0.28181904554367065,0.4105673134326935,-0.27199384570121765
2,4,old_score,local,2,0.44101908802986145,0.5939195156097412,0.4105673134326935,0.5989198088645935
2,4,joint_score,global,0,0.4854675233364105,0.5548462271690369,0.3985288441181183,0.4513157606124878
2,4,joint_score,local,1,-0.22590585052967072,-0.28181904554367065,0.4105673134326935,-0.19118662178516388
2,4,joint_score,local,2,0.44101908802986145,0.5939195156097412,0.4105673134326935,0.6798201203346252
2,5,analytic,global,0,-0.31491920351982117,-0.4120771288871765,0.3985288441181183,-0.4120771288871765
2,5,analytic,local,1,-0.6174618005752563,-0.4840993583202362,0.4105673134326935,-0.4840993583202362
2,5,analytic,local,2,0.8938155174255371,0.2523057162761688,0.4105673134326935,0.2523057162761688
2,5,old_score,global,0,-0.31491920351982117,-0.4120771288871765,0.3985288441181183,-0.4154233932495117
2,5,old_score,local,1,-0.6174618005752563,-0.4840993583202362,0.4105673134326935,-0.4798816740512848
2,5,old_score,local,2,0.8938155174255371,0.2523057162761688,0.4105673134326935,0.2524591386318207
2,5,joint_score,global,0,-0.31491920351982117,-0.4120771288871765,0.3985288441181183,-0.42219358682632446
2,5,joint_score,local,1,-0.6174618005752563,-0.4840993583202362,0.4105673134326935,-0.4741950035095215
2,5,joint_score,local,2,0.8938155174255371,0.2523057162761688,0.4105673134326935,0.258235901594162
2,6,analytic,global,0,0.010931744240224361,0.028679057955741882,0.3985288441181183,0.028679057955741882
2,6,analytic,local,1,-0.026557259261608124,-0.2268747091293335,0.4105673134326935,-0.2268747091293335
2,6,analytic,local,2,0.271847665309906,0.24300652742385864,0.4105673134326935,0.24300652742385864
2,6,old_score,global,0,0.010931744240224361,0.028679057955741882,0.3985288441181183,0.007889717817306519
2,6,old_score,local,1,-0.026557259261608124,-0.2268747091293335,0.4105673134326935,-0.20798100531101227
2,6,old_score,local,2,0.271847665309906,0.24300652742385864,0.4105673134326935,0.2593049705028534
2,6,joint_score,global,0,0.010931744240224361,0.028679057955741882,0.3985288441181183,-0.03634694591164589
2,6,joint_score,local,1,-0.026557259261608124,-0.2268747091293335,0.4105673134326935,-0.1706511527299881
2,6,joint_score,local,2,0.271847665309906,0.24300652742385864,0.4105673134326935,0.2966885268688202
2,7,analytic,global,0,2.012974500656128,1.2316491603851318,0.3985288441181183,1.2316491603851318
2,7,analytic,local,1,0.6366039514541626,1.1177992820739746,0.4105673134326935,1.1177992820739746
2,7,analytic,local,2,-1.2038662433624268,-0.4249962866306305,0.4105673134326935,-0.4249962866306305
2,7,old_score,global,0,2.012974500656128,1.2316491603851318,0.3985288441181183,1.1797804832458496
2,7,old_score,local,1,0.6366039514541626,1.1177992820739746,0.4105673134326935,1.1592556238174438
2,7,old_score,local,2,-1.2038662433624268,-0.4249962866306305,0.4105673134326935,-0.37505894899368286
2,7,joint_score,global,0,2.012974500656128,1.2316491603851318,0.3985288441181183,1.124703288078308
2,7,joint_score,local,1,0.6366039514541626,1.1177992820739746,0.4105673134326935,1.2058556079864502
2,7,joint_score,local,2,-1.2038662433624268,-0.4249962866306305,0.4105673134326935,-0.3287229537963867
2,8,analytic,global,0,-0.5700610280036926,-0.9190118908882141,0.3985288441181183,-0.9190118908882141
2,8,analytic,local,1,-0.19795523583889008,-0.10831711441278458,0.4105673134326935,-0.10831711441278458
2,8,analytic,local,2,-0.8182656168937683,-0.40862756967544556,0.4105673134326935,-0.40862756967544556
2,8,old_score,global,0,-0.5700610280036926,-0.9190118908882141,0.3985288441181183,-0.8712090849876404
2,8,old_score,local,1,-0.19795523583889008,-0.10831711441278458,0.4105673134326935,-0.15092386305332184
2,8,old_score,local,2,-0.8182656168937683,-0.40862756967544556,0.4105673134326935,-0.4495820105075836
2,8,joint_score,global,0,-0.5700610280036926,-0.9190118908882141,0.3985288441181183,-0.8306857943534851
2,8,joint_score,local,1,-0.19795523583889008,-0.10831711441278458,0.4105673134326935,-0.18511205911636353
2,8,joint_score,local,2,-0.8182656168937683,-0.40862756967544556,0.4105673134326935,-0.4837969243526459
2,9,analytic,global,0,-0.2414272576570511,-0.3218071758747101,0.3985288441181183,-0.3218071758747101
2,9,analytic,local,1,-0.22999267280101776,-0.2132207155227661,0.4105673134326935,-0.2132207155227661
2,9,analytic,local,2,0.05264123156666756,0.032203953713178635,0.4105673134326935,0.032203953713178635
2,9,old_score,global,0,-0.2414272576570511,-0.3218071758747101,0.3985288441181183,-0.2924957871437073
2,9,old_score,local,1,-0.22999267280101776,-0.2132207155227661,0.4105673134326935,-0.237790048122406
2,9,old_score,local,2,0.05264123156666756,0.032203953713178635,0.4105673134326935,0.006282010115683079
2,9,joint_score,global,0,-0.2414272576570511,-0.3218071758747101,0.3985288441181183,-0.3144569993019104
2,9,joint_score,local,1,-0.22999267280101776,-0.2132207155227661,0.4105673134326935,-0.2192552536725998
2,9,joint_score,local,2,0.05264123156666756,0.032203953713178635,0.4105673134326935,0.024854149669408798
2,10,analytic,global,0,0.34667032957077026,0.48494958877563477,0.3985288441181183,0.48494958877563477
2,10,analytic,local,1,0.5015133619308472,0.29554349184036255,0.4105673134326935,0.29554349184036255
2,10,analytic,local,2,0.42784661054611206,-0.022759150713682175,0.4105673134326935,-0.022759150713682175
2,10,old_score,global,0,0.34667032957077026,0.48494958877563477,0.3985288441181183,0.47161799669265747
2,10,old_score,local,1,0.5015133619308472,0.29554349184036255,0.4105673134326935,0.30667534470558167
2,10,old_score,local,2,0.42784661054611206,-0.022759150713682175,0.4105673134326935,-0.00988638773560524
2,10,joint_score,global,0,0.34667032957077026,0.48494958877563477,0.3985288441181183,0.4541139304637909
2,10,joint_score,local,1,0.5015133619308472,0.29554349184036255,0.4105673134326935,0.32146206498146057
2,10,joint_score,local,2,0.42784661054611206,-0.022759150713682175,0.4105673134326935,0.004864478018134832
2,11,analytic,global,0,-0.4908963143825531,0.1908569037914276,0.3985288441181183,0.1908569037914276
2,11,analytic,local,1,0.2448374480009079,-0.4441149830818176,0.4105673134326935,-0.4441149830818176
2,11,analytic,local,2,0.8382197618484497,0.5514718294143677,0.4105673134326935,0.5514718294143677
2,11,old_score,global,0,-0.4908963143825531,0.1908569037914276,0.3985288441181183,0.18840515613555908
2,11,old_score,local,1,0.2448374480009079,-0.4441149830818176,0.4105673134326935,-0.4390026032924652
2,11,old_score,local,2,0.8382197618484497,0.5514718294143677,0.4105673134326935,0.5510913729667664
2,11,joint_score,global,0,-0.4908963143825531,0.1908569037914276,0.3985288441181183,0.14327743649482727
2,11,joint_score,local,1,0.2448374480009079,-0.4441149830818176,0.4105673134326935,-0.40097594261169434
2,11,joint_score,local,2,0.8382197618484497,0.5514718294143677,0.4105673134326935,0.5892686247825623
2,12,analytic,global,0,-0.9873399138450623,-0.711153507232666,0.3985288441181183,-0.711153507232666
2,12,analytic,local,1,0.11558261513710022,-0.1813211441040039,0.4105673134326935,-0.1813211441040039
2,12,analytic,local,2,0.17935049533843994,-0.2187025398015976,0.4105673134326935,-0.2187025398015976
2,12,old_score,global,0,-0.9873399138450623,-0.711153507232666,0.3985288441181183,-0.66878741979599
2,12,old_score,local,1,0.11558261513710022,-0.1813211441040039,0.4105673134326935,-0.21829524636268616
2,12,old_score,local,2,0.17935049533843994,-0.2187025398015976,0.4105673134326935,-0.25547030568122864
2,12,joint_score,global,0,-0.9873399138450623,-0.711153507232666,0.3985288441181183,-0.622951328754425
2,12,joint_score,local,1,0.11558261513710022,-0.1813211441040039,0.4105673134326935,-0.2569815516471863
2,12,joint_score,local,2,0.17935049533843994,-0.2187025398015976,0.4105673134326935,-0.29416143894195557
2,13,analytic,global,0,-0.2251424640417099,-0.012095067650079727,0.3985288441181183,-0.012095067650079727
2,13,analytic,local,1,0.22511668503284454,0.23012271523475647,0.4105673134326935,0.23012271523475647
2,13,analytic,local,2,0.2758639454841614,-0.23692601919174194,0.4105673134326935,-0.23692601919174194
2,13,old_score,global,0,-0.2251424640417099,-0.012095067650079727,0.3985288441181183,-0.003502460429444909
2,13,old_score,local,1,0.22511668503284454,0.23012271523475647,0.4105673134326935,0.2215685248374939
2,13,old_score,local,2,0.2758639454841614,-0.23692601919174194,0.4105673134326935,-0.24291878938674927
2,13,joint_score,global,0,-0.2251424640417099,-0.012095067650079727,0.3985288441181183,-0.05709584429860115
2,13,joint_score,local,1,0.22511668503284454,0.23012271523475647,0.4105673134326935,0.26685699820518494
2,13,joint_score,local,2,0.2758639454841614,-0.23692601919174194,0.4105673134326935,-0.1976907104253769
2,14,analytic,global,0,0.07671566307544708,0.159234881401062,0.3985288441181183,0.159234881401062
