n_observations,repeat,method,global_error_analytic_sigma,local_rmse_analytic_sigma,joint_mahalanobis_per_dimension,map_runtime_seconds,sampling_runtime_seconds
2,0,analytic,0.0,0.0,0.0,0.0,0.5880275659728795
2,0,old_score,0.003316693939268589,0.006681797560304403,0.00914085004478693,0.1608767369762063,0.5880275659728795
2,0,joint_score,0.008028966374695301,0.009044532664120197,0.009984713047742844,0.2428082670085132,0.5880275659728795
2,1,analytic,0.0,0.0,0.0,0.0,0.2870997739955783
2,1,old_score,0.1172037124633789,0.10059265792369843,0.0687166228890419,0.1561483631376177,0.2870997739955783
2,1,joint_score,0.17522886395454407,0.14799270033836365,0.10181912034749985,0.20599456480704248,0.2870997739955783
2,2,analytic,0.0,0.0,0.0,0.0,0.2973972479812801
2,2,old_score,0.00897127017378807,0.007767954841256142,0.005859034601598978,0.15463765803724527,0.2973972479812801
2,2,joint_score,0.043515000492334366,0.035896629095077515,0.025266053155064583,0.19826883007772267,0.2973972479812801
2,3,analytic,0.0,0.0,0.0,0.0,0.2854786179959774
2,3,old_score,0.08749552816152573,0.0728209987282753,0.050525516271591187,0.15580589300952852,0.2854786179959774
2,3,joint_score,0.049660611897706985,0.03963032737374306,0.028757940977811813,0.1887710359878838,0.2854786179959774
2,4,analytic,0.0,0.0,0.0,0.0,0.2899942498188466
2,4,old_score,0.01947801560163498,0.01898697391152382,0.014398026280105114,0.1570935861673206,0.2899942498188466
2,4,joint_score,0.2597816288471222,0.2150639146566391,0.15021851658821106,0.18617069395259023,0.2899942498188466
2,5,analytic,0.0,0.0,0.0,0.0,0.28573309211060405
2,5,old_score,0.008396542631089687,0.007268785499036312,0.00898578017950058,0.1598927858285606,0.28573309211060405
2,5,joint_score,0.025384506210684776,0.01988181285560131,0.0164438895881176,0.20031210081651807,0.28573309211060405
2,6,analytic,0.0,0.0,0.0,0.0,0.2856386990752071
2,6,old_score,0.052165206521749496,0.042974330484867096,0.030468393117189407,0.15501449210569263,0.2856386990752071
2,6,joint_score,0.1631651073694229,0.13388174772262573,0.09432432800531387,0.2000349231529981,0.2856386990752071
2,7,analytic,0.0,0.0,0.0,0.0,0.28673913492821157
2,7,old_score,0.13015037775039673,0.11177989095449448,0.07680940628051758,0.15567756816744804,0.28673913492821157
2,7,joint_score,0.26835164427757263,0.2247045785188675,0.15565678477287292,0.19301746902056038,0.28673913492821157
2,8,analytic,0.0,0.0,0.0,0.0,0.28737278981134295
2,8,old_score,0.11994817107915878,0.10178297013044357,0.06941311061382294,0.15668669785372913,0.28737278981134295
2,8,joint_score,0.22163037955760956,0.18507683277130127,0.1280161738395691,0.19743194989860058,0.28737278981134295
2,9,analytic,0.0,0.0,0.0,0.0,0.28598100505769253
2,9,old_score,0.07354898005723953,0.061511702835559845,0.042541634291410446,0.1539155209902674,0.28598100505769253
