n_observations,repeat,sampling_runtime_seconds,selected_joint_start
2,0,0.5880275659728795,4
2,1,0.2870997739955783,0
2,2,0.2973972479812801,3
2,3,0.2854786179959774,0
2,4,0.2899942498188466,7
2,5,0.28573309211060405,1
2,6,0.2856386990752071,2
2,7,0.28673913492821157,1
2,8,0.28737278981134295,5
2,9,0.28598100505769253,6
2,10,0.2865154859609902,6
2,11,0.2929438780993223,5
2,12,0.283040267881006,0
2,13,0.2863757011946291,0
2,14,0.2872218079864979,4
2,15,0.2900046019349247,3
2,16,0.28750299382954836,1
2,17,0.28685990604572,1
2,18,0.28681989619508386,0
2,19,0.28804595908150077,0
5,0,0.2876807670108974,2
5,1,0.2886138679459691,1
5,2,0.2859588039573282,3
5,3,0.2851756310556084,0
5,4,0.28749956702813506,7
5,5,0.2868465769570321,0
5,6,0.2874526239465922,0
5,7,0.2852522369939834,0
5,8,0.28827845491468906,0
5,9,0.2867374720517546,0
5,10,0.29061241005547345,6
5,11,0.28604115010239184,1
5,12,0.2872635880485177,4
5,13,0.28524062992073596,7
5,14,0.2857038259971887,4
5,15,0.2848259031306952,7
5,16,0.28549490799196064,2
5,17,0.2897680029273033,0
5,18,0.28749025287106633,1
5,19,0.2897846410050988,4
10,0,0.292917168000713,0
10,1,0.29211676004342735,3
10,2,0.2909707638900727,2
10,3,0.2922062068246305,0
10,4,0.29142461298033595,0
10,5,0.2938178600743413,6
10,6,0.2926504148636013,1
10,7,0.29146606707945466,5
10,8,0.2945700229611248,0
10,9,0.29147551697678864,1
10,10,0.2943486871663481,7
10,11,0.2903997600078583,2
10,12,0.29379439912736416,1
10,13,0.2851844939868897,4
10,14,0.2884177251253277,5
10,15,0.28892491897568107,0
10,16,0.28806384606286883,5
10,17,0.28759054793044925,3
10,18,0.28697629109956324,5
10,19,0.28688646806403995,3
25,0,0.2937407100107521,0
25,1,0.2945938599295914,0
25,2,0.2942148018628359,4
25,3,0.2929122089408338,0
25,4,0.2946040730457753,4
25,5,0.29506560298614204,0
25,6,0.29284903104417026,1
25,7,0.30111328698694706,4
25,8,0.29382249410264194,4
25,9,0.3009678591042757,0
25,10,0.29523279308341444,5
25,11,0.3013355939183384,6
25,12,0.29417626187205315,2
25,13,0.3024602250661701,6
25,14,0.2942156989593059,6
25,15,0.30240247095935047,0
25,16,0.29376858100295067,3
25,17,0.29372265189886093,1
25,18,0.29375899699516594,5
25,19,0.2943813649471849,6
50,0,0.3127710558474064,2
50,1,0.30340391700156033,5
50,2,0.30464403005316854,2
50,3,0.3036960850004107,0
50,4,0.3052953330334276,5
50,5,0.3025523000396788,0
50,6,0.3075793271418661,2
50,7,0.30237226793542504,0
50,8,0.3114139880053699,1
50,9,0.30154897598549724,2
50,10,0.30471893516369164,5
50,11,0.3036296109203249,2
50,12,0.3099602828733623,0
50,13,0.30319177405908704,1
50,14,0.31241393904201686,5
50,15,0.30325521901249886,2
50,16,0.31197793991304934,4
50,17,0.30312659218907356,0
50,18,0.30934776295907795,1
50,19,0.30444898805581033,7
