n_observations,repeat,method,global_error_analytic_sigma,local_rmse_analytic_sigma,joint_mahalanobis_per_dimension,map_runtime_seconds,sampling_runtime_seconds
2,0,joint_score,0.008028966374695301,0.009044532664120197,0.009984713047742844,0.2428082670085132,0.5880275659728795
2,1,joint_score,0.17522886395454407,0.14799270033836365,0.10181912034749985,0.20599456480704248,0.2870997739955783
2,2,joint_score,0.043515000492334366,0.035896629095077515,0.025266053155064583,0.19826883007772267,0.2973972479812801
2,3,joint_score,0.049660611897706985,0.03963032737374306,0.028757940977811813,0.1887710359878838,0.2854786179959774
2,4,joint_score,0.2597816288471222,0.2150639146566391,0.15021851658821106,0.18617069395259023,0.2899942498188466
2,5,joint_score,0.025384506210684776,0.01988181285560131,0.0164438895881176,0.20031210081651807,0.28573309211060405
2,6,joint_score,0.1631651073694229,0.13388174772262573,0.09432432800531387,0.2000349231529981,0.2856386990752071
2,7,joint_score,0.26835164427757263,0.2247045785188675,0.15565678477287292,0.19301746902056038,0.28673913492821157
2,8,joint_score,0.22163037955760956,0.18507683277130127,0.1280161738395691,0.19743194989860058,0.28737278981134295
2,9,joint_score,0.01844327338039875,0.01637832634150982,0.011004814878106117,0.19955227407626808,0.28598100505769253
2,10,joint_score,0.07737372070550919,0.06523820012807846,0.04480796679854393,0.21892145089805126,0.2865154859609902
2,11,joint_score,0.11938776075839996,0.09878033399581909,0.06957393884658813,0.19183508795686066,0.2929438780993223
2,12,joint_score,0.22131943702697754,0.18403734266757965,0.12778738141059875,0.24776667589321733,0.283040267881006
2,13,joint_score,0.11291723698377609,0.09256795048713684,0.06535511463880539,0.19165000412613153,0.2863757011946291
2,14,joint_score,0.2839308977127075,0.23337849974632263,0.16405968368053436,0.19351991801522672,0.2872218079864979
2,15,joint_score,0.35315296053886414,0.2885410785675049,0.20395809412002563,0.19173271395266056,0.2900046019349247
2,16,joint_score,0.127266988158226,0.10402889549732208,0.07363066077232361,0.1991667419206351,0.28750299382954836
2,17,joint_score,0.0944562777876854,0.08074522018432617,0.0549793466925621,0.19244786887429655,0.28685990604572
2,18,joint_score,0.10478934645652771,0.08482778072357178,0.060722604393959045,0.18870879686437547,0.28681989619508386
2,19,joint_score,0.036729637533426285,0.0304125789552927,0.021267468109726906,0.19030994502827525,0.28804595908150077
5,0,joint_score,0.10746531933546066,0.07280971854925156,0.04453730583190918,0.17987561807967722,0.2876807670108974
5,1,joint_score,0.28793925046920776,0.20291754603385925,0.11799518764019012,0.17844128608703613,0.2886138679459691
5,2,joint_score,0.07564368844032288,0.05266645550727844,0.031348567456007004,0.23277804790996015,0.2859588039573282
5,3,joint_score,0.2778518497943878,0.19675877690315247,0.11391974985599518,0.20122772688046098,0.2851756310556084
5,4,joint_score,0.066628597676754,0.044733818620443344,0.031048350036144257,0.1752079981379211,0.28749956702813506
5,5,joint_score,0.6914002299308777,0.5009915828704834,0.28256502747535706,0.19021252915263176,0.2868465769570321
5,6,joint_score,0.04591839015483856,0.03315984085202217,0.026253793388605118,0.19890990387648344,0.2874526239465922
5,7,joint_score,0.17369282245635986,0.12467700988054276,0.07129968702793121,0.2320947169791907,0.2852522369939834
5,8,joint_score,0.26140066981315613,0.1854431927204132,0.10748342424631119,0.20059453905560076,0.28827845491468906
5,9,joint_score,0.37629812955856323,0.267459899187088,0.15403541922569275,0.19563010102137923,0.2867374720517546
5,10,joint_score,0.34470507502555847,0.24537701904773712,0.14083200693130493,0.1819073969963938,0.29061241005547345
5,11,joint_score,0.3100298345088959,0.22131076455116272,0.12748576700687408,0.17971946392208338,0.28604115010239184
5,12,joint_score,0.2841495871543884,0.20779013633728027,0.11695444583892822,0.22131090494804084,0.2872635880485177
5,13,joint_score,0.4570980370044708,0.3280107080936432,0.18704573810100555,0.17588505987077951,0.28524062992073596
5,14,joint_score,0.4759346544742584,0.34269869327545166,0.1944623440504074,0.1794467600993812,0.2857038259971887
5,15,joint_score,0.30628156661987305,0.22165115177631378,0.1252272129058838,0.25789533485658467,0.2848259031306952
5,16,joint_score,0.16965113580226898,0.12324441969394684,0.07063409686088562,0.21946995193138719,0.28549490799196064
5,17,joint_score,0.5233644843101501,0.37138229608535767,0.21379731595516205,0.17945261392742395,0.2897680029273033
5,18,joint_score,0.25914594531059265,0.1886788159608841,0.10631899535655975,0.17725336202420294,0.28749025287106633
5,19,joint_score,0.7656367421150208,0.5508230328559875,0.31306129693984985,0.17950962600298226,0.2897846410050988
10,0,joint_score,0.8858587741851807,0.5272536277770996,0.26742175221443176,0.18141591898165643,0.292917168000713
10,1,joint_score,0.512260913848877,0.3076450228691101,0.15486836433410645,0.20242161792702973,0.29211676004342735
10,2,joint_score,1.1736584901809692,0.7028996348381042,0.3541231155395508,0.18389960192143917,0.2909707638900727
10,3,joint_score,0.48472967743873596,0.2901323735713959,0.14712804555892944,0.20138794998638332,0.2922062068246305
10,4,joint_score,0.7292536497116089,0.4348283112049103,0.2201688289642334,0.19432956096716225,0.29142461298033595
10,5,joint_score,0.8095434904098511,0.48262593150138855,0.24436596035957336,0.18178426497615874,0.2938178600743413
10,6,joint_score,0.13014578819274902,0.07715068012475967,0.04146355390548706,0.1818483229726553,0.2926504148636013
10,7,joint_score,0.7233546376228333,0.43155625462532043,0.21832294762134552,0.18034332804381847,0.29146606707945466
10,8,joint_score,0.45912501215934753,0.27362966537475586,0.13887359201908112,0.1804132340475917,0.2945700229611248
10,9,joint_score,0.23868590593338013,0.14497758448123932,0.07279054820537567,0.18350518005900085,0.29147551697678864
10,10,joint_score,0.5142932534217834,0.3100573420524597,0.15532709658145905,0.18210263992659748,0.2943486871663481
10,11,joint_score,0.016941452398896217,0.012289044447243214,0.010246220976114273,0.19135668990202248,0.2903997600078583
10,12,joint_score,0.8195155262947083,0.48644572496414185,0.24723029136657715,0.19328091200441122,0.29379439912736416
10,13,joint_score,0.6811156272888184,0.4053095281124115,0.2058463990688324,0.17780187190510333,0.2851844939868897
10,14,joint_score,0.8259696364402771,0.4921185374259949,0.24933205544948578,0.2170238879043609,0.2884177251253277
10,15,joint_score,0.06490831822156906,0.04178400710225105,0.02388169802725315,0.2498944301623851,0.28892491897568107
10,16,joint_score,0.444091796875,0.2643088698387146,0.13411223888397217,0.2588125020265579,0.28806384606286883
10,17,joint_score,0.37681081891059875,0.22393906116485596,0.11419147253036499,0.26583325606770813,0.28759054793044925
10,18,joint_score,0.11549816280603409,0.07052484899759293,0.03647281602025032,0.2072744679171592,0.28697629109956324
10,19,joint_score,1.4598588943481445,0.8698906302452087,0.44038230180740356,0.19388287421315908,0.28688646806403995
25,0,joint_score,1.390467643737793,0.6002814173698425,0.27300089597702026,0.2637859669048339,0.2937407100107521
25,1,joint_score,0.962192714214325,0.4164385497570038,0.18910221755504608,0.1830299289431423,0.2945938599295914
