c_true,n_observations,run,model,global_parameter_rmse,b_rmse,shared_synchronization_max_abs,selected_candidate,candidate_score,runtime_seconds,map_num_starts,map_timesteps,map_iterations,log_prob_timesteps,posterior_samples,sampling_timesteps,composition_correction
0.0,2,0,linear,0.06058046155405379,0.16015028953552246,0.0,4,4.610598087310791,63.1860936449375,8,100,3,100,96,14,gauss_diagonal_precision
0.0,5,0,linear,0.008552014864077886,0.10721500962972641,0.0,0,11.962799072265625,56.95450121979229,8,100,3,100,96,14,gauss_diagonal_precision
0.0,10,0,linear,0.022645175268031403,0.09367493540048599,0.0,0,26.114307403564453,57.038915337994695,8,100,3,100,96,14,gauss_diagonal_precision
0.0,2,1,linear,0.04605829776804372,0.04168950021266937,0.0,5,4.989073753356934,70.83404185809195,8,100,3,100,96,14,gauss_diagonal_precision
0.0,5,1,linear,0.0529148580743944,0.08664165437221527,0.0,3,13.993415832519531,61.60525169689208,8,100,3,100,96,14,gauss_diagonal_precision
0.0,10,1,linear,0.050110697303735845,0.10758768022060394,0.0,4,29.245820999145508,57.232940825866535,8,100,3,100,96,14,gauss_diagonal_precision
0.0,2,2,linear,0.014037132230787563,0.06967465579509735,0.0,3,5.049551010131836,72.0995601748582,8,100,3,100,96,14,gauss_diagonal_precision
0.0,5,2,linear,0.0013075470910792028,0.07283208519220352,0.0,5,13.798355102539062,58.709506504936144,8,100,3,100,96,14,gauss_diagonal_precision
0.0,10,2,linear,0.052327424766711206,0.05916408449411392,0.0,2,27.947755813598633,58.95303262886591,8,100,3,100,96,14,gauss_diagonal_precision
0.6,2,0,quadratic,0.13965382512973062,0.12997590005397797,0.0,2,2.704179286956787,145.89221282303333,8,100,3,100,96,14,gauss_diagonal_precision
0.6,5,0,quadratic,0.04678110065783563,0.08050844818353653,0.0,7,12.135030746459961,133.35643420997076,8,100,3,100,96,14,gauss_diagonal_precision
0.6,10,0,quadratic,0.02901604834546505,0.06623873114585876,0.0,3,25.550262451171875,138.54438033117913,8,100,3,100,96,14,gauss_diagonal_precision
0.6,2,1,quadratic,0.10530130877967453,0.10330357402563095,0.0,0,3.6839218139648438,197.23575554601848,8,100,3,100,96,14,gauss_diagonal_precision
0.6,5,1,quadratic,0.038938416904341286,0.052090104669332504,0.0,7,12.855842590332031,133.2297888949979,8,100,3,100,96,14,gauss_diagonal_precision
0.6,10,1,quadratic,0.03699114141456693,0.07732179760932922,0.0,3,28.768836975097656,120.79999629012309,8,100,3,100,96,14,gauss_diagonal_precision
0.6,2,2,quadratic,0.06270024384303696,0.09735041111707687,0.0,6,3.4239306449890137,161.61188247893006,8,100,3,100,96,14,gauss_diagonal_precision
0.6,5,2,quadratic,0.04192820263431002,0.10119406878948212,0.0,0,12.57492446899414,138.07759663905017,8,100,3,100,96,14,gauss_diagonal_precision
0.6,10,2,quadratic,0.055751419327091996,0.08996053785085678,0.0,0,28.739688873291016,131.15965338307433,8,100,3,100,96,14,gauss_diagonal_precision
