n_observations,repeat,method,global_error_analytic_sigma,local_rmse_analytic_sigma,joint_mahalanobis_per_dimension,map_runtime_seconds,sampling_runtime_seconds
2,0,old_score,0.003316693939268589,0.006681797560304403,0.00914085004478693,0.1608767369762063,0.5880275659728795
2,1,old_score,0.1172037124633789,0.10059265792369843,0.0687166228890419,0.1561483631376177,0.2870997739955783
2,2,old_score,0.00897127017378807,0.007767954841256142,0.005859034601598978,0.15463765803724527,0.2973972479812801
2,3,old_score,0.08749552816152573,0.0728209987282753,0.050525516271591187,0.15580589300952852,0.2854786179959774
2,4,old_score,0.01947801560163498,0.01898697391152382,0.014398026280105114,0.1570935861673206,0.2899942498188466
2,5,old_score,0.008396542631089687,0.007268785499036312,0.00898578017950058,0.1598927858285606,0.28573309211060405
2,6,old_score,0.052165206521749496,0.042974330484867096,0.030468393117189407,0.15501449210569263,0.2856386990752071
2,7,old_score,0.13015037775039673,0.11177989095449448,0.07680940628051758,0.15567756816744804,0.28673913492821157
2,8,old_score,0.11994817107915878,0.10178297013044357,0.06941311061382294,0.15668669785372913,0.28737278981134295
2,9,old_score,0.07354898005723953,0.061511702835559845,0.042541634291410446,0.1539155209902674,0.28598100505769253
2,10,old_score,0.03345201164484024,0.029310250654816628,0.01968935877084732,0.1550446420442313,0.2865154859609902
2,11,old_score,0.006151995621621609,0.00882923323661089,0.010392322205007076,0.15478382795117795,0.2929438780993223
2,12,old_score,0.10630620270967484,0.08980520069599152,0.061437755823135376,0.15348822018131614,0.283040267881006
2,13,old_score,0.02156081609427929,0.017988214269280434,0.013248330913484097,0.15484131686389446,0.2863757011946291
2,14,old_score,0.022912662476301193,0.019873110577464104,0.014711830765008926,0.1557297499384731,0.2872218079864979
2,15,old_score,0.02843552641570568,0.024270083755254745,0.016453949734568596,0.15594959701411426,0.2900046019349247
2,16,old_score,0.020416628569364548,0.017358291894197464,0.012616803869605064,0.15546403196640313,0.28750299382954836
2,17,old_score,0.07804173231124878,0.0673735961318016,0.04563345015048981,0.15559908701106906,0.28685990604572
2,18,old_score,0.037951502948999405,0.032398153096437454,0.02240345999598503,0.15532823302783072,0.28681989619508386
2,19,old_score,0.032498836517333984,0.026949141174554825,0.018835758790373802,0.15744725591503084,0.28804595908150077
5,0,old_score,0.1915503293275833,0.1379472315311432,0.07847517728805542,0.15538486000150442,0.2876807670108974
5,1,old_score,0.04153939709067345,0.030334578827023506,0.019739404320716858,0.1556179579347372,0.2886138679459691
5,2,old_score,0.0004066284454893321,0.004171960987150669,0.005332093685865402,0.15571352816186845,0.2859588039573282
5,3,old_score,0.1156025230884552,0.08278489112854004,0.0483730286359787,0.1561539419926703,0.2851756310556084
5,4,old_score,0.10051977634429932,0.07510910928249359,0.043601736426353455,0.1547573448624462,0.28749956702813506
5,5,old_score,0.8260325193405151,0.5959431529045105,0.3374476134777069,0.15589310694485903,0.2868465769570321
5,6,old_score,0.06843465566635132,0.05236459895968437,0.03347069025039673,0.1556231789290905,0.2874526239465922
5,7,old_score,0.17835834622383118,0.12797348201274872,0.0732017531991005,0.15591242699883878,0.2852522369939834
5,8,old_score,0.09969059377908707,0.07205361872911453,0.04272794350981712,0.15638630604371428,0.28827845491468906
5,9,old_score,0.15029200911521912,0.10859924554824829,0.06243911385536194,0.15514677413739264,0.2867374720517546
5,10,old_score,0.169597789645195,0.12217114865779877,0.06949102133512497,0.15652673388831317,0.29061241005547345
5,11,old_score,0.11232653260231018,0.08271007239818573,0.04844275861978531,0.15546785504557192,0.28604115010239184
5,12,old_score,0.4024776816368103,0.29107868671417236,0.1649574190378189,0.1566947940737009,0.2872635880485177
