correction,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,theta_true,truth_mean,truth_std,variant
gauss,DPM-2 + Gaussian,0.07208261638879776,dpm,10,0,8.592355176922865,-0.058366160839796066,0.3402208685874939,1.1283849477767944,-0.1467950940132141,-0.0366324321790175,0.30151134457776363,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.060323093086481094,dpm,10,0,8.810092498082668,-0.054820530116558075,0.3304668068885803,1.0960344076156616,-0.1467950940132141,-0.0366324321790175,0.30151134457776363,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.11457699537277222,dpm,10,0,8.595974492025562,-0.07117869704961777,0.25084206461906433,0.83194899559021,-0.1467950940132141,-0.0366324321790175,0.30151134457776363,dpm_raw
gauss,Langevin + Gaussian,0.08397261798381805,langevin,10,0,20.434082768042572,-0.061951130628585815,0.3382597863674164,1.1218807697296143,-0.1467950940132141,-0.0366324321790175,0.30151134457776363,langevin_gauss
uncorrected,Langevin + uncorrected,0.17575442790985107,langevin,10,0,20.697861268999986,-0.08962439000606537,0.24484123289585114,0.812046468257904,-0.1467950940132141,-0.0366324321790175,0.30151134457776363,langevin_raw
fnpe,Langevin + F-NPSE,0.09478326141834259,langevin,10,0,20.63900714297779,-0.06521066278219223,0.35431745648384094,1.175137996673584,-0.1467950940132141,-0.0366324321790175,0.30151134457776363,langevin_fnpe
gauss,DPM-2 + Gaussian,0.030201811343431473,dpm,10,1,9.063453855924308,0.2811810374259949,0.33592432737350464,1.1141349077224731,0.334337055683136,0.29028723456642846,0.30151134457776363,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.009912778623402119,dpm,10,1,9.159161915071309,0.28729841113090515,0.33064424991607666,1.0966229438781738,0.334337055683136,0.29028723456642846,0.30151134457776363,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.08577902615070343,dpm,10,1,9.007529819034971,0.2644238770008087,0.25228065252304077,0.8367202877998352,0.334337055683136,0.29028723456642846,0.30151134457776363,dpm_raw
gauss,Langevin + Gaussian,0.0011066475417464972,langevin,10,1,20.938620100961998,0.290620893239975,0.3397783935070038,1.1269174814224243,0.334337055683136,0.29028723456642846,0.30151134457776363,langevin_gauss
uncorrected,Langevin + uncorrected,0.2386852353811264,langevin,10,1,20.85586565604899,0.21832092106342316,0.23405644297599792,0.7762774229049683,0.334337055683136,0.29028723456642846,0.30151134457776363,langevin_raw
fnpe,Langevin + F-NPSE,0.06834062933921814,langevin,10,1,20.875783169991337,0.26968175172805786,0.34209683537483215,1.1346068382263184,0.334337055683136,0.29028723456642846,0.30151134457776363,langevin_fnpe
gauss,DPM-2 + Gaussian,0.11100517213344574,dpm,10,2,9.028142406023107,1.3737843036651611,0.3233618438243866,1.07246994972229,1.2412772178649902,1.3403149518099697,0.30151134457776363,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.16474539041519165,dpm,10,2,9.206711315084249,1.389987587928772,0.3234310746192932,1.0726995468139648,1.2412772178649902,1.3403149518099697,0.30151134457776363,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.16227035224437714,dpm,10,2,9.101315480074845,1.2913886308670044,0.22376783192157745,0.7421539425849915,1.2412772178649902,1.3403149518099697,0.30151134457776363,dpm_raw
gauss,Langevin + Gaussian,0.1323513388633728,langevin,10,2,21.096709101111628,1.3802204132080078,0.3261907696723938,1.0818524360656738,1.2412772178649902,1.3403149518099697,0.30151134457776363,langevin_gauss
uncorrected,Langevin + uncorrected,0.788886308670044,langevin,10,2,21.03238956700079,1.10245680809021,0.2067343294620514,0.685660183429718,1.2412772178649902,1.3403149518099697,0.30151134457776363,langevin_raw
fnpe,Langevin + F-NPSE,0.1259893923997879,langevin,10,2,20.82380374101922,1.3023277521133423,0.3248615264892578,1.0774438381195068,1.2412772178649902,1.3403149518099697,0.30151134457776363,langevin_fnpe
