correction,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,theta_true,truth_mean,truth_std,variant
gauss,DPM-2 + Gaussian,0.012142844498157501,dpm,1,0,1.3842774780932814,-0.14830926060676575,0.7468257546424866,1.056171178817749,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.04317019507288933,dpm,1,0,1.509160969988443,-0.12636961042881012,0.7232474088668823,1.0228263139724731,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.0043165115639567375,dpm,1,0,1.353197738993913,-0.15384331345558167,0.7352440357208252,1.0397920608520508,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,dpm_raw
gauss,Langevin + Gaussian,0.02529841475188732,langevin,1,0,3.3184844019124284,-0.1390068680047989,0.766751766204834,1.084350824356079,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,langevin_gauss
uncorrected,Langevin + uncorrected,0.05247404798865318,langevin,1,0,3.2036037989892066,-0.19400030374526978,0.7703823447227478,1.0894851684570312,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,langevin_raw
fnpe,Langevin + F-NPSE,0.02717789076268673,langevin,1,0,3.1856975400587544,-0.17611321806907654,0.7461186647415161,1.0551711320877075,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,langevin_fnpe
gauss,DPM-2 + Gaussian,0.03975373134016991,dpm,2,0,2.197858756990172,-0.08143056929111481,0.6222936511039734,1.077844262123108,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.029232770204544067,dpm,2,0,2.3526410220656544,-0.07535628974437714,0.6115294098854065,1.0592000484466553,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.052541159093379974,dpm,2,0,2.1711739419260994,-0.08881339430809021,0.583820104598999,1.0112061500549316,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,dpm_raw
gauss,Langevin + Gaussian,0.046831514686346054,langevin,2,0,5.256306872004643,-0.08551692962646484,0.6191238164901733,1.0723539590835571,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,langevin_gauss
uncorrected,Langevin + uncorrected,0.07131204754114151,langevin,2,0,5.097731105051935,-0.09965077042579651,0.609061598777771,1.0549256801605225,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,langevin_raw
fnpe,Langevin + F-NPSE,0.05117037519812584,langevin,2,0,5.086035654996522,-0.08802197128534317,0.6478091478347778,1.1220383644104004,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,langevin_fnpe
gauss,DPM-2 + Gaussian,0.02157697081565857,dpm,5,0,4.82257749105338,-0.39664316177368164,0.42523014545440674,1.0415968894958496,-0.1467950940132141,-0.3878343900044759,0.408248290463863,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.01237920206040144,dpm,5,0,4.969300696044229,-0.3928881883621216,0.4236692190170288,1.0377733707427979,-0.1467950940132141,-0.3878343900044759,0.408248290463863,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.18730390071868896,dpm,5,0,4.825524906045757,-0.46430090069770813,0.38909292221069336,0.953079104423523,-0.1467950940132141,-0.3878343900044759,0.408248290463863,dpm_raw
gauss,Langevin + Gaussian,0.045087069272994995,langevin,5,0,11.277754732989706,-0.40624111890792847,0.4366193413734436,1.069494605064392,-0.1467950940132141,-0.3878343900044759,0.408248290463863,langevin_gauss
uncorrected,Langevin + uncorrected,0.21880623698234558,langevin,5,0,11.09597632708028,-0.4771616756916046,0.4251698851585388,1.0414491891860962,-0.1467950940132141,-0.3878343900044759,0.408248290463863,langevin_raw
fnpe,Langevin + F-NPSE,0.0721828043460846,langevin,5,0,11.662265309947543,-0.4173029065132141,0.4842703938484192,1.1862152814865112,-0.1467950940132141,-0.3878343900044759,0.408248290463863,langevin_fnpe
gauss,DPM-2 + Gaussian,0.009294910356402397,dpm,10,0,9.050871907966211,0.3052219748497009,0.33694231510162354,1.11751127243042,-0.1467950940132141,0.3024194457314231,0.30151134457776363,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.020441943779587746,dpm,10,0,9.182070840033703,0.30858293175697327,0.32725340127944946,1.0853767395019531,-0.1467950940132141,0.3024194457314231,0.30151134457776363,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.04155878722667694,dpm,10,0,8.982373585924506,0.28988900780677795,0.2430996149778366,0.806270182132721,-0.1467950940132141,0.3024194457314231,0.30151134457776363,dpm_raw
