correction,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,theta_true,truth_mean,truth_std,variant
gauss,DPM-2 + Gaussian,0.01137492898851633,dpm,1,0,1.8739165699807927,-0.14885225892066956,0.7317436933517456,1.0348418951034546,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.043236684054136276,dpm,1,0,1.4826814119587652,-0.12632259726524353,0.7082484364509583,1.0016145706176758,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.026649853214621544,dpm,1,0,1.2909882559906691,-0.13805125653743744,0.7250957489013672,1.0254402160644531,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,dpm_raw
gauss,Langevin + Gaussian,0.024817224591970444,langevin,1,0,3.176455900014844,-0.1393471211194992,0.7523545026779175,1.0639899969100952,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,langevin_gauss
uncorrected,Langevin + uncorrected,0.013630016706883907,langevin,1,0,3.076729611027986,-0.166533425450325,0.7031781077384949,0.9944440126419067,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,langevin_raw
fnpe,Langevin + F-NPSE,0.009602443315088749,langevin,1,0,3.076139313983731,-0.15010559558868408,0.6814513206481934,0.9637176990509033,-0.1467950940132141,-0.15689554810523987,0.7071067811865476,langevin_fnpe
gauss,DPM-2 + Gaussian,0.009792008437216282,dpm,2,0,2.093572680023499,-0.06413216143846512,0.6075593829154968,1.0523236989974976,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.0005800893995910883,dpm,2,0,2.198066980985459,-0.05814382806420326,0.5964248776435852,1.0330382585525513,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.011800147593021393,dpm,2,0,2.0220492919906974,-0.06529156118631363,0.566236674785614,0.9807506799697876,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,dpm_raw
gauss,Langevin + Gaussian,0.018160928040742874,langevin,2,0,4.903313971008174,-0.06896395981311798,0.6036531329154968,1.0455578565597534,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,langevin_gauss
uncorrected,Langevin + uncorrected,0.01314054150134325,langevin,2,0,4.750504222989548,-0.06606543809175491,0.5145763754844666,0.8912724256515503,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,langevin_raw
fnpe,Langevin + F-NPSE,0.002308156108483672,langevin,2,0,4.762381939974148,-0.05714612826704979,0.6002616882324219,1.0396838188171387,-0.1467950940132141,-0.058478742837905884,0.5773502691896257,langevin_fnpe
gauss,DPM-2 + Gaussian,0.09469848871231079,dpm,5,0,4.396090236026794,-0.349173903465271,0.46156004071235657,1.1305865049362183,-0.1467950940132141,-0.3878343900044759,0.408248290463863,dpm_gauss
gauss_full,DPM-2 + full Gaussian,0.1059947982430458,dpm,5,0,4.521542927017435,-0.34456220269203186,0.4592999219894409,1.12505042552948,-0.1467950940132141,-0.3878343900044759,0.408248290463863,dpm_gauss_full
uncorrected,DPM-2 + uncorrected,0.020365674048662186,dpm,5,0,4.417790888983291,-0.3961486518383026,0.33843228220939636,0.8289863467216492,-0.1467950940132141,-0.3878343900044759,0.408248290463863,dpm_raw
gauss,Langevin + Gaussian,0.07522983849048615,langevin,5,0,10.588212589966133,-0.35712194442749023,0.47372475266456604,1.160383939743042,-0.1467950940132141,-0.3878343900044759,0.408248290463863,langevin_gauss
uncorrected,Langevin + uncorrected,0.05787741020321846,langevin,5,0,10.507412403996568,-0.3642060458660126,0.2923955023288727,0.7162197828292847,-0.1467950940132141,-0.3878343900044759,0.408248290463863,langevin_raw
fnpe,Langevin + F-NPSE,0.06704802066087723,langevin,5,0,10.598997341003269,-0.36046215891838074,0.4403308033943176,1.0785857439041138,-0.1467950940132141,-0.3878343900044759,0.408248290463863,langevin_fnpe
gauss,DPM-2 + Gaussian,0.20080958306789398,dpm,10,0,8.926608532958198,0.36296582221984863,0.4239155948162079,1.4059689044952393,-0.1467950940132141,0.3024194457314231,0.30151134457776363,dpm_gauss
