correction,inference_time_grid,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,training_time_sampling,variant
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.3177184462547302,dpm,1,0,1.391212654998526,1.0087649822235107,0.7909485101699829,1.11857008934021,uniform,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.33522626757621765,dpm,1,0,1.402551015955396,0.9963850975036621,0.7698144316673279,1.0886820554733276,uniform,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.3376692533493042,langevin,1,0,3.3253383670235053,0.9946576356887817,0.7933999300003052,1.1220369338989258,uniform,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.31946316361427307,langevin,1,0,3.319879679940641,1.0075312852859497,0.7869789004325867,1.1129562854766846,uniform,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.10562203079462051,langevin,1,0,3.178227480035275,1.1587398052215576,0.5806981921195984,0.8212312459945679,uniform,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.16725875437259674,langevin,1,0,3.189375992049463,1.1151560544967651,0.7840656638145447,1.10883629322052,uniform,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.3279936909675598,dpm,1,0,1.4556030930252746,1.0014992952346802,0.7753929495811462,1.0965712070465088,log_sigma,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.3069445490837097,dpm,1,0,2.3637618590146303,1.0163832902908325,0.7786461114883423,1.101171851158142,log_sigma,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.2924347221851349,langevin,1,0,4.70378357602749,1.0266432762145996,0.7600842118263245,1.0749213695526123,log_sigma,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.35094669461250305,langevin,1,0,3.2460613270523027,0.9852690696716309,0.7932510375976562,1.121826410293579,log_sigma,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.1012500524520874,langevin,1,0,3.178105912054889,1.3050204515457153,0.732799232006073,1.0363346338272095,log_sigma,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.008780031464993954,langevin,1,0,3.1541049929801375,1.227217435836792,0.7821298837661743,1.1060986518859863,log_sigma,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.2566154897212982,dpm,1,0,1.4010999649763107,1.0519713163375854,0.746365487575531,1.0555201768875122,mixture,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.2869392931461334,dpm,1,0,1.3919329839991406,1.0305291414260864,0.738399863243103,1.0442551374435425,mixture,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.29618141055107117,langevin,1,0,3.2796932170167565,1.023993968963623,0.7285822629928589,1.0303709506988525,mixture,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.2713806927204132,langevin,1,0,3.284955928917043,1.041530728340149,0.7528867125511169,1.0647425651550293,mixture,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.051633261144161224,langevin,1,0,3.167748979991302,1.196915626525879,0.7218469977378845,1.020845890045166,mixture,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.008160809986293316,langevin,1,0,3.17029309598729,1.227655291557312,0.8270123600959778,1.169572114944458,mixture,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.20734189450740814,dpm,2,0,2.208664146019146,1.0548954010009766,0.6606294512748718,1.144243836402893,uniform,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.21705186367034912,dpm,2,0,2.222339543979615,1.049289345741272,0.6643632650375366,1.150710940361023,uniform,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.1796649545431137,langevin,2,0,5.2180074389325455,1.0708746910095215,0.6549522876739502,1.1344106197357178,uniform,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.19948814809322357,langevin,2,0,5.213039402035065,1.0594297647476196,0.6511293649673462,1.1277891397476196,uniform,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.2450122982263565,langevin,2,0,5.069576314068399,1.0331463813781738,0.4525257647037506,0.7837976217269897,uniform,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.14787375926971436,langevin,2,0,5.082328595919535,1.0892293453216553,0.6520017385482788,1.1293001174926758,uniform,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.2349071353673935,dpm,2,0,2.2137208649655804,1.0389806032180786,0.623369038105011,1.0797069072723389,log_sigma,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.2169186919927597,dpm,2,0,2.2160486429929733,1.0493662357330322,0.6282362341880798,1.088137149810791,log_sigma,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.20761403441429138,langevin,2,0,5.156513546942733,1.0547382831573486,0.6415461897850037,1.1111905574798584,log_sigma,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.230605810880661,langevin,2,0,5.163128124899231,1.0414639711380005,0.6459876894950867,1.118883490562439,log_sigma,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.06817132979631424,langevin,2,0,4.946277152048424,1.2139630317687988,0.6196039915084839,1.0731855630874634,log_sigma,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.0060615320689976215,langevin,2,0,4.956988592981361,1.1711046695709229,0.6694939732551575,1.159597635269165,log_sigma,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.12357456237077713,dpm,2,0,2.204996954998933,1.103258490562439,0.6142125129699707,1.063847303390503,mixture,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.1617194563150406,dpm,2,0,2.2036249010125175,1.0812355279922485,0.5970513224601746,1.0341233015060425,mixture,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.1808197796344757,langevin,2,0,5.115899423020892,1.070207953453064,0.6183398962020874,1.0709961652755737,mixture,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.13469374179840088,langevin,2,0,5.099537893082015,1.0968388319015503,0.613081693649292,1.0618886947631836,mixture,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.05693797394633293,langevin,2,0,4.94781244196929,1.1417311429977417,0.5942118167877197,1.029205083847046,mixture,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.023703301325440407,langevin,2,0,4.985735345981084,1.1882894039154053,0.7292851805686951,1.2631590366363525,mixture,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.0785093903541565,dpm,5,0,4.78357613296248,1.3758870363235474,0.4663134217262268,1.1422299146652222,uniform,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.04186752811074257,dpm,5,0,4.837110331049189,1.3908460140228271,0.4744066596031189,1.162054181098938,uniform,dpm_gauss_uniform_t
