c_true,expected_model,configuration,criterion,n_observations,linear_selected,quadratic_selected,accuracy
0.0,linear,correct,aic,2,3,0,1.0
0.0,linear,correct,aic,5,2,1,0.6666666666666666
0.0,linear,correct,aic,10,3,0,1.0
0.0,linear,correct,bic,2,3,0,1.0
0.0,linear,correct,bic,5,2,1,0.6666666666666666
0.0,linear,correct,bic,10,3,0,1.0
0.0,linear,curvature_local,aic,2,2,1,0.6666666666666666
0.0,linear,curvature_local,aic,5,3,0,1.0
0.0,linear,curvature_local,aic,10,3,0,1.0
0.0,linear,curvature_local,bic,2,1,2,0.3333333333333333
0.0,linear,curvature_local,bic,5,3,0,1.0
0.0,linear,curvature_local,bic,10,3,0,1.0
0.0,linear,all_local,aic,2,1,2,0.3333333333333333
0.0,linear,all_local,aic,5,3,0,1.0
0.0,linear,all_local,aic,10,3,0,1.0
0.0,linear,all_local,bic,2,1,2,0.3333333333333333
0.0,linear,all_local,bic,5,3,0,1.0
0.0,linear,all_local,bic,10,3,0,1.0
0.0,linear,all_global,aic,2,3,0,1.0
0.0,linear,all_global,aic,5,3,0,1.0
0.0,linear,all_global,aic,10,1,2,0.3333333333333333
0.0,linear,all_global,bic,2,1,2,0.3333333333333333
0.0,linear,all_global,bic,5,2,1,0.6666666666666666
0.0,linear,all_global,bic,10,1,2,0.3333333333333333
0.6,quadratic,correct,aic,2,0,3,1.0
0.6,quadratic,correct,aic,5,0,3,1.0
0.6,quadratic,correct,aic,10,0,3,1.0
0.6,quadratic,correct,bic,2,0,3,1.0
0.6,quadratic,correct,bic,5,0,3,1.0
0.6,quadratic,correct,bic,10,0,3,1.0
0.6,quadratic,curvature_local,aic,2,0,3,1.0
0.6,quadratic,curvature_local,aic,5,0,3,1.0
0.6,quadratic,curvature_local,aic,10,0,3,1.0
0.6,quadratic,curvature_local,bic,2,0,3,1.0
0.6,quadratic,curvature_local,bic,5,0,3,1.0
0.6,quadratic,curvature_local,bic,10,0,3,1.0
0.6,quadratic,all_local,aic,2,0,3,1.0
0.6,quadratic,all_local,aic,5,0,3,1.0
0.6,quadratic,all_local,aic,10,0,3,1.0
0.6,quadratic,all_local,bic,2,0,3,1.0
0.6,quadratic,all_local,bic,5,0,3,1.0
0.6,quadratic,all_local,bic,10,0,3,1.0
0.6,quadratic,all_global,aic,2,0,3,1.0
0.6,quadratic,all_global,aic,5,0,3,1.0
0.6,quadratic,all_global,aic,10,0,3,1.0
0.6,quadratic,all_global,bic,2,0,3,1.0
0.6,quadratic,all_global,bic,5,0,3,1.0
0.6,quadratic,all_global,bic,10,0,3,1.0
