candidate_family,correct,criterion,exact_log_evidence,generating_family,learned_log_likelihood,n_observations,repeat,runtime_seconds,score,selected,support_weight
original,1,aicc,-8.894905499307045,original,-4.620718002319336,5,0,1.0852807270130143,12.574769337972006,1,0.999896164512363
vertical,1,aicc,-10.049528579953817,original,-10.460549354553223,5,0,1.9504069150425494,30.921098709106445,0,0.00010377675771215035
horizontal,1,aicc,-10.821303481940296,original,-17.937597274780273,5,0,1.9220151909976266,45.87519454956055,0,5.872992486903772e-08
original,1,bic,-8.894905499307045,original,-4.620718002319336,5,0,1.0852807270130143,10.850873917072771,1,0.9986998628576598
vertical,1,bic,-10.049528579953817,original,-10.460549354553223,5,0,1.9504069150425494,24.139974533974645,0,0.001299401777597298
horizontal,1,bic,-10.821303481940296,original,-17.937597274780273,5,0,1.9220151909976266,39.094070374428746,0,7.353647430830113e-07
original,1,exact_evidence,-8.894905499307045,original,-4.620718002319336,5,0,1.0852807270130143,17.78981099861409,1,0.6845337842199176
vertical,1,exact_evidence,-10.049528579953817,original,-10.460549354553223,5,0,1.9504069150425494,20.099057159907634,0,0.2157488325703333
horizontal,1,exact_evidence,-10.821303481940296,original,-17.937597274780273,5,0,1.9220151909976266,21.642606963880592,0,0.09971738320974906
original,1,aicc,-13.843999960705172,original,-10.68964672088623,10,0,0.8088591099949554,23.87929344177246,1,0.9999752354050899
vertical,1,aicc,-16.597654521228275,original,-19.712146759033203,10,0,2.1352694510133006,45.13857923235212,0,2.4187667546978843e-05
horizontal,1,aicc,-16.684461265790986,original,-23.448028564453125,10,0,2.1319953619968146,52.610342843191965,0,5.769273630575962e-07
original,1,bic,-13.843999960705172,original,-10.68964672088623,10,0,0.8088591099949554,23.681878534766508,1,0.9999609340588369
vertical,1,bic,-16.597654521228275,original,-19.712146759033203,10,0,2.1352694510133006,44.0294637040545,0,3.81558430774029e-05
horizontal,1,bic,-16.684461265790986,original,-23.448028564453125,10,0,2.1319953619968146,51.501227314894344,0,9.100980856930557e-07
original,1,exact_evidence,-13.843999960705172,original,-10.68964672088623,10,0,0.8088591099949554,27.687999921410345,1,0.8911914269258988
vertical,1,exact_evidence,-16.597654521228275,original,-19.712146759033203,10,0,2.1352694510133006,33.19530904245655,0,0.056764134356812226
horizontal,1,exact_evidence,-16.684461265790986,original,-23.448028564453125,10,0,2.1319953619968146,33.36892253158197,0,0.05204443871728892
original,1,aicc,-29.622199736577144,original,-35.14265823364258,25,0,1.0563162300386466,72.45922951076342,1,0.9994994750150386
vertical,1,aicc,-32.37664156458511,original,-52.91618728637695,25,0,3.9011186950374395,110.37782911820845,0,5.8326146565346834e-09
horizontal,1,aicc,-33.292218656950894,original,-41.556251525878906,25,0,3.853758870041929,87.65795759721236,0,0.0005005191523468463
original,1,bic,-29.622199736577144,original,-35.14265823364258,25,0,1.0563162300386466,73.50419229215336,1,0.9996722788050735
vertical,1,bic,-32.37664156458511,original,-52.91618728637695,25,0,3.9011186950374395,112.2701262224903,0,3.818933124653231e-09
horizontal,1,bic,-33.292218656950894,original,-41.556251525878906,25,0,3.853758870041929,89.55025470149421,0,0.0003277173759934919
original,1,exact_evidence,-29.622199736577144,original,-35.14265823364258,25,0,1.0563162300386466,59.24439947315429,1,0.9181720292139101
vertical,1,exact_evidence,-32.37664156458511,original,-52.91618728637695,25,0,3.9011186950374395,64.75328312917021,0,0.05843663125501201
horizontal,1,exact_evidence,-33.292218656950894,original,-41.556251525878906,25,0,3.853758870041929,66.58443731390179,0,0.023391339531078026
original,1,aicc,-62.792913501957244,original,-76.32657623291016,50,0,1.5978824409539811,154.73648579915366,1,0.9999999999888141
vertical,1,aicc,-66.23230557142118,original,-100.45693969726562,50,0,6.902070470969193,205.16919854346742,0,1.118601954599818e-11
horizontal,1,aicc,-66.7774091749357,original,-139.35247802734375,50,0,6.803332337993197,282.96027520362367,0,1.434028908884843e-28
original,1,bic,-62.792913501957244,original,-76.32657623291016,50,0,1.5978824409539811,156.56517547124847,1,0.9999999999953137
vertical,1,bic,-66.23230557142118,original,-100.45693969726562,50,0,6.902070470969193,208.73792540538753,0,4.68631307634826e-12
horizontal,1,bic,-66.7774091749357,original,-139.35247802734375,50,0,6.803332337993197,286.5290020655438,0,6.007774615388166e-29
original,1,exact_evidence,-62.792913501957244,original,-76.32657623291016,50,0,1.5978824409539811,125.58582700391449,1,0.9517591294229734
vertical,1,exact_evidence,-66.23230557142118,original,-100.45693969726562,50,0,6.902070470969193,132.46461114284236,0,0.03053641537055827
horizontal,1,exact_evidence,-66.7774091749357,original,-139.35247802734375,50,0,6.803332337993197,133.5548183498714,0,0.017704455206468427
original,0,aicc,-44.09307337440846,vertical,-9.258830070495605,5,0,0.7275067510199733,21.850993474324543,1,0.9980673124340771
vertical,0,aicc,-10.707260825554112,vertical,-12.189836502075195,5,0,1.8836311119957827,34.37967300415039,0,0.0018992915656391054
horizontal,0,aicc,-27.78326803321717,vertical,-16.230636596679688,5,0,1.908096363011282,42.461273193359375,0,3.3396000283822475e-05
original,0,bic,-44.09307337440846,vertical,-9.258830070495605,5,0,0.7275067510199733,20.12709805342531,1,0.9762999981650631
vertical,0,bic,-10.707260825554112,vertical,-12.189836502075195,5,0,1.8836311119957827,27.59854882901859,0,0.023290476114400577
horizontal,0,bic,-27.78326803321717,vertical,-16.230636596679688,5,0,1.908096363011282,35.680149018227574,0,0.00040952572053630536
original,1,exact_evidence,-44.09307337440846,vertical,-9.258830070495605,5,0,0.7275067510199733,88.18614674881692,0,3.1675670708559875e-15
vertical,1,exact_evidence,-10.707260825554112,vertical,-12.189836502075195,5,0,1.8836311119957827,21.414521651108224,1,0.9999999616306611
horizontal,1,exact_evidence,-27.78326803321717,vertical,-16.230636596679688,5,0,1.908096363011282,55.56653606643434,0,3.836933569270894e-08
original,0,aicc,-104.92013540317552,vertical,-17.325454711914062,10,0,0.7164720459841192,37.150909423828125,1,0.9986994664456015
vertical,0,aicc,-17.080041845309125,vertical,-23.02056312561035,10,0,2.139712873962708,51.75541196550642,0,0.0006731430798635878
horizontal,0,aicc,-104.10311592470335,vertical,-23.090951919555664,10,0,2.1025056820362806,51.89618955339704,0,0.000627390474534872
original,0,bic,-104.92013540317552,vertical,-17.325454711914062,10,0,0.7164720459841192,36.95349451682217,1,0.997949929623202
vertical,0,bic,-17.080041845309125,vertical,-23.02056312561035,10,0,2.139712873962708,50.6462964372088,0,0.0010610957961889455
horizontal,0,bic,-104.10311592470335,vertical,-23.090951919555664,10,0,2.1025056820362806,50.78707402509942,0,0.000988974580608997
original,1,exact_evidence,-104.92013540317552,vertical,-17.325454711914062,10,0,0.7164720459841192,209.84027080635104,0,7.10447643303e-39
vertical,1,exact_evidence,-17.080041845309125,vertical,-23.02056312561035,10,0,2.139712873962708,34.16008369061825,1,1.0
horizontal,1,exact_evidence,-104.10311592470335,vertical,-23.090951919555664,10,0,2.1025056820362806,208.2062318494067,0,1.6082706228354244e-38
original,0,aicc,-376.36665082289437,vertical,-39.19881820678711,25,0,1.0501618309644982,80.57154945705248,1,0.9999998905287517
vertical,0,aicc,-32.83834561474606,vertical,-54.041114807128906,25,0,3.9055032989708707,112.62768415971236,0,1.0942051290849594e-07
horizontal,0,aicc,-318.7456507860839,vertical,-61.717445373535156,25,0,3.865366018959321,127.98034529252486,0,5.073535925530264e-11
original,0,bic,-376.36665082289437,vertical,-39.19881820678711,25,0,1.0501618309644982,81.61651223844243,1,0.9999999283355494
vertical,0,bic,-32.83834561474606,vertical,-54.041114807128906,25,0,3.9055032989708707,114.51998126399421,0,7.16312371954276e-08
horizontal,0,bic,-318.7456507860839,vertical,-61.717445373535156,25,0,3.865366018959321,129.87264239680673,0,3.321348489794559e-11
original,1,exact_evidence,-376.36665082289437,vertical,-39.19881820678711,25,0,1.0501618309644982,752.7333016457887,0,6.420260806605206e-150
vertical,1,exact_evidence,-32.83834561474606,vertical,-54.041114807128906,25,0,3.9055032989708707,65.67669122949212,1,1.0
horizontal,1,exact_evidence,-318.7456507860839,vertical,-61.717445373535156,25,0,3.865366018959321,637.4913015721678,0,6.792584163668561e-125
original,0,aicc,-685.4636471726045,vertical,-87.93756866455078,50,0,1.5918423749972135,177.9584706624349,1,0.9999999999030555
vertical,0,aicc,-66.71401622893352,vertical,-122.14769744873047,50,0,6.8918047019978985,248.5507140463971,0,4.689095917848537e-16
horizontal,0,aicc,-649.8717037918962,vertical,-109.90846252441406,50,0,6.830428390996531,224.0722441977643,0,9.694408298063641e-11
original,0,bic,-685.4636471726045,vertical,-87.93756866455078,50,0,1.5918423749972135,179.78716033452972,1,0.9999999999593856
vertical,0,bic,-66.71401622893352,vertical,-122.14769744873047,50,0,6.8918047019978985,252.11944090831722,0,1.964467470023445e-16
horizontal,0,bic,-649.8717037918962,vertical,-109.90846252441406,50,0,6.830428390996531,227.6409710596844,0,4.0614118534408974e-11
original,1,exact_evidence,-685.4636471726045,vertical,-87.93756866455078,50,0,1.5918423749972135,1370.927294345209,0,1.9074343593825422e-269
vertical,1,exact_evidence,-66.71401622893352,vertical,-122.14769744873047,50,0,6.8918047019978985,133.42803245786703,1,1.0
horizontal,1,exact_evidence,-649.8717037918962,vertical,-109.90846252441406,50,0,6.830428390996531,1299.7434075837923,0,5.468071842682457e-254
original,0,aicc,-197.88221045576176,horizontal,-10.798185348510742,5,0,0.7217466139700264,24.929704030354817,1,0.9098680745664148
vertical,0,aicc,-139.10432107335876,horizontal,-9.776988983154297,5,0,1.9417511679930612,29.553977966308594,0,0.09012185040396935
horizontal,0,aicc,-11.24880851346775,horizontal,-18.87584686279297,5,0,1.9317462609615177,47.75169372558594,0,1.0075029615820207e-05
original,0,bic,-197.88221045576176,horizontal,-10.798185348510742,5,0,0.7217466139700264,23.205808609455584,0,0.44606338741650803
vertical,0,bic,-139.10432107335876,horizontal,-9.776988983154297,5,0,1.9417511679930612,22.772853791176793,1,0.5538746930388886
horizontal,0,bic,-11.24880851346775,horizontal,-18.87584686279297,5,0,1.9317462609615177,40.97056955045414,0,6.191954460329578e-05
original,1,exact_evidence,-197.88221045576176,horizontal,-10.798185348510742,5,0,0.7217466139700264,395.76442091152353,0,8.83371528515144e-82
vertical,1,exact_evidence,-139.10432107335876,horizontal,-9.776988983154297,5,0,1.9417511679930612,278.2086421467175,0,2.972052072630522e-56
horizontal,1,exact_evidence,-11.24880851346775,horizontal,-18.87584686279297,5,0,1.9317462609615177,22.4976170269355,1,1.0
original,0,aicc,-346.0753416057784,horizontal,-24.032058715820312,10,0,0.8144468279788271,50.564117431640625,0,0.00022983746749334342
vertical,0,aicc,-281.629550831913,horizontal,-14.04700756072998,10,0,2.1745087840245105,33.808300835745676,1,0.9997701624466332
horizontal,0,aicc,-17.148346406822103,horizontal,-37.22492218017578,10,0,2.1680439740302972,80.16413007463727,0,8.587361587534328e-11
original,0,bic,-346.0753416057784,horizontal,-24.032058715820312,10,0,0.8144468279788271,50.36670252463467,0,0.00014570823479349807
vertical,0,bic,-281.629550831913,horizontal,-14.04700756072998,10,0,2.1745087840245105,32.699185307448055,1,0.9998542916793257
horizontal,0,bic,-17.148346406822103,horizontal,-37.22492218017578,10,0,2.1680439740302972,79.05501454633965,0,8.588084201759426e-11
original,1,exact_evidence,-346.0753416057784,horizontal,-24.032058715820312,10,0,0.8144468279788271,692.1506832115568,0,1.4087081788064677e-143
vertical,1,exact_evidence,-281.629550831913,horizontal,-14.04700756072998,10,0,2.1745087840245105,563.259101663826,0,1.371741731482762e-115
horizontal,1,exact_evidence,-17.148346406822103,horizontal,-37.22492218017578,10,0,2.1680439740302972,34.296692813644206,1,1.0
original,0,aicc,-883.5184191828254,horizontal,-62.478450775146484,25,0,1.0919853060040623,127.13081459377123,0,7.410325152400924e-09
vertical,0,aicc,-686.9598961717311,horizontal,-42.572288513183594,25,0,3.9341658939956687,89.69003157182173,1,0.9999999925896748
horizontal,0,aicc,-33.797841976213974,horizontal,-86.7806167602539,25,0,3.895860171003733,178.10668806596235,0,6.317816167957313e-20
