accuracy,criterion,generating_family,n_observations,trials
1.0,aicc,original,5,3
1.0,aicc,vertical,5,3
1.0,aicc,horizontal,5,3
1.0,aicc,original,10,3
1.0,aicc,vertical,10,3
1.0,aicc,horizontal,10,3
1.0,aicc,original,25,3
1.0,aicc,vertical,25,3
1.0,aicc,horizontal,25,3
1.0,aicc,original,50,3
1.0,aicc,vertical,50,3
1.0,aicc,horizontal,50,3
1.0,bic,original,5,3
1.0,bic,vertical,5,3
1.0,bic,horizontal,5,3
1.0,bic,original,10,3
1.0,bic,vertical,10,3
1.0,bic,horizontal,10,3
1.0,bic,original,25,3
1.0,bic,vertical,25,3
1.0,bic,horizontal,25,3
1.0,bic,original,50,3
1.0,bic,vertical,50,3
1.0,bic,horizontal,50,3
1.0,exact_evidence,original,5,3
1.0,exact_evidence,vertical,5,3
1.0,exact_evidence,horizontal,5,3
1.0,exact_evidence,original,10,3
1.0,exact_evidence,vertical,10,3
1.0,exact_evidence,horizontal,10,3
1.0,exact_evidence,original,25,3
1.0,exact_evidence,vertical,25,3
1.0,exact_evidence,horizontal,25,3
1.0,exact_evidence,original,50,3
1.0,exact_evidence,vertical,50,3
1.0,exact_evidence,horizontal,50,3
