variant,n_observations,repeat,mean_error_sigma,std_ratio,runtime_seconds
"DPM + gauss, log sigma grid",1,0,0.03673112764954567,1.0076608657836914,0.2979938118951395
"DPM + gauss, uniform t grid",1,0,0.04148285463452339,1.0104764699935913,0.25014920195098966
"DPM + uncorrected, log sigma grid",1,0,0.031893204897642136,1.0218315124511719,0.22135233005974442
"DPM + uncorrected, uniform t grid",1,0,0.02473827265202999,1.013256311416626,0.22011664498131722
"DPM + gauss, log sigma grid",1,1,0.0265529565513134,1.0011138916015625,0.2487851670011878
"DPM + gauss, uniform t grid",1,1,0.010993758216500282,0.9831646680831909,0.2508072529453784
"DPM + uncorrected, log sigma grid",1,1,0.005663704127073288,1.0126210451126099,0.2205331630539149
"DPM + uncorrected, uniform t grid",1,1,0.01973816193640232,1.0258136987686157,0.22027131100185215
"DPM + gauss, log sigma grid",1,2,0.023345286026597023,0.984333872795105,0.24943024199455976
"DPM + gauss, uniform t grid",1,2,0.030023841187357903,1.0225872993469238,0.24892808706499636
"DPM + uncorrected, log sigma grid",1,2,0.031237954273819923,1.0115768909454346,0.2222870719851926
"DPM + uncorrected, uniform t grid",1,2,0.022820714861154556,1.0196270942687988,0.22009202709887177
"DPM + gauss, log sigma grid",5,0,0.031213894486427307,0.9921310544013977,0.26343316794373095
"DPM + gauss, uniform t grid",5,0,0.04156267270445824,1.0005755424499512,0.2644928990630433
"DPM + uncorrected, log sigma grid",5,0,0.19918006658554077,0.9438066482543945,0.2351041060173884
"DPM + uncorrected, uniform t grid",5,0,0.16884520649909973,0.9724342823028564,0.22318729909602553
"DPM + gauss, log sigma grid",5,1,0.05043134465813637,0.9994406700134277,0.26669968001078814
"DPM + gauss, uniform t grid",5,1,0.013080259785056114,1.0071661472320557,0.26734737399965525
"DPM + uncorrected, log sigma grid",5,1,0.21060335636138916,0.9283431172370911,0.2258324819849804
"DPM + uncorrected, uniform t grid",5,1,0.1377323716878891,0.9686124920845032,0.22237018297892064
"DPM + gauss, log sigma grid",5,2,0.03843490034341812,0.9895145297050476,0.2633405440719798
"DPM + gauss, uniform t grid",5,2,0.02751695178449154,0.9934244751930237,0.27120395796373487
"DPM + uncorrected, log sigma grid",5,2,0.11792979389429092,0.9409161806106567,0.22344332095235586
"DPM + uncorrected, uniform t grid",5,2,0.03645610436797142,0.9525077939033508,0.22202833404298872
"DPM + gauss, log sigma grid",50,0,0.04057548940181732,1.0259199142456055,0.2646269090473652
"DPM + gauss, uniform t grid",50,0,0.016236431896686554,1.0051953792572021,0.2629154969472438
"DPM + uncorrected, log sigma grid",50,0,0.18874375522136688,0.9836174249649048,0.22675619192887098
"DPM + uncorrected, uniform t grid",50,0,0.4971908926963806,0.8473759293556213,0.2234411999816075
"DPM + gauss, log sigma grid",50,1,0.030429018661379814,0.9889234304428101,0.2630621619755402
"DPM + gauss, uniform t grid",50,1,0.022755945101380348,1.0095505714416504,0.2650420790305361
"DPM + uncorrected, log sigma grid",50,1,0.13188332319259644,0.9939987659454346,0.22499856096692383
"DPM + uncorrected, uniform t grid",50,1,0.3595016598701477,0.8881760835647583,0.2235208450583741
"DPM + gauss, log sigma grid",50,2,0.014937378466129303,0.9901587963104248,0.2640102329896763
"DPM + gauss, uniform t grid",50,2,0.01511751301586628,1.010824203491211,0.2657695870148018
"DPM + uncorrected, log sigma grid",50,2,0.18465952575206757,0.9685729742050171,0.22272555495146662
"DPM + uncorrected, uniform t grid",50,2,0.5058304667472839,0.8731602430343628,0.22431641502771527
"DPM + gauss, log sigma grid",200,0,0.046125587075948715,0.9989598989486694,0.27113354997709394
"DPM + gauss, uniform t grid",200,0,0.0030623639468103647,1.0180227756500244,0.2707807959523052
"DPM + uncorrected, log sigma grid",200,0,0.2034197449684143,1.0265897512435913,0.22734484809916466
"DPM + uncorrected, uniform t grid",200,0,0.11084263771772385,2.093467950820923,0.22745974198915064
"DPM + gauss, log sigma grid",200,1,0.03450082242488861,1.0193450450897217,0.2700298469280824
"DPM + gauss, uniform t grid",200,1,0.02331063337624073,1.0404720306396484,0.26818369200918823
"DPM + uncorrected, log sigma grid",200,1,0.020703211426734924,1.0317590236663818,0.22837202704977244
"DPM + uncorrected, uniform t grid",200,1,0.06481211632490158,2.1938767433166504,0.2271342589519918
"DPM + gauss, log sigma grid",200,2,0.01425255462527275,1.0029218196868896,0.26957173307891935
"DPM + gauss, uniform t grid",200,2,0.04171876981854439,1.021898627281189,0.2678552429424599
"DPM + uncorrected, log sigma grid",200,2,0.08276531100273132,1.0265214443206787,0.22934995393734425
"DPM + uncorrected, uniform t grid",200,2,0.050899069756269455,2.219980001449585,0.2269999060081318
