variant,n_observations,repeat,mean_error_sigma,std_ratio,runtime_seconds
DPM,1,0,0.03164760395884514,1.020522117614746,0.22671161103062332
DPM + Gaussian (upstream),1,0,nan,nan,0.17024872999172658
PF-ODE,1,0,0.029859796166419983,1.0203497409820557,0.097427046042867
PF-ODE + Gaussian,1,0,0.03808796778321266,0.9848778247833252,0.11154282500501722
Langevin,1,0,0.012535961344838142,1.158292293548584,0.30417038907762617
Langevin + F-NPSE,1,0,0.009536821395158768,1.1685034036636353,0.2983761199284345
DPM,1,1,0.015220914967358112,1.0398399829864502,0.22306420700624585
DPM + Gaussian (upstream),1,1,nan,nan,0.1629592499230057
PF-ODE,1,1,0.028258277103304863,1.0003173351287842,0.09968973998911679
PF-ODE + Gaussian,1,1,0.009712914004921913,0.9946354627609253,0.11194026202429086
Langevin,1,1,0.038759902119636536,1.161910057067871,0.30538521707057953
Langevin + F-NPSE,1,1,0.016348836943507195,1.162949562072754,0.30109050404280424
DPM,1,2,0.004903723951429129,1.015813946723938,0.22029135492630303
DPM + Gaussian (upstream),1,2,nan,nan,0.1624507149681449
PF-ODE,1,2,0.026100676506757736,1.0258299112319946,0.09652000409550965
PF-ODE + Gaussian,1,2,0.054643481969833374,0.9805084466934204,0.11324384994804859
Langevin,1,2,0.03352716192603111,1.1464217901229858,0.3013144569704309
Langevin + F-NPSE,1,2,0.03852542117238045,1.1703994274139404,0.2989325389498845
DPM,5,0,0.254727303981781,0.947906494140625,0.23808563908096403
DPM + Gaussian (upstream),5,0,nan,nan,0.1663205480435863
PF-ODE,5,0,0.4607919156551361,0.7925427556037903,0.09988448699004948
PF-ODE + Gaussian,5,0,0.0365678109228611,1.0043210983276367,0.14205760101322085
Langevin,5,0,0.08481423556804657,1.1231168508529663,0.30143657594453543
Langevin + F-NPSE,5,0,0.1119016483426094,1.6578534841537476,0.30032092798501253
DPM,5,1,0.20166154205799103,0.9367777109146118,0.22199828503653407
DPM + Gaussian (upstream),5,1,nan,nan,0.16363221895880997
PF-ODE,5,1,0.3788567781448364,0.796327531337738,0.09978305792901665
PF-ODE + Gaussian,5,1,0.03392941877245903,1.001554012298584,0.11902944301255047
Langevin,5,1,0.07166881114244461,1.1214962005615234,0.3073286119615659
Langevin + F-NPSE,5,1,0.07897359877824783,1.6093379259109497,0.3010366710368544
DPM,5,2,0.09303394705057144,0.9268032312393188,0.22324591397773474
DPM + Gaussian (upstream),5,2,nan,nan,0.16557215002831072
PF-ODE,5,2,0.16730524599552155,0.7724708318710327,0.09767267701681703
PF-ODE + Gaussian,5,2,0.028897320851683617,0.9973921179771423,0.11924454290419817
Langevin,5,2,0.045328766107559204,1.1430726051330566,0.30415482399985194
Langevin + F-NPSE,5,2,0.1045503243803978,1.6326498985290527,0.2985374489799142
DPM,50,0,0.1444200575351715,0.9924497604370117,0.2263405240373686
DPM + Gaussian (upstream),50,0,nan,nan,0.16392169403843582
PF-ODE,50,0,0.7635244727134705,0.010192046873271465,0.0983030820498243
PF-ODE + Gaussian,50,0,0.030976353213191032,0.9864237308502197,0.12004621094092727
Langevin,50,0,0.18381427228450775,1.0409982204437256,0.30433956801425666
Langevin + F-NPSE,50,0,0.17759960889816284,2.117382049560547,0.30109889002051204
DPM,50,1,0.08657582104206085,0.978225588798523,0.23364596697501838
DPM + Gaussian (upstream),50,1,nan,nan,0.16288128006272018
PF-ODE,50,1,0.5856651067733765,0.005637721158564091,0.09789148496929556
PF-ODE + Gaussian,50,1,0.015599029138684273,0.9908269047737122,0.12157660501543432
Langevin,50,1,0.11314579099416733,1.0222597122192383,0.30273817107081413
Langevin + F-NPSE,50,1,0.13316160440444946,2.1305618286132812,0.30145293194800615
DPM,50,2,0.15509654581546783,0.9987722635269165,0.22215878800489008
DPM + Gaussian (upstream),50,2,nan,nan,0.16318018303718418
PF-ODE,50,2,0.7867550253868103,0.009355149231851101,0.0997729660011828
PF-ODE + Gaussian,50,2,0.012716863304376602,0.9940721988677979,0.12269729794934392
Langevin,50,2,0.18029816448688507,1.0442171096801758,0.301892823074013
Langevin + F-NPSE,50,2,0.18758326768875122,2.103623151779175,0.30055217898916453
DPM,200,0,0.24703297019004822,1.017141580581665,0.2311880000634119
DPM + Gaussian (upstream),200,0,nan,nan,0.16701127705164254
PF-ODE,200,0,0.7801694869995117,0.00036141613963991404,0.10048108198679984
PF-ODE + Gaussian,200,0,0.010429692454636097,0.9990257024765015,0.12171854008920491
Langevin,200,0,0.3058697283267975,1.0428128242492676,0.30816312006209046
Langevin + F-NPSE,200,0,0.6730614304542542,2.2262916564941406,0.31242238101549447
DPM,200,1,0.01633034460246563,1.0367556810379028,0.22980143793392926
DPM + Gaussian (upstream),200,1,nan,nan,0.1656949130119756
PF-ODE,200,1,0.03871072456240654,5.519946716958657e-05,0.10042522789444774
PF-ODE + Gaussian,200,1,0.028464367613196373,1.0069849491119385,0.12202782195527107
Langevin,200,1,0.02420014515519142,1.0510690212249756,0.31015608611050993
Langevin + F-NPSE,200,1,0.10036541521549225,2.1469838619232178,0.31450920191127807
DPM,200,2,0.06606829911470413,1.0226670503616333,0.23022099991794676
DPM + Gaussian (upstream),200,2,nan,nan,0.1675052639329806
PF-ODE,200,2,0.20842409133911133,0.00016987769049592316,0.10240658593829721
PF-ODE + Gaussian,200,2,0.016995780169963837,1.0207509994506836,0.1219536199932918
Langevin,200,2,0.09642712026834488,1.0389330387115479,0.30981798097491264
Langevin + F-NPSE,200,2,0.17089484632015228,2.2201220989227295,0.3146241649519652
