variant,n_observations,repeat,mean_error_sigma,std_ratio,runtime_seconds,prior_std,likelihood_std
DPM + uncorrected,1,0,0.03013572283089161,1.0175094604492188,0.39344330097083,1.0,1.0
DPM + Gaussian,1,0,0.025167636573314667,1.007030963897705,0.449817750020884,1.0,1.0
Langevin + Gaussian,1,0,0.006794533226639032,1.0178440809249878,0.70438427105546,1.0,1.0
Langevin + uncorrected,1,0,0.05649295076727867,1.0828343629837036,0.6363004740560427,1.0,1.0
Langevin + F-NPSE,1,0,0.01758747175335884,1.0591297149658203,1.0217545529594645,1.0,1.0
DPM + uncorrected,1,1,0.01239303220063448,1.008754014968872,0.4028624049387872,1.0,1.0
DPM + Gaussian,1,1,0.0400812104344368,1.010154128074646,0.4465444389497861,1.0,1.0
Langevin + Gaussian,1,1,0.015735797584056854,1.024174690246582,0.698536294978112,1.0,1.0
Langevin + uncorrected,1,1,0.017775114625692368,1.0701278448104858,0.6261252380209044,1.0,1.0
Langevin + F-NPSE,1,1,0.0165785513818264,1.0442122220993042,0.9802201129496098,1.0,1.0
DPM + uncorrected,1,2,0.031299807131290436,1.0094972848892212,0.3992620069766417,1.0,1.0
DPM + Gaussian,1,2,0.03829227387905121,1.0035300254821777,0.4527421339880675,1.0,1.0
Langevin + Gaussian,1,2,0.021941501647233963,1.0181628465652466,0.6982786520384252,1.0,1.0
Langevin + uncorrected,1,2,0.005092706996947527,1.0609972476959229,0.624219315010123,1.0,1.0
Langevin + F-NPSE,1,2,0.01917867735028267,1.0388175249099731,0.9894701420562342,1.0,1.0
DPM + uncorrected,2,0,0.27693668007850647,0.9504638910293579,0.4030348740052432,1.0,1.0
DPM + Gaussian,2,0,0.035025786608457565,0.997552752494812,0.4685298749245703,1.0,1.0
Langevin + Gaussian,2,0,0.0297902412712574,1.0208659172058105,0.7296900990186259,1.0,1.0
Langevin + uncorrected,2,0,0.0747830718755722,1.0708345174789429,0.6178872779710218,1.0,1.0
Langevin + F-NPSE,2,0,0.012746530584990978,1.042994499206543,0.984088805038482,1.0,1.0
DPM + uncorrected,2,1,0.15104393661022186,0.9661929607391357,0.3959643680136651,1.0,1.0
DPM + Gaussian,2,1,0.021731341257691383,1.0053539276123047,0.4689139579422772,1.0,1.0
Langevin + Gaussian,2,1,0.014708754606544971,1.0187454223632812,0.7245431250194088,1.0,1.0
Langevin + uncorrected,2,1,0.06697728484869003,1.0517878532409668,0.6222369329771027,1.0,1.0
Langevin + F-NPSE,2,1,0.007978971116244793,1.067228078842163,0.9762139960657805,1.0,1.0
DPM + uncorrected,2,2,0.06503009051084518,0.9742166996002197,0.3957509370520711,1.0,1.0
DPM + Gaussian,2,2,0.02016930654644966,1.0089157819747925,0.4756609780015424,1.0,1.0
Langevin + Gaussian,2,2,0.04882499575614929,1.0093708038330078,0.7228646279545501,1.0,1.0
Langevin + uncorrected,2,2,0.004148449283093214,1.055192470550537,0.6192158339545131,1.0,1.0
Langevin + F-NPSE,2,2,0.02931799180805683,1.0600981712341309,0.9820138260256499,1.0,1.0
DPM + uncorrected,5,0,0.29301923513412476,0.8874127864837646,0.39710850291885436,1.0,1.0
DPM + Gaussian,5,0,0.016035905107855797,0.9971445798873901,0.4718096900032833,1.0,1.0
Langevin + Gaussian,5,0,0.03593412786722183,0.9985175132751465,0.7298518569441512,1.0,1.0
Langevin + uncorrected,5,0,0.08786080777645111,1.0484299659729004,0.6443702440010384,1.0,1.0
Langevin + F-NPSE,5,0,0.027011971920728683,1.0825469493865967,0.9744884060928598,1.0,1.0
DPM + uncorrected,5,1,0.09019879251718521,0.8886333703994751,0.39228664711117744,1.0,1.0
DPM + Gaussian,5,1,0.024762028828263283,0.9983795881271362,0.46352787397336215,1.0,1.0
Langevin + Gaussian,5,1,0.03531535714864731,1.0223727226257324,0.7175962099572644,1.0,1.0
Langevin + uncorrected,5,1,0.0165104977786541,1.0294535160064697,0.6104854359291494,1.0,1.0
Langevin + F-NPSE,5,1,0.03020653687417507,1.0642762184143066,0.9621468799887225,1.0,1.0
