variant,timesteps,n_observations,repeat,mean_error_sigma,std_ratio,runtime_seconds
DPM,5,50,0,0.45245498418807983,0.8677042722702026,0.07864571688696742
DPM + Gaussian (upstream),5,50,0,914988662784.0,2972843769856.0,0.05700914096087217
PF-ODE,5,50,0,18.965614318847656,2.0440127849578857,0.011101849027909338
PF-ODE + Gaussian,5,50,0,0.035535164177417755,1.3259248733520508,0.014662420027889311
Langevin,5,50,0,2.8063876628875732,13.173429489135742,0.0333633580012247
Langevin + F-NPSE,5,50,0,19.146209716796875,11.991495132446289,0.03233286598697305
DPM,20,50,0,0.23174414038658142,0.9788053035736084,0.12470651394687593
DPM + Gaussian (upstream),20,50,0,9.483034758019231e+30,inf,0.0938660609535873
PF-ODE,20,50,0,0.9061813354492188,0.054400939494371414,0.039930943050421774
PF-ODE + Gaussian,20,50,0,0.018574725836515427,1.0143752098083496,0.04949257697444409
Langevin,20,50,0,0.5035337209701538,1.0450851917266846,0.12370050302706659
Langevin + F-NPSE,20,50,0,2.8213908672332764,4.191164016723633,0.12296487204730511
DPM,50,50,0,0.1885809302330017,0.9926425218582153,0.22411424003075808
DPM + Gaussian (upstream),50,50,0,nan,nan,0.16457595699466765
PF-ODE,50,50,0,0.8859819173812866,0.013229982927441597,0.09798750607296824
PF-ODE + Gaussian,50,50,0,0.033983226865530014,1.0084964036941528,0.1218914610799402
Langevin,50,50,0,0.21743203699588776,1.0530198812484741,0.3031961760716513
Langevin + F-NPSE,50,50,0,0.28220975399017334,2.099699020385742,0.3036119509488344
DPM,200,50,0,0.09992662817239761,0.9938395619392395,0.7197161669610068
DPM + Gaussian (upstream),200,50,0,nan,nan,0.5211526170605794
PF-ODE,200,50,0,0.879088282585144,0.010612424463033676,0.3977063859347254
PF-ODE + Gaussian,200,50,0,0.017940789461135864,0.9986287951469421,0.4778040499659255
Langevin,200,50,0,0.10619325935840607,0.9997294545173645,1.2207434290321544
Langevin + F-NPSE,200,50,0,0.9678603410720825,1.2169394493103027,1.219996994943358
DPM,5,50,1,0.3589266240596771,0.8553926944732666,0.0768412119941786
DPM + Gaussian (upstream),5,50,1,839939194880.0,3065624133632.0,0.0589711059583351
PF-ODE,5,50,1,18.53449058532715,2.721877098083496,0.010968271060846746
PF-ODE + Gaussian,5,50,1,0.0309971384704113,1.279038429260254,0.01449042302556336
Langevin,5,50,1,2.1455819606781006,12.30750846862793,0.03208942001219839
Langevin + F-NPSE,5,50,1,11.809545516967773,11.698461532592773,0.031762504018843174
DPM,20,50,1,0.14171110093593597,0.9839447140693665,0.1260073829907924
DPM + Gaussian (upstream),20,50,1,9.731212117213369e+30,inf,0.09287773398682475
PF-ODE,20,50,1,0.7371485233306885,0.04540993273258209,0.03997481195256114
PF-ODE + Gaussian,20,50,1,0.012380841188132763,1.0325475931167603,0.05116889497730881
Langevin,20,50,1,0.3387133479118347,1.0598745346069336,0.1250742629636079
Langevin + F-NPSE,20,50,1,0.2697838842868805,4.234755516052246,0.12360565399285406
DPM,50,50,1,0.14755164086818695,0.9883301854133606,0.2252596360631287
DPM + Gaussian (upstream),50,50,1,nan,nan,0.16483698703814298
PF-ODE,50,50,1,0.7067887783050537,0.008635290898382664,0.09859828290063888
PF-ODE + Gaussian,50,50,1,0.007693858351558447,1.0151300430297852,0.12169113103300333
Langevin,50,50,1,0.17680978775024414,1.0410997867584229,0.3063414019998163
Langevin + F-NPSE,50,50,1,0.26044800877571106,2.0978264808654785,0.3014919830020517
DPM,200,50,1,0.11194026470184326,0.998972475528717,0.7180117290699854
DPM + Gaussian (upstream),200,50,1,nan,nan,0.5211395720252767
PF-ODE,200,50,1,0.7011457085609436,0.0065297335386276245,0.39224243990611285
PF-ODE + Gaussian,200,50,1,0.0016073615988716483,0.9912488460540771,0.477522868080996
Langevin,200,50,1,0.09175817668437958,1.0235469341278076,1.216404775972478
Langevin + F-NPSE,200,50,1,0.7456841468811035,1.2570059299468994,1.2209147190442309
DPM,5,50,2,0.47943371534347534,0.8787164688110352,0.07876715494785458
DPM + Gaussian (upstream),5,50,2,827815690240.0,3009530036224.0,0.05742045701481402
PF-ODE,5,50,2,18.94322395324707,2.1082048416137695,0.010997171979397535
PF-ODE + Gaussian,5,50,2,0.043810997158288956,1.3328105211257935,0.014809451065957546
Langevin,5,50,2,1.8118914365768433,13.065485954284668,0.03198910504579544
Langevin + F-NPSE,5,50,2,16.995208740234375,12.157224655151367,0.03344437899067998
DPM,20,50,2,0.19779208302497864,0.9747039079666138,0.1251574739580974
DPM + Gaussian (upstream),20,50,2,1.0531022932360572e+31,inf,0.0938520219642669
PF-ODE,20,50,2,0.8942300081253052,0.04442712292075157,0.04013426194433123
PF-ODE + Gaussian,20,50,2,0.019340302795171738,1.0415444374084473,0.0494989879662171
Langevin,20,50,2,0.46383121609687805,1.0777151584625244,0.12408950098324567
Langevin + F-NPSE,20,50,2,2.532477855682373,4.165782928466797,0.12237464694771916
DPM,50,50,2,0.190631702542305,0.9971218109130859,0.23006713204085827
DPM + Gaussian (upstream),50,50,2,nan,nan,0.16916075395420194
PF-ODE,50,50,2,0.8736287951469421,0.009066388010978699,0.09854122390970588
PF-ODE + Gaussian,50,50,2,0.02508731186389923,0.9982612133026123,0.12137322290800512
Langevin,50,50,2,0.17647722363471985,1.0178589820861816,0.30538575001992285
Langevin + F-NPSE,50,50,2,0.17808805406093597,2.1372768878936768,0.30384627799503505
DPM,200,50,2,0.11998400092124939,1.0048432350158691,0.7226829919964075
DPM + Gaussian (upstream),200,50,2,nan,nan,0.5219868629937991
PF-ODE,200,50,2,0.8668875694274902,0.007596154697239399,0.3973301579244435
PF-ODE + Gaussian,200,50,2,0.03795313462615013,0.9865694046020508,0.475568484980613
Langevin,200,50,2,0.0959567204117775,1.0184884071350098,1.218397063901648
Langevin + F-NPSE,200,50,2,0.9558570981025696,1.2218823432922363,1.2110573129029945
