mask,method,repetition,samples,seconds,timesteps
posterior,exact,0,96,1.233714975998737,50
posterior,learned,0,96,0.43126012303400785,50
posterior,learned,1,96,0.3862938790116459,50
posterior,exact,1,96,1.267413176014088,50
posterior,exact,2,96,1.3403042229474522,50
posterior,learned,2,96,0.4176565609523095,50
likelihood,exact,0,96,1.3492651809938252,50
likelihood,learned,0,96,0.43080818199086934,50
likelihood,learned,1,96,0.3900499129667878,50
likelihood,exact,1,96,1.2728370699915104,50
likelihood,exact,2,96,1.3259094309760258,50
likelihood,learned,2,96,0.4441070330212824,50
