mask,method,repetition,samples,seconds,timesteps
posterior,exact,0,256,1.3330766409635544,50
posterior,learned,0,256,0.44722173002082855,50
posterior,learned,1,256,0.37098254199372604,50
posterior,exact,1,256,1.309116406016983,50
posterior,exact,2,256,1.247798383992631,50
posterior,learned,2,256,0.45120197196956724,50
posterior,learned,3,256,0.3944766990025528,50
posterior,exact,3,256,1.2639929469441995,50
posterior,exact,4,256,1.4669234949979,50
posterior,learned,4,256,0.4435815089964308,50
likelihood,exact,0,256,1.3690682310261764,50
likelihood,learned,0,256,0.45375717198476195,50
likelihood,learned,1,256,0.37246392999077216,50
likelihood,exact,1,256,1.2922490199562162,50
likelihood,exact,2,256,1.3495932299993,50
likelihood,learned,2,256,0.44841745897429064,50
likelihood,learned,3,256,0.3763335130061023,50
likelihood,exact,3,256,1.2440830750274472,50
likelihood,exact,4,256,1.3933780320221558,50
likelihood,learned,4,256,0.4228321360424161,50
