mask,method,repetition,samples,seconds,timesteps
posterior,exact,0,96,0.9386648270301521,50
posterior,learned,0,96,0.35419058497063816,50
posterior,learned,1,96,0.3546953179757111,50
posterior,exact,1,96,0.934633495984599,50
posterior,exact,2,96,0.9382645160076208,50
posterior,learned,2,96,0.35109313199063763,50
likelihood,exact,0,96,1.2549351979978383,50
likelihood,learned,0,96,0.43333378399256617,50
likelihood,learned,1,96,0.37880425999173895,50
likelihood,exact,1,96,1.1841387780150399,50
likelihood,exact,2,96,1.213756195968017,50
likelihood,learned,2,96,0.4325471310294233,50
