analytic,mask,sample,stage1_exact,stage2_exact,stage2_learned
1.6013572071002868,posterior,0,1.5094872,1.5856664,1.1734307
2.219415940411738,posterior,1,2.0329266,1.9932773,2.266175
2.277000584408909,posterior,2,2.01345,2.0715454,2.127135
1.3959206257637486,posterior,3,0.99958134,1.0477836,1.0387099
1.8912728106339203,posterior,4,1.3424654,1.3990946,1.2167983
1.0060200092847613,posterior,5,0.98234344,0.8030126,0.764909
2.0082719387705064,posterior,6,1.7500806,1.7329135,1.7135224
2.185542212046461,posterior,7,2.0278587,2.010391,1.7825468
1.7911329333715296,posterior,8,1.4219062,1.3825746,1.4186721
0.9732640805023127,posterior,9,0.56636405,0.41641307,0.5901673
2.3217453400178463,posterior,10,2.025926,2.199974,2.1151333
0.13374945491652435,posterior,11,0.61410093,0.5288813,0.42244625
2.2934255071417615,posterior,12,1.9614797,2.0372052,2.4403853
1.9462214746860846,posterior,13,1.5301428,1.6029775,1.3862269
2.181109098484535,posterior,14,1.9733725,2.0445144,2.0427353
1.4197304101490014,posterior,15,0.8729799,0.96751595,0.93951845
1.4753229727687733,posterior,16,1.2641385,1.3129008,1.0943224
2.109080483531672,posterior,17,1.6461449,1.6167085,1.6929376
2.174850663857111,posterior,18,1.8652618,2.0328634,1.9578488
2.1184133896958293,posterior,19,1.7608011,1.8047423,1.7769165
2.2763334424953685,posterior,20,1.9371111,2.0430996,1.973563
2.2271037932513025,posterior,21,1.952394,2.09952,1.8170898
1.4525648883922533,posterior,22,1.0438976,1.1129961,1.1860919
1.9381005685731867,posterior,23,1.8620195,1.7641726,1.7528706
2.305984916311944,posterior,24,2.1209843,2.1886768,2.3243828
1.7651578338468106,posterior,25,1.1533875,1.1112585,1.2303996
1.7050627075686853,posterior,26,1.2209241,1.3032966,1.3938079
1.9298997641607816,posterior,27,1.4861896,1.4411237,1.3448908
0.8683677125595723,posterior,28,0.3275199,0.24615192,0.61398983
2.082171453650531,posterior,29,1.6896908,1.7109599,1.8702502
1.8160715785105292,posterior,30,1.7160125,1.593477,1.4208405
1.321842670748207,posterior,31,0.9945719,0.93276405,0.81716967
2.158482848863126,posterior,32,1.7443564,1.8128743,1.7952142
1.528220578885937,posterior,33,1.1657941,1.1923511,0.8175256
2.0923261711981698,posterior,34,1.7300739,1.6766005,1.6549478
1.8089740125360203,posterior,35,1.5419579,1.468003,1.5236342
2.0946331417349198,posterior,36,1.864191,1.8087475,1.7612121
1.793768998100914,posterior,37,1.4995348,1.5392256,1.3028488
1.7959521006322312,posterior,38,1.7110307,1.6140263,1.54544
1.8086363475626985,posterior,39,1.6181669,1.6276426,1.4218383
1.4987752788187256,posterior,40,0.96212673,1.0156946,0.9588046
0.8928085635798704,posterior,41,0.9244025,1.037914,0.8083737
2.243461976536398,posterior,42,1.7740324,1.9162898,2.0148125
1.9865803167134328,posterior,43,1.4554877,1.5006618,1.3789854
2.2474369996672463,posterior,44,1.7275946,1.7369902,1.9759123
1.0600401807887088,posterior,45,0.76878595,0.84173536,0.7006841
1.9228837264918237,posterior,46,1.5160468,1.3561275,1.4158356
2.125431726108645,posterior,47,1.8723559,1.964637,1.6635473
1.9632405710168226,posterior,48,1.810456,1.8643498,1.6378493
1.7819871541615422,posterior,49,1.3198209,1.2396193,1.2342415
1.419810444218963,posterior,50,1.0462835,1.0613344,0.9132335
1.8959710530146792,posterior,51,1.683306,1.6346364,1.496088
0.9790518856141595,posterior,52,0.59795666,0.6397147,0.47428417
1.1464548587919152,posterior,53,1.1269722,1.2343218,1.0139697
1.5400647976467448,posterior,54,1.3048043,1.3760192,1.2548692
0.7293523919989711,posterior,55,0.97539735,0.84374166,0.7064717
2.1865625255242183,posterior,56,1.9367254,1.9626784,2.1908078
0.5701379329351282,posterior,57,0.81888986,0.65788484,0.6281965
1.8930756310691512,posterior,58,1.3865819,1.3843691,1.5432642
1.6035117764448303,posterior,59,1.387855,1.3717282,1.1940572
0.7943006655897085,posterior,60,0.6019616,0.62760305,0.5310924
2.2635043626961937,posterior,61,2.089929,2.0610719,1.9359317
1.8595806252756297,posterior,62,1.3677816,1.3394818,1.3084841
1.5288870302834061,posterior,63,1.0385449,1.040396,0.94128156
1.0020081942351764,posterior,64,0.94272375,0.836473,0.66111493
1.4099702865221313,posterior,65,1.216398,1.1597118,1.1175103
2.01147270225178,posterior,66,1.6902938,1.6866214,1.5598423
0.8360550242784561,posterior,67,0.526428,0.5794666,0.4277742
1.8320038202708129,posterior,68,1.6839244,1.5963552,1.5647228
1.6993900417688974,posterior,69,1.2740982,1.3002112,1.0362275
1.3645330069010533,posterior,70,1.0298932,1.0034289,0.9009447
2.1973935261755986,posterior,71,1.7636359,1.9205348,1.8416674
1.8207652909572625,posterior,72,1.572165,1.4880881,1.3614659
1.1431779925057088,posterior,73,0.71889544,0.73817825,0.5552888
0.7642917980776245,posterior,74,0.48967695,0.57838106,0.3894148
1.913456389668617,posterior,75,2.106568,2.1607435,1.5463622
1.2770655172321774,posterior,76,0.9018884,0.805599,0.7258992
0.19017985660123182,posterior,77,0.5079036,0.5477526,0.4695251
1.5922554684803938,posterior,78,1.1650467,1.1986144,1.4038222
2.267074564690408,posterior,79,2.0186298,2.3727825,2.282242
1.9386599539962193,posterior,80,1.8476405,1.6616209,1.8498218
1.8341825128655276,posterior,81,1.3018575,1.2810235,1.1791172
2.046771116398189,posterior,82,1.7967517,1.7981768,1.6494694
1.4153283795666796,posterior,83,1.0446024,1.0684876,0.9512348
2.274009501307208,posterior,84,2.3643188,2.2154934,2.227677
1.0304739298677852,posterior,85,0.83139825,0.69838953,0.65622616
1.7866614218544732,posterior,86,1.6306388,1.5963252,1.424957
2.0282095128693736,posterior,87,1.8031971,1.8402414,1.5740829
2.332599915030801,posterior,88,2.1176782,2.1570575,2.1552584
1.4325756843491049,posterior,89,1.1744859,1.2615445,1.0589545
2.310684173383403,posterior,90,2.0876744,2.1065693,1.9718184
2.234519173946481,posterior,91,2.0650878,2.097775,2.0674605
1.5426245233525782,posterior,92,1.3721206,1.401793,1.1522541
