mask,method,repetition,samples,seconds,timesteps
posterior,exact,0,96,0.9643662250018679,50
posterior,learned,0,96,0.3594383809831925,50
posterior,learned,1,96,0.358721638971474,50
posterior,exact,1,96,0.938259321032092,50
posterior,exact,2,96,1.0316732269711792,50
posterior,learned,2,96,0.43392873799894005,50
likelihood,exact,0,96,1.1870657039689831,50
likelihood,learned,0,96,0.4301759179797955,50
likelihood,learned,1,96,0.38915575499413535,50
likelihood,exact,1,96,1.2208552680094726,50
likelihood,exact,2,96,1.3262447860324755,50
likelihood,learned,2,96,0.4384773389901966,50
