training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,runtime_device,mean_error,covariance_error,posterior_width_ratio,theta_map_squared_error,observation_map_squared_error,sliced_wasserstein
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,0,0,0.03414535999763757,0.04552714666351676,cuda,0.363369345664978,0.24706947803497314,0.9468446969985962,0.17299002408981323,1.2634457349777222,0.25453829765319824
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,0,1,0.02443783008493483,0.03258377344657978,cuda,0.36472347378730774,0.2368447631597519,0.9553568363189697,0.2923641800880432,1.4687707424163818,0.25364211201667786
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,0,0,0.05039634997956455,0.06719513330608606,cuda,0.30232590436935425,0.16885288059711456,0.9905637502670288,0.0834772139787674,1.0231013298034668,0.2097799926996231
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,0,1,0.04858909291215241,0.06478545721620321,cuda,0.3087718188762665,0.1993720978498459,0.9800868034362793,0.08685226738452911,0.8169589638710022,0.21482984721660614
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,0,0,0.10607702704146504,0.14143603605528673,cuda,0.3012818694114685,0.14168056845664978,0.9908523559570312,0.04038481041789055,0.8154950737953186,0.20419842004776
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,0,1,0.09122826904058456,0.12163769205411275,cuda,0.2896876335144043,0.15512754023075104,1.0187513828277588,0.3017269968986511,0.6087018847465515,0.19462822377681732
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,0,0,0.24060989602003247,0.3208131946933766,cuda,0.33100026845932007,0.13536807894706726,1.051898717880249,0.2773808240890503,0.8471947908401489,0.21975107491016388
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,0,1,0.231206362019293,0.30827514935905737,cuda,0.3124697208404541,0.15228234231472015,1.0086947679519653,0.10346029698848724,0.8074443340301514,0.2118668258190155
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,0,0,0,0.4620539579773322,0.6160719439697763,cuda,0.2980615794658661,0.0964796394109726,1.0119465589523315,0.11319592595100403,1.2094714641571045,0.20068836212158203
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,0,0,1,0.5053033370058984,0.6737377826745311,cuda,0.30436256527900696,0.09579041600227356,1.0150055885314941,0.4715932309627533,0.8277978897094727,0.20379988849163055
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,0,0,0.022205825080163777,0.029607766773551702,cuda,0.4433119297027588,0.28135237097740173,0.9626699090003967,0.18558022379875183,1.5422149896621704,0.3042515218257904
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,0,1,0.025518595008179545,0.03402479334423939,cuda,0.4453808069229126,0.2714063823223114,0.9714388251304626,0.43147629499435425,1.5315569639205933,0.30433037877082825
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,0,0,0.04593678191304207,0.061249042550722756,cuda,0.35830628871917725,0.18291537463665009,1.0037195682525635,0.10448402911424637,1.433429479598999,0.2443145513534546
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,0,1,0.04545151500497013,0.060602020006626844,cuda,0.36684146523475647,0.21214550733566284,0.9923719763755798,0.106574647128582,1.2020000219345093,0.25009801983833313
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,0,0,0.09133211895823479,0.12177615861097972,cuda,0.3462260365486145,0.14686012268066406,0.9966829419136047,0.061468303203582764,1.2328039407730103,0.2323218286037445
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,0,1,0.09187246893998235,0.1224966252533098,cuda,0.33555757999420166,0.16114458441734314,1.0254406929016113,0.3237934410572052,1.0090097188949585,0.223141148686409
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,0,0,0.2368280409136787,0.3157707212182383,cuda,0.3552614748477936,0.1395624577999115,1.0548888444900513,0.291912704706192,1.1119792461395264,0.23491275310516357
