training_scheme,variant,variant_label,family,timesteps,runtime_s_median,mean_error_median,mean_error_lo,mean_error_hi,covariance_error_median,covariance_error_lo,covariance_error_hi,posterior_width_ratio_median,posterior_width_ratio_lo,posterior_width_ratio_hi,sliced_wasserstein_median,sliced_wasserstein_lo,sliced_wasserstein_hi,theta_map_squared_error_median,theta_map_squared_error_lo,theta_map_squared_error_hi,observation_map_squared_error_median,observation_map_squared_error_lo,observation_map_squared_error_hi
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0.16463138803374022,0.19170677661895752,0.14992930144071578,0.39537469744682313,0.20745661854743958,0.17116657197475432,0.2654718324542045,1.3482904434204102,1.1371063590049744,1.601624071598053,0.1614973098039627,0.11136117801070214,0.267993175983429,13.426741860806942,0.006057923054322601,2596.0212890625,0.9150997698307037,0.03494058288633824,69.68738021850587
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0.23372589703649282,0.21093536913394928,0.15522925853729247,0.4161172419786453,0.22317025065422058,0.17901827096939088,0.27758940458297726,1.344150722026825,1.1562440872192383,1.5763295769691468,0.16156123578548431,0.13202438801527022,0.2829659223556519,13.61998176574707,0.010077041387557984,2610.34111328125,0.7904593795537949,0.022848393954336643,68.67361221313476
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0.3730527585139498,0.15242666006088257,0.07812781184911728,0.38082076907157897,0.19747116416692734,0.1705493614077568,0.2938169986009598,1.338046669960022,1.1419698238372802,1.5394814491271973,0.12833082675933838,0.10457146763801575,0.2532950878143311,14.311571955680847,0.02348486408591271,2592.5788818359374,0.6609678529202938,0.015771417692303658,68.61235809326172
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0.7998803890077397,0.09893199801445007,0.06106618009507657,0.2475046455860138,0.19457271695137024,0.13393846452236174,0.3253473937511444,1.291456699371338,1.157530176639557,1.4020937085151672,0.11658410355448723,0.09128296449780464,0.17641099989414216,13.821018114686012,0.022164420597255236,2563.0292724609376,0.5107878297567368,0.005225944612175226,69.64569854736328
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,1.527966452529654,0.09486991167068481,0.02282872311770916,0.19993196129798887,0.11083244904875755,0.081712706387043,0.26152891516685484,1.1868217587471008,1.0803816080093385,1.3037680864334107,0.09302647784352303,0.06575452461838723,0.14618219584226605,13.315730634145439,0.0019821903668344023,2572.857177734375,0.39615436270833015,0.0008534393971785904,69.64479293823243
log_sigma,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,0.16559368453454226,0.18240994960069656,0.14575692564249038,0.37122831046581267,0.3246803283691406,0.2788838356733322,0.3581094741821289,1.5384694337844849,1.21126788854599,1.888319718837738,0.21288909763097763,0.1379163667559624,0.2866223633289337,14.603219218552113,0.01427233535796404,2586.3255859375,1.0185327976942062,0.019235679134726527,69.59457473754883
log_sigma,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,0.23210285091772676,0.1710420474410057,0.1220709204673767,0.340634748339653,0.23333866149187088,0.19895325899124144,0.311921164393425,1.3844881653785706,1.1477210879325868,1.6543610453605653,0.1638440415263176,0.11613759845495224,0.24377598911523818,16.01542629301548,0.02414147686213255,2596.1664306640623,0.7266727387905121,0.03950503170490265,69.3577392578125
log_sigma,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,0.3700034084613435,0.12169848382472992,0.042124292999506,0.2973684072494507,0.21204476058483124,0.19117991626262665,0.35907042026519775,1.36903977394104,1.1561495780944824,1.5560724496841432,0.1274082064628601,0.09985835701227189,0.21415537744760513,14.945458021014929,0.0015992781147360806,2595.280712890625,0.5029342621564865,0.0025888849748298528,68.65471496582032
log_sigma,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,0.7950926880002953,0.09893650189042091,0.012535362038761377,0.22688598781824112,0.221802718937397,0.1505806565284729,0.367866113781929,1.3099485039710999,1.170354998111725,1.523675537109375,0.1220240443944931,0.09118799641728402,0.1637251302599907,14.104867368936539,0.01269701598212123,2580.0095703125,0.4817309472709894,0.013332226034253837,70.1192527770996
log_sigma,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,1.4975235959864222,0.07586944103240967,0.02187188006937504,0.21578647345304489,0.15855810791254044,0.12011570930480957,0.2924684911966324,1.2632755041122437,1.1147578477859497,1.4373440861701965,0.10489026084542274,0.08169297501444817,0.1583950579166412,13.309799134731293,0.014512412715703249,2584.447900390625,0.4414534159004688,0.008810510393232107,69.65027770996093
