training_scheme,variant,variant_label,timesteps,model_seed,observation,nominal_coverage,analytical_coverage
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.1,0.1175599992275238
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.2,0.2363000065088272
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.30000000000000004,0.35294002294540405
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.4,0.45868000388145447
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.5,0.5646600127220154
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.6000000000000001,0.6617799997329712
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.7000000000000001,0.762179970741272
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.8,0.8613600134849548
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.9,0.9318599700927734
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,1.0,0.9997999668121338
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.1,0.10646000504493713
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.2,0.22217999398708344
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.30000000000000004,0.3324199914932251
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.4,0.442220002412796
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.5,0.5886199474334717
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.6000000000000001,0.6834800243377686
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.7000000000000001,0.790619969367981
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.8,0.8793599605560303
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.9,0.9494199752807617
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,1.0,0.999940037727356
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.1,0.12668000161647797
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.2,0.24441999197006226
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.30000000000000004,0.36580002307891846
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.4,0.5102800130844116
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.5,0.6276400089263916
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.6000000000000001,0.7339999675750732
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.7000000000000001,0.8205200433731079
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.8,0.8905199766159058
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.9,0.952239990234375
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,1.0,0.999940037727356
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.1,0.1082800030708313
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.2,0.22113999724388123
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.30000000000000004,0.3527200222015381
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.4,0.4807400107383728
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.5,0.5885800123214722
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.6000000000000001,0.7001399993896484
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.7000000000000001,0.8078600168228149
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.8,0.896120011806488
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.9,0.9599599838256836
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,1.0,0.9998999834060669
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.1,0.057100001722574234
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.2,0.11276000738143921
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.30000000000000004,0.1791200041770935
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.4,0.2574400007724762
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.5,0.33368000388145447
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.6000000000000001,0.44091999530792236
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.7000000000000001,0.5524600148200989
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.8,0.6613600254058838
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.9,0.8043799996376038
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,1.0,0.9991799592971802
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.1,0.05795999988913536
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.2,0.1402600109577179
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.30000000000000004,0.221220001578331
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.4,0.307420015335083
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.5,0.38960000872612
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.6000000000000001,0.4865800142288208
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.7000000000000001,0.5803999900817871
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.8,0.7130999565124512
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.9,0.8288999795913696
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,1.0,0.9997199773788452
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.1,0.07481999695301056
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.2,0.15892000496387482
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.30000000000000004,0.24116000533103943
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.4,0.33145999908447266
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.5,0.4335799813270569
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.6000000000000001,0.5377799868583679
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.7000000000000001,0.652999997138977
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.8,0.7759599685668945
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.9,0.8957599997520447
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,1.0,0.9988200068473816
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.1,0.10554000735282898
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.2,0.2039799988269806
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.30000000000000004,0.30437999963760376
