training_scheme,variant,variant_label,timesteps,nominal_coverage,analytical_coverage_median,analytical_coverage_lo,analytical_coverage_hi
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,0.0,0.0,0.0,0.0
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,0.1,0.10576999932527542,0.07422400191426277,0.13697399497032164
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,0.2,0.21591000258922577,0.15493399798870086,0.26441999375820163
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,0.30000000000000004,0.3241100013256073,0.23723599463701248,0.38471601903438574
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,0.4,0.4246000051498413,0.31540200412273406,0.5199880063533783
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,0.5,0.5251699984073639,0.42211000323295594,0.6332740008831025
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,0.6000000000000001,0.6293400228023529,0.5224499881267548,0.7425899863243103
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,0.7000000000000001,0.7243399918079376,0.6346999943256378,0.8342519760131837
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,0.8,0.8223399817943573,0.7281040072441101,0.9145860075950623
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,0.9,0.9186699986457825,0.8604159712791443,0.9729159832000732
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",10,1.0,0.9997499883174896,0.9978360295295715,1.0
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,0.0,0.0,0.0,0.0
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,0.1,0.1063000001013279,0.09423400089144707,0.12699800431728364
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,0.2,0.21564999967813492,0.18755000084638596,0.26314000189304354
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,0.30000000000000004,0.32427000999450684,0.28049000203609464,0.38851599991321567
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,0.4,0.4338899850845337,0.3726680099964142,0.5060880005359649
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,0.5,0.5443300008773804,0.4619619995355606,0.6172460198402405
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,0.6000000000000001,0.6532500386238098,0.5745139598846436,0.7223359882831574
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,0.7000000000000001,0.7507599890232086,0.681913959980011,0.8247899889945984
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,0.8,0.8438999950885773,0.7920899868011475,0.9095159649848938
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,0.9,0.9347699880599976,0.897437983751297,0.9717280089855194
log_sigma,dpm2_log,"DPM-2 + corrector, log sigma",50,1.0,0.999809980392456,0.998389995098114,1.0
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.0,0.0,0.0,0.0
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.1,0.08966000005602837,0.04825199954211712,0.1130940042436123
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.2,0.1764499992132187,0.09793400317430496,0.22276999950408935
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.30000000000000004,0.26582999527454376,0.16090600788593293,0.33381998836994176
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.4,0.3537999987602234,0.22193999737501144,0.4461960017681122
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.5,0.43383000791072845,0.2911699950695038,0.5580880045890808
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.6000000000000001,0.515069991350174,0.38559799194335936,0.6624339818954468
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.7000000000000001,0.6033499836921692,0.48522198498249053,0.7681599915027618
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.8,0.7227399945259094,0.6179820001125336,0.8599499940872193
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.9,0.8443099856376648,0.7554059863090515,0.9461579859256745
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,1.0,0.9978500008583069,0.9819020092487335,0.9999260187149048
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.0,0.0,0.0,0.0
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.1,0.08806999772787094,0.0557460006326437,0.11962600126862526
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.2,0.1830499991774559,0.12053599879145623,0.2402199998497963
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.30000000000000004,0.26944999396800995,0.18727999776601792,0.3551720052957535
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.4,0.36771000921726227,0.25710601806640626,0.462407997250557
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.5,0.4451099932193756,0.33437401056289673,0.5773959696292877
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.6000000000000001,0.5404099822044373,0.4255360156297684,0.692464029788971
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.7000000000000001,0.6389599740505219,0.5305959999561309,0.7931579887866974
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.8,0.7488299906253815,0.6459959924221039,0.8880519866943359
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.9,0.8666800260543823,0.7760780155658722,0.9595139980316162
log_sigma,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,1.0,0.9982300102710724,0.9909759819507599,0.9999600052833557
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.0,0.0,0.0,0.0
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.1,0.10534999892115593,0.07970599830150604,0.1357799932360649
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.2,0.21541999280452728,0.16326000392436982,0.2608380079269409
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.30000000000000004,0.32162000238895416,0.25360400676727296,0.3822479993104935
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.4,0.42170000076293945,0.3416500061750412,0.5120119988918305
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.5,0.5128900110721588,0.4378380119800568,0.6209640145301819
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.6000000000000001,0.6204000115394592,0.5258040070533753,0.7317260086536408
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.7000000000000001,0.7190499901771545,0.6242160320281982,0.8288959980010987
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.8,0.8202700018882751,0.7348180115222931,0.9114759922027588
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.9,0.9164299964904785,0.870384019613266,0.9690999984741211
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,1.0,0.9997099936008453,0.997890031337738,1.0
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.0,0.0,0.0,0.0
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.1,0.10753000155091286,0.09319200366735458,0.12731799632310867
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.2,0.21891000121831894,0.19094999879598618,0.2566440045833588
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.30000000000000004,0.32965998351573944,0.28350400924682617,0.3804719984531403
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.4,0.4392400085926056,0.38633001446723936,0.49853799343109134
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.5,0.5424999892711639,0.477867990732193,0.6140999913215638
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.6000000000000001,0.6533700227737427,0.5874080240726471,0.7216800093650818
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.7000000000000001,0.7575699687004089,0.691349983215332,0.8201799988746643
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.8,0.8487800359725952,0.7939979910850525,0.907562005519867
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.9,0.9349500238895416,0.9010239839553833,0.970663982629776
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,1.0,0.9997999668121338,0.9987940311431884,1.0
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.0,0.0,0.0,0.0
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.1,0.08774000033736229,0.05363599918782711,0.11160000041127206
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.2,0.18733999878168106,0.11072000339627266,0.2218180000782013
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.30000000000000004,0.2670699954032898,0.17794999927282334,0.3334319949150086
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.4,0.3635700047016144,0.2517640098929405,0.4499719917774201
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.5,0.43810997903347015,0.3256599932909012,0.5627560377120971
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.6000000000000001,0.5138200223445892,0.42001200318336485,0.6637379825115204
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.7000000000000001,0.6132700145244598,0.5137860119342804,0.7665859699249268
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.8,0.7346800267696381,0.6275440156459808,0.8578460037708282
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.9,0.8485400080680847,0.7694899916648865,0.9407979905605316
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,1.0,0.9980399906635284,0.9795739889144898,0.999940037727356
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.0,0.0,0.0,0.0
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.1,0.08434000238776207,0.059996001049876214,0.12199399620294572
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.2,0.1864900067448616,0.1265939973294735,0.2468900039792061
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.30000000000000004,0.27065999805927277,0.19471800625324248,0.3624300032854081
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.4,0.36334002017974854,0.27158001661300657,0.4687759846448899
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.5,0.44919000566005707,0.3525379955768585,0.5870260000228882
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.6000000000000001,0.5417599976062775,0.4500900059938431,0.6957839846611023
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.7000000000000001,0.6364200115203857,0.546202027797699,0.7935940086841583
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.8,0.7482799887657166,0.6601839900016785,0.8859440088272095
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.9,0.8678900003433228,0.7854799747467041,0.9572339951992035
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,1.0,0.9985300004482269,0.9886540114879608,0.9999659955501556
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.0,0.0,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.1,0.10576999932527542,0.07273199781775475,0.12843599915504456
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.2,0.21051999926567078,0.15687400251626968,0.25485998988151554
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.30000000000000004,0.31852999329566956,0.2348420038819313,0.36990400552749636
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.4,0.4220999926328659,0.31986200213432314,0.490427976846695
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.5,0.5191500186920166,0.40984998643398285,0.5998139917850495
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.6000000000000001,0.6318999826908112,0.5082259863615036,0.7084779977798462
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.7000000000000001,0.7260700166225433,0.6103880167007446,0.8080120086669922
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.8,0.8218399882316589,0.7175439596176147,0.892412006855011
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.9,0.9146300256252289,0.848441994190216,0.9615800023078919
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,1.0,0.9995699822902679,0.9965220272541047,0.9999799728393555
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.0,0.0,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.1,0.10612999647855759,0.08849000036716462,0.11719200164079667
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.2,0.21171999722719193,0.18092199862003328,0.2420160055160523
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.30000000000000004,0.32491999864578247,0.27258600294589996,0.3615080028772354
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.4,0.43377000093460083,0.3733860105276108,0.4706760048866272
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.5,0.5426400005817413,0.4712000131607056,0.5765239894390106
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.6000000000000001,0.650739997625351,0.5683339893817901,0.6816519975662232
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.7000000000000001,0.7520599663257599,0.6673300206661225,0.787634015083313
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.8,0.8464300036430359,0.7710000157356263,0.8773999929428101
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.9,0.9304099977016449,0.8833199739456177,0.9545639991760254
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,1.0,0.9995000064373016,0.9981599867343902,0.9999600052833557
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.0,0.0,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.1,0.08816999942064285,0.05520400069653988,0.11371400132775307
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.2,0.18694999814033508,0.10769600570201875,0.22520999610424042
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.30000000000000004,0.2712799906730652,0.17195000350475312,0.33514401912689207
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.4,0.3566199839115143,0.2450860008597374,0.44638400673866274
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.5,0.4380900114774704,0.3154880076646805,0.5516559958457947
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.6000000000000001,0.5256200134754181,0.4010379910469055,0.6594699919223785
