training_scheme,model_seed,observation,sigma_m,diffusion_time,relative_score_rmse,scaled_score_rmse
uniform,0,0,0.031633540987968445,0.0009999875910580158,0.961997926235199,0.9239718317985535
uniform,0,0,0.03595263138413429,0.0012914647813886404,0.9289998412132263,0.9316576719284058
uniform,0,0,0.04086142033338547,0.0016677641542628407,0.9262474775314331,0.9327189326286316
uniform,0,0,0.04644044116139412,0.002153530716896057,0.9066828489303589,0.985335648059845
uniform,0,0,0.052781183272600174,0.002780495211482048,0.9064454436302185,0.9427114129066467
uniform,0,0,0.059987667948007584,0.003589533269405365,0.8825550079345703,0.8850383162498474
uniform,0,0,0.06817809492349625,0.004633348435163498,0.8618836402893066,0.8877576589584351
uniform,0,0,0.0774867832660675,0.005979322362691164,0.8539391756057739,0.8395165205001831
uniform,0,0,0.0880664512515068,0.007714332081377506,0.847700297832489,0.8118886947631836
uniform,0,0,0.10009060800075531,0.009949231520295143,0.8205040097236633,0.8164759874343872
uniform,0,0,0.11375648528337479,0.01282587368041277,0.7894650101661682,0.842821478843689
uniform,0,0,0.12928824126720428,0.016524694859981537,0.7862057685852051,0.7920710444450378
uniform,0,0,0.14694061875343323,0.02127472683787346,0.777566134929657,0.7577552795410156
uniform,0,0,0.16700315475463867,0.027364419773221016,0.743771493434906,0.7523334622383118
uniform,0,0,0.18980495631694794,0.03515515476465225,0.7034501433372498,0.6929717063903809
uniform,0,0,0.21571995317935944,0.04509562999010086,0.7512985467910767,0.7741314172744751
uniform,0,0,0.24517332017421722,0.05773649364709854,0.6851682066917419,0.6962474584579468
uniform,0,0,0.2786480486392975,0.073743537068367,0.7245651483535767,0.723865270614624
uniform,0,0,0.3166932761669159,0.09390784054994583,0.7366312742233276,0.7476935386657715
uniform,0,0,0.3599330186843872,0.11914696544408798,0.6930754780769348,0.6735689640045166
uniform,0,0,0.4090765118598938,0.1504938006401062,0.623894214630127,0.5893335938453674
uniform,0,0,0.4649297893047333,0.18906770646572113,0.6121405959129333,0.628545880317688
uniform,0,0,0.5284090042114258,0.23602324724197388,0.6066188216209412,0.5661240220069885
uniform,0,0,0.6005553603172302,0.2924765646457672,0.612196147441864,0.5973845720291138
uniform,0,0,0.6825522184371948,0.3594135344028473,0.550455629825592,0.5663110613822937
uniform,0,0,0.7757444977760315,0.43759262561798096,0.5462153553962708,0.5643064975738525
uniform,0,0,0.8816608190536499,0.5274598002433777,0.546624481678009,0.5586171746253967
uniform,0,0,1.0020384788513184,0.6290942430496216,0.49688905477523804,0.5035899877548218
uniform,0,0,1.1388518810272217,0.7421982884407043,0.46967509388923645,0.46069782972335815
uniform,0,0,1.2943450212478638,0.8661344647407532,0.4654257595539093,0.46387892961502075
uniform,0,0,1.4710685014724731,1.0,0.44390037655830383,0.43814364075660706
uniform,0,1,0.031633540987968445,0.0009999875910580158,1.022969126701355,1.0595951080322266
uniform,0,1,0.03595263138413429,0.0012914647813886404,1.021099328994751,1.080365538597107
uniform,0,1,0.04086142033338547,0.0016677641542628407,1.0198920965194702,0.969734251499176
uniform,0,1,0.04644044116139412,0.002153530716896057,0.998159646987915,0.9890475869178772
uniform,0,1,0.052781183272600174,0.002780495211482048,1.0335578918457031,1.0072461366653442
uniform,0,1,0.059987667948007584,0.003589533269405365,0.9866458773612976,0.9697791934013367
uniform,0,1,0.06817809492349625,0.004633348435163498,0.944235622882843,0.9456548094749451
uniform,0,1,0.0774867832660675,0.005979322362691164,0.9694585800170898,0.9523263573646545
uniform,0,1,0.0880664512515068,0.007714332081377506,0.929774820804596,0.9238658547401428
uniform,0,1,0.10009060800075531,0.009949231520295143,0.9345499873161316,0.940434455871582
uniform,0,1,0.11375648528337479,0.01282587368041277,0.9009181261062622,0.8555493354797363
uniform,0,1,0.12928824126720428,0.016524694859981537,0.890561044216156,0.8806975483894348
uniform,0,1,0.14694061875343323,0.02127472683787346,0.8731658458709717,0.8847122192382812
uniform,0,1,0.16700315475463867,0.027364419773221016,0.8862158060073853,0.8430099487304688
uniform,0,1,0.18980495631694794,0.03515515476465225,0.8284136652946472,0.82744300365448
uniform,0,1,0.21571995317935944,0.04509562999010086,0.7863808274269104,0.8189504742622375
uniform,0,1,0.24517332017421722,0.05773649364709854,0.7640783190727234,0.8091782331466675
uniform,0,1,0.2786480486392975,0.073743537068367,0.7580191493034363,0.7577264904975891
uniform,0,1,0.3166932761669159,0.09390784054994583,0.7194315791130066,0.7351710200309753
uniform,0,1,0.3599330186843872,0.11914696544408798,0.6791163682937622,0.6515164971351624
