training_scheme,sigma_m,diffusion_time,relative_score_rmse_median,relative_score_rmse_lo,relative_score_rmse_hi,scaled_score_rmse_median,scaled_score_rmse_lo,scaled_score_rmse_hi
log_sigma,0.031633540987968445,0.0009999875910580158,0.9797673225402832,0.9406082093715668,0.9972173154354096,0.9884911477565765,0.9158078014850617,1.0314298033714295
log_sigma,0.03595263138413429,0.0012914647813886404,0.9821654856204987,0.9163756012916565,0.997302132844925,0.9930922389030457,0.9177268326282502,1.0540218830108643
log_sigma,0.04086142033338547,0.0016677641542628407,0.974642276763916,0.9184520602226257,0.9944650173187256,0.9457740485668182,0.9248690128326416,0.9671470701694489
log_sigma,0.04644044116139412,0.002153530716896057,0.9672510921955109,0.8971589148044586,0.9861933350563049,0.9769933521747589,0.9270956337451934,1.00072101354599
log_sigma,0.052781183272600174,0.002780495211482048,0.9570600688457489,0.9002013742923737,1.0031552076339723,0.9646765291690826,0.9040786921977997,1.008449673652649
log_sigma,0.059987667948007584,0.003589533269405365,0.9553645551204681,0.8668445885181427,0.9805972397327423,0.9610589742660522,0.8716585755348205,1.0137258768081665
log_sigma,0.06817809492349625,0.004633348435163498,0.9272186756134033,0.8222290813922882,0.9586263358592987,0.9318668842315674,0.8311588406562805,0.9671359479427337
log_sigma,0.0774867832660675,0.005979322362691164,0.9369590580463409,0.828802615404129,0.9704452753067017,0.9241392612457275,0.8203219890594482,1.023661482334137
log_sigma,0.0880664512515068,0.007714332081377506,0.9223663806915283,0.8247659087181092,0.9474635362625122,0.9032585322856903,0.7899232506752014,0.9459565639495849
log_sigma,0.10009060800075531,0.009949231520295143,0.9080158770084381,0.7891469836235047,0.9367700099945069,0.8980740308761597,0.7847180485725402,0.942668479681015
log_sigma,0.11375648528337479,0.01282587368041277,0.8853055834770203,0.7683040261268616,0.9083380579948426,0.8558689653873444,0.7606175124645234,0.8816453635692596
log_sigma,0.12928824126720428,0.016524694859981537,0.8621918559074402,0.7614790678024292,0.8880428850650788,0.8512277007102966,0.751669842004776,0.8782072246074677
log_sigma,0.14694061875343323,0.02127472683787346,0.8441753089427948,0.7560770511627197,0.8750930488109588,0.8420977592468262,0.7391292452812195,0.8866650044918061
log_sigma,0.16700315475463867,0.027364419773221016,0.8139377534389496,0.7242560386657715,0.8861426591873169,0.8059752881526947,0.710625821352005,0.8612120687961579
log_sigma,0.18980495631694794,0.03515515476465225,0.7984935343265533,0.6930575609207154,0.8345734298229217,0.8139847218990326,0.6827338993549347,0.8385326266288757
log_sigma,0.21571995317935944,0.04509562999010086,0.7697769999504089,0.7140252530574799,0.7889122426509857,0.7650687992572784,0.7307933151721955,0.8214491188526154
log_sigma,0.24517332017421722,0.05773649364709854,0.7415558695793152,0.6827814280986786,0.7903529345989228,0.7520941197872162,0.6807700395584106,0.808202189207077
log_sigma,0.2786480486392975,0.073743537068367,0.7456783056259155,0.7156370222568512,0.7603748083114624,0.7370275855064392,0.7181415736675263,0.7600812673568725
log_sigma,0.3166932761669159,0.09390784054994583,0.7165969908237457,0.662751042842865,0.7341371893882751,0.7202686369419098,0.6768823266029358,0.7451620042324066
log_sigma,0.3599330186843872,0.11914696544408798,0.6898422837257385,0.6711145102977752,0.6957706272602081,0.684770792722702,0.6621333122253418,0.7048928141593933
log_sigma,0.4090765118598938,0.1504938006401062,0.621099442243576,0.6063688933849335,0.6458475947380066,0.6312559843063354,0.5861111223697663,0.6533353745937347
log_sigma,0.4649297893047333,0.18906770646572113,0.6108821332454681,0.5698079645633698,0.6918739795684814,0.6225408315658569,0.5739152729511261,0.6885840952396393
log_sigma,0.5284090042114258,0.23602324724197388,0.5904554724693298,0.5477922320365906,0.621622234582901,0.5753695666790009,0.564431220293045,0.6084919810295105
log_sigma,0.6005553603172302,0.2924765646457672,0.5698526501655579,0.5168646514415741,0.607806384563446,0.5815885961055756,0.5295989573001861,0.6041261911392212
log_sigma,0.6825522184371948,0.3594135344028473,0.5447595715522766,0.46443855464458467,0.5965118288993836,0.5554608702659607,0.45834430754184724,0.5978154063224792
log_sigma,0.7757444977760315,0.43759262561798096,0.5114327818155289,0.43867871463298796,0.553817230463028,0.4980456233024597,0.4725759267807007,0.5687433838844299
log_sigma,0.8816608190536499,0.5274598002433777,0.4929802864789963,0.39499884843826294,0.5584755420684815,0.4987441450357437,0.40073358118534086,0.5707282781600952
log_sigma,1.0020384788513184,0.6290942430496216,0.46728818118572235,0.3766027748584747,0.5160460948944092,0.46919237077236176,0.42133195996284484,0.522901976108551
log_sigma,1.1388518810272217,0.7421982884407043,0.42554523050785065,0.33285248279571533,0.4925818920135498,0.4233537018299103,0.318348890542984,0.4948475569486618
log_sigma,1.2943450212478638,0.8661344647407532,0.4057905077934265,0.29439755380153654,0.4998781383037567,0.4083814024925232,0.2759737402200699,0.4990902811288834
log_sigma,1.4710685014724731,1.0,0.3945774883031845,0.25953004956245423,0.4891563683748245,0.3928932249546051,0.2656049907207489,0.483886182308197
mixture,0.031633540987968445,0.0009999875910580158,0.9771704375743866,0.9307259976863861,0.9987073361873626,0.9834745824337006,0.9179991185665131,1.0314959049224854
mixture,0.03595263138413429,0.0012914647813886404,0.969139814376831,0.9190064311027527,0.9968808054924011,0.9829696714878082,0.9103138506412506,1.0544782757759095
mixture,0.04086142033338547,0.0016677641542628407,0.9603870511054993,0.9153292238712311,0.9933246910572052,0.9442647099494934,0.9217243790626526,0.966197919845581
mixture,0.04644044116139412,0.002153530716896057,0.9487508833408356,0.8965530633926392,0.9857153415679931,0.976609468460083,0.9183801472187042,1.0004088163375855
