training_scheme,variant,variant_label,family,timesteps,runtime_s_median,mean_error_median,mean_error_lo,mean_error_hi,covariance_error_median,covariance_error_lo,covariance_error_hi,posterior_width_ratio_median,posterior_width_ratio_lo,posterior_width_ratio_hi
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0.09685858752345666,0.1917170062661171,0.10539748743176461,0.9706294417381286,0.3194422274827957,0.2791373908519745,0.39856305122375485,1.563729166984558,1.503743875026703,1.6998394966125487
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0.13944136496866122,0.2113221362233162,0.15449575781822206,1.005109441280365,0.30192121863365173,0.258868408203125,0.3740422636270523,1.5291298031806946,1.4671937823295593,1.6613351345062255
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0.2227884375024587,0.1571323424577713,0.1295556828379631,0.9232407450675965,0.27085839211940765,0.23586442917585373,0.34363492429256437,1.4834536910057068,1.4277361989021302,1.6208338975906371
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0.47588605247437954,0.10252587124705315,0.06924310848116876,0.7570044755935669,0.18535317480564117,0.16250583827495574,0.23004282563924788,1.3361873030662537,1.3008873462677002,1.4492955446243285
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,0.895774369535502,0.08221158757805824,0.027178615331649784,0.5402214229106903,0.11030849441885948,0.08401825800538062,0.14990008175373076,1.2219234108924866,1.1492489218711852,1.2836554288864135
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,0.09683058498194441,0.19891270250082016,0.13907425701618195,0.9777788519859314,0.3196425139904022,0.289205339550972,0.3852715641260147,1.6277227401733398,1.5584964632987977,1.7246303796768188
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,0.13894131249981,0.15601791441440582,0.1273759827017784,0.8868929445743561,0.2862360030412674,0.24100733995437623,0.3446299523115158,1.529994785785675,1.4536085367202758,1.6445652604103087
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,0.22278465301496908,0.13140712678432465,0.09356705322861672,0.8358273684978486,0.29720307886600494,0.2401161879301071,0.35596524477005004,1.5217846632003784,1.438745129108429,1.634472906589508
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,0.4775653500109911,0.10093394294381142,0.060464813187718396,0.7156539499759674,0.22851431369781494,0.1970170706510544,0.2829927146434784,1.4250352382659912,1.3734821915626525,1.5304342031478881
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,0.8979526630137116,0.07790499180555344,0.026816668361425402,0.5837768971920013,0.18742648512125015,0.15518816709518432,0.21548140048980713,1.3518954515457153,1.3083075284957886,1.4249244689941407
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,5,0.013985251483973116,0.28311674296855927,0.1710037738084793,1.24577716588974,1.7867846488952637,1.4501869320869445,2.109925556182861,3.2185271978378296,2.9432459354400633,3.4997601032257077
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,10,0.028181611967738718,0.16127897053956985,0.14056897461414336,0.9864829540252685,0.6104839742183685,0.5496915817260742,0.759904021024704,1.9683766961097717,1.9007686734199525,2.1481162309646606
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,20,0.05691329197725281,0.1431455835700035,0.10425302907824516,0.8576004147529602,0.3839063495397568,0.3453176558017731,0.47500154972076414,1.6642205119132996,1.606964659690857,1.8159300684928894
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,50,0.14315386401722208,0.12157225981354713,0.08707947209477425,0.8544894218444824,0.2719907909631729,0.23298015743494033,0.3354990899562836,1.4906237125396729,1.4259886860847473,1.594323217868805
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,100,0.28803073096787557,0.1424681395292282,0.08349770531058312,0.8162090122699738,0.24300197511911392,0.20375528186559677,0.2957030326128006,1.4459630250930786,1.3791291117668152,1.5355524897575379
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0.013671261025592685,0.2567199170589447,0.1320218898355961,1.1946481943130494,1.0434817671775818,0.9000540792942047,1.2296670198440551,2.5917718410491943,2.456365466117859,2.7756664037704466
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0.028053084504790604,0.18067383766174316,0.16267842650413514,1.0033334851264955,0.5733151435852051,0.4911367863416672,0.6935686409473419,1.9882822036743164,1.8983441710472106,2.1463163614273073
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0.056618221977259964,0.1603344976902008,0.11475346237421036,0.9325419723987579,0.43560926616191864,0.3903727889060974,0.5200256049633026,1.7739359736442566,1.7042144536972046,1.9038522005081175
