training_scheme,variant,variant_label,timesteps,model_seed,observation,nominal_coverage,analytical_coverage
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.1,0.11401832103729248
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.2,0.22752059996128082
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.30000000000000004,0.33996015787124634
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.4,0.4507235288619995
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.5,0.5590773820877075
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.6000000000000001,0.6640834212303162
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.7000000000000001,0.764435887336731
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.8,0.8580954074859619
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.9,0.9411838054656982
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,1.0,1.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.0,0.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.1,0.12775997817516327
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.2,0.25426843762397766
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.30000000000000004,0.37822383642196655
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.4,0.4982169270515442
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.5,0.6126521825790405
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.6000000000000001,0.7196308374404907
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.7000000000000001,0.8167465925216675
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.8,0.9006707668304443
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.9,0.9660663604736328
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,1.0,1.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.1,0.1252494901418686
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.2,0.24936498701572418
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.30000000000000004,0.37116897106170654
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.4,0.4893900156021118
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.5,0.6025933027267456
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.6000000000000001,0.709073543548584
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.7000000000000001,0.8066662549972534
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.8,0.892349123954773
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.9,0.961159348487854
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,1.0,1.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.0,0.0
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.1,0.11714997887611389
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.2,0.2335960865020752
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.30000000000000004,0.34860143065452576
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.4,0.4613580107688904
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.5,0.5709307193756104
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.6000000000000001,0.6761714220046997
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.7000000000000001,0.775556206703186
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.8,0.8668296337127686
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.9,0.9459617137908936
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,1.0,1.0
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.0,0.0
