training_scheme,variant,variant_label,timesteps,nominal_coverage,analytical_coverage_median,analytical_coverage_lo,analytical_coverage_hi
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.0,0.0,0.0,0.0
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.1,0.1368742436170578,0.08930939733982086,0.1499917894601822
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.2,0.27191850543022156,0.18017636686563493,0.296998929977417
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.30000000000000004,0.40324580669403076,0.27409322559833527,0.4380262821912766
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.4,0.5288487672805786,0.37240113615989684,0.5700581312179566
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.5,0.6465187072753906,0.4761487603187561,0.6900453209877014
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.6000000000000001,0.7537335157394409,0.5864092886447907,0.794894027709961
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.7000000000000001,0.8474678993225098,0.7021371245384216,0.8814540982246399
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.8,0.9234480857849121,0.8199271261692047,0.9465197861194611
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.9,0.9774109423160553,0.9304998457431793,0.9868923902511597
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,1.0,1.0,1.0,1.0
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.0,0.0,0.0,0.0
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.1,0.13094332814216614,0.10023784637451172,0.14112188518047333
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.2,0.2604128122329712,0.2008804351091385,0.28002104759216306
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.30000000000000004,0.3868860602378845,0.30240439176559447,0.41443619728088377
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.4,0.50868821144104,0.4053970456123352,0.5420250058174133
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.5,0.6239615976810455,0.5101033747196198,0.6603096961975098
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.6000000000000001,0.7306663990020752,0.6165729761123657,0.7666036188602448
