training_scheme,model_seed,observation,sigma_m,diffusion_time,relative_score_rmse,scaled_score_rmse
uniform,0,0,0.031644415110349655,0.000999981421045959,2.4342868328094482,0.28201574087142944
uniform,0,0,0.036518022418022156,0.0013310941867530346,2.004563093185425,0.2807149589061737
uniform,0,0,0.04214222729206085,0.0017716207075864077,1.6154651641845703,0.2475876361131668
uniform,0,0,0.04863262176513672,0.0023574272636324167,1.3262627124786377,0.2363176792860031
uniform,0,0,0.056122612208127975,0.003136059734970331,1.0279057025909424,0.20779557526111603
uniform,0,0,0.06476614624261856,0.004170452244579792,0.7627262473106384,0.19132326543331146
uniform,0,0,0.07474089413881302,0.005543392617255449,0.596991240978241,0.1561245620250702
uniform,0,0,0.08625186234712601,0.007363683078438044,0.4390495717525482,0.137946218252182
uniform,0,0,0.09953565895557404,0.009773730300366879,0.2872473895549774,0.09664533287286758
uniform,0,0,0.11486529558897018,0.012958434410393238,0.1733328253030777,0.07205858826637268
uniform,0,0,0.13255588710308075,0.017156483605504036,0.1329048126935959,0.057573411613702774
uniform,0,0,0.1529710441827774,0.02267235703766346,0.10592922568321228,0.05019816756248474
uniform,0,0,0.17653034627437592,0.029889527708292007,0.1333097219467163,0.06356658041477203
uniform,0,0,0.20371808111667633,0.03928206115961075,0.16256560385227203,0.1009766012430191
uniform,0,0,0.23509304225444794,0.05142240226268768,0.1882564127445221,0.12236317247152328
uniform,0,0,0.2713001072406769,0.06698070466518402,0.21410684287548065,0.14217917621135712
uniform,0,0,0.3130834996700287,0.08671019226312637,0.22722209990024567,0.15415287017822266
uniform,0,0,0.361301988363266,0.11141348630189896,0.2412182241678238,0.18437819182872772
uniform,0,0,0.4169467091560364,0.14188621938228607,0.24790269136428833,0.19957712292671204
uniform,0,0,0.4811613857746124,0.17884142696857452,0.2725978195667267,0.22616985440254211
uniform,0,0,0.5552658438682556,0.22282467782497406,0.2580379843711853,0.22275178134441376
uniform,0,0,0.6407832503318787,0.2741386294364929,0.26482489705085754,0.23681466281414032
uniform,0,0,0.7394713163375854,0.33279743790626526,0.2625785768032074,0.2469898760318756
uniform,0,0,0.8533585071563721,0.3985244333744049,0.27110597491264343,0.24198868870735168
uniform,0,0,0.9847856760025024,0.4707942008972168,0.2419462651014328,0.2104342132806778
uniform,0,0,1.1364541053771973,0.5489058494567871,0.22313463687896729,0.2047487199306488
uniform,0,0,1.3114813566207886,0.6320682168006897,0.21087129414081573,0.20727413892745972
uniform,0,0,1.5134648084640503,0.7194765210151672,0.1950332671403885,0.19122280180454254
uniform,0,0,1.7465559244155884,0.8103709816932678,0.1737155020236969,0.17550881206989288
uniform,0,0,2.0155458450317383,0.9040728211402893,0.14815296232700348,0.1411864310503006
uniform,0,0,2.3259634971618652,1.0,0.12871119379997253,0.12148737907409668
uniform,0,1,0.031644415110349655,0.000999981421045959,2.385730504989624,0.28419116139411926
uniform,0,1,0.036518022418022156,0.0013310941867530346,1.9920072555541992,0.2520792782306671
uniform,0,1,0.04214222729206085,0.0017716207075864077,1.5038628578186035,0.245923712849617
uniform,0,1,0.04863262176513672,0.0023574272636324167,1.268814206123352,0.21188780665397644
uniform,0,1,0.056122612208127975,0.003136059734970331,0.9637795090675354,0.1967133730649948
uniform,0,1,0.06476614624261856,0.004170452244579792,0.7293850779533386,0.16888391971588135
uniform,0,1,0.07474089413881302,0.005543392617255449,0.5535884499549866,0.14644552767276764
uniform,0,1,0.08625186234712601,0.007363683078438044,0.4030606150627136,0.11928558349609375
uniform,0,1,0.09953565895557404,0.009773730300366879,0.25702565908432007,0.08841290324926376
uniform,0,1,0.11486529558897018,0.012958434410393238,0.1976272314786911,0.07454090565443039
uniform,0,1,0.13255588710308075,0.017156483605504036,0.13197575509548187,0.05678032338619232
uniform,0,1,0.1529710441827774,0.02267235703766346,0.1336698830127716,0.06633441150188446
uniform,0,1,0.17653034627437592,0.029889527708292007,0.16593509912490845,0.08701673150062561
uniform,0,1,0.20371808111667633,0.03928206115961075,0.1952180415391922,0.10905886441469193
uniform,0,1,0.23509304225444794,0.05142240226268768,0.21984967589378357,0.13692939281463623
uniform,0,1,0.2713001072406769,0.06698070466518402,0.2475777119398117,0.16866865754127502
uniform,0,1,0.3130834996700287,0.08671019226312637,0.25766217708587646,0.1833188384771347
uniform,0,1,0.361301988363266,0.11141348630189896,0.27167144417762756,0.20185433328151703
uniform,0,1,0.4169467091560364,0.14188621938228607,0.270542174577713,0.22477000951766968
uniform,0,1,0.4811613857746124,0.17884142696857452,0.289940744638443,0.22167330980300903
uniform,0,1,0.5552658438682556,0.22282467782497406,0.28739428520202637,0.24966733157634735
uniform,0,1,0.6407832503318787,0.2741386294364929,0.3070962727069855,0.27392205595970154
uniform,0,1,0.7394713163375854,0.33279743790626526,0.31150931119918823,0.265779584646225
uniform,0,1,0.8533585071563721,0.3985244333744049,0.3212611675262451,0.28589364886283875
uniform,0,1,0.9847856760025024,0.4707942008972168,0.306888610124588,0.28382542729377747
uniform,0,1,1.1364541053771973,0.5489058494567871,0.2966459393501282,0.29066964983940125
uniform,0,1,1.3114813566207886,0.6320682168006897,0.2723909914493561,0.27097976207733154
uniform,0,1,1.5134648084640503,0.7194765210151672,0.2765539288520813,0.2592492401599884
uniform,0,1,1.7465559244155884,0.8103709816932678,0.2562691867351532,0.25631794333457947
