training_scheme,sigma_m,diffusion_time,relative_score_rmse_median,relative_score_rmse_lo,relative_score_rmse_hi,scaled_score_rmse_median,scaled_score_rmse_lo,scaled_score_rmse_hi
mixture,0.031644415110349655,0.000999981421045959,1.8096706867218018,1.6129358887672425,2.0707952260971068,0.21122198551893234,0.19059694409370423,0.2388899177312851
mixture,0.036518022418022156,0.0013310941867530346,1.4635542631149292,1.2491756439208985,1.6604212760925292,0.1922665685415268,0.17031813114881517,0.2320374682545662
mixture,0.04214222729206085,0.0017716207075864077,1.1150208115577698,0.9855010867118835,1.3284642696380615,0.1825350746512413,0.16084621846675873,0.20399998426437377
mixture,0.04863262176513672,0.0023574272636324167,0.9375938177108765,0.8067267596721649,1.0642722606658936,0.1572871133685112,0.137045419216156,0.18867331743240356
mixture,0.056122612208127975,0.003136059734970331,0.6872627437114716,0.557903528213501,0.8139091551303864,0.14087264984846115,0.12164144366979598,0.16415888965129852
mixture,0.06476614624261856,0.004170452244579792,0.4988688677549362,0.41138710379600524,0.6270687639713287,0.11771910265088081,0.09881412014365196,0.1494133248925209
mixture,0.07474089413881302,0.005543392617255449,0.3442517966032028,0.284139084815979,0.4636385500431061,0.0905333124101162,0.07443839982151985,0.12493913769721986
mixture,0.08625186234712601,0.007363683078438044,0.24003039300441742,0.187293441593647,0.3337444067001343,0.07296345010399818,0.05521794557571411,0.09846540093421936
mixture,0.09953565895557404,0.009773730300366879,0.17002146691083908,0.11586661115288735,0.28036177754402164,0.058484792709350586,0.03754386678338051,0.0918984554708004
mixture,0.11486529558897018,0.012958434410393238,0.15512778609991074,0.10348807498812676,0.29539008140563966,0.05851099640130997,0.04277459233999252,0.11407711803913116
mixture,0.13255588710308075,0.017156483605504036,0.182874858379364,0.1355046272277832,0.32547448575496674,0.07893644645810127,0.05771569684147835,0.14483067989349366
mixture,0.1529710441827774,0.02267235703766346,0.22932356595993042,0.1797790601849556,0.36522814333438874,0.11131943017244339,0.085103240609169,0.1716503843665123
mixture,0.17653034627437592,0.029889527708292007,0.2604280412197113,0.19940505027770997,0.38166527450084686,0.13464142382144928,0.10100212767720222,0.2040666311979294
mixture,0.20371808111667633,0.03928206115961075,0.28612932562828064,0.23315468281507493,0.4221679508686066,0.16441930830478668,0.1373989075422287,0.22208516001701356
mixture,0.23509304225444794,0.05142240226268768,0.29977603256702423,0.26219141483306885,0.4262900948524475,0.19026076048612595,0.1607506662607193,0.2562682777643204
mixture,0.2713001072406769,0.06698070466518402,0.3079531043767929,0.2763464659452438,0.430294930934906,0.20716486126184464,0.1834211602807045,0.30776401460170744
mixture,0.3130834996700287,0.08671019226312637,0.3042827695608139,0.2835035383701324,0.4301880210638046,0.21151097118854523,0.18980419635772705,0.3204386055469513
mixture,0.361301988363266,0.11141348630189896,0.3037511557340622,0.29487942457199096,0.4502631336450577,0.23210997134447098,0.22182425558567048,0.34004325568675997
mixture,0.4169467091560364,0.14188621938228607,0.30367912352085114,0.28207378685474394,0.46189859211444856,0.2472139373421669,0.2296816185116768,0.3842464119195938
mixture,0.4811613857746124,0.17884142696857452,0.30997487902641296,0.2809199273586273,0.491278812289238,0.2532806992530823,0.23213875740766526,0.3936464846134186
mixture,0.5552658438682556,0.22282467782497406,0.29391343891620636,0.271861669421196,0.5007672131061554,0.25429604947566986,0.23429888784885405,0.4146255075931549
mixture,0.6407832503318787,0.2741386294364929,0.3028879463672638,0.27601052820682526,0.4757229804992676,0.270507350564003,0.24132276177406312,0.4403098374605179
mixture,0.7394713163375854,0.33279743790626526,0.30055709183216095,0.26720871925354006,0.505860111117363,0.2660824954509735,0.24220499843358995,0.4719564616680145
mixture,0.8533585071563721,0.3985244333744049,0.31058037281036377,0.2510897785425186,0.5081624209880828,0.2767900228500366,0.22243265956640243,0.47815196216106415
mixture,0.9847856760025024,0.4707942008972168,0.2895762473344803,0.23821954876184465,0.5553650796413422,0.2701839208602905,0.22072953432798387,0.5218728870153427
mixture,1.1364541053771973,0.5489058494567871,0.2779870331287384,0.2239926666021347,0.5198455065488815,0.26728861778974533,0.2149411305785179,0.52753746509552
mixture,1.3114813566207886,0.6320682168006897,0.2638733312487602,0.2057852029800415,0.5365772485733032,0.26106173545122147,0.1996149331331253,0.5067696958780289
mixture,1.5134648084640503,0.7194765210151672,0.26578066498041153,0.20035096108913422,0.5012443959712982,0.2542065978050232,0.18924620747566223,0.4966370970010757
mixture,1.7465559244155884,0.8103709816932678,0.24377678334712982,0.16822355091571808,0.49515530169010163,0.24494889378547668,0.16308722048997878,0.48365478217601776
mixture,2.0155458450317383,0.9040728211402893,0.22777637094259262,0.14819617420434952,0.4636352598667145,0.21854012459516525,0.13997503519058227,0.46651983857154844
mixture,2.3259634971618652,1.0,0.21536780148744583,0.1291949287056923,0.4415550768375397,0.20981217175722122,0.12153106480836869,0.44699103236198423
uniform,0.031644415110349655,0.000999981421045959,2.4488279819488525,2.160502314567566,2.567051815986633,0.2834535241127014,0.25481683313846587,0.29445825815200805
uniform,0.036518022418022156,0.0013310941867530346,2.0001034140586853,1.6615462899208069,2.1051249265670777,0.2732708305120468,0.22485445737838744,0.2870226800441742
uniform,0.04214222729206085,0.0017716207075864077,1.6086122393608093,1.42985942363739,1.717677903175354,0.2515483498573303,0.23427680730819703,0.2680333465337753
uniform,0.04863262176513672,0.0023574272636324167,1.349100112915039,1.2237825751304627,1.4442598700523377,0.22864129394292831,0.2059637114405632,0.2464803636074066
uniform,0.056122612208127975,0.003136059734970331,1.0364525318145752,0.8343802630901337,1.106865108013153,0.20557692646980286,0.18211133033037186,0.21684834361076355
