training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,mean_error,covariance_error,posterior_error
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0,0,0,0.0950279220123775,0.1267038960165033,0.2211767733097076,0.1361419707536697,0.4662203192710876
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0,0,1,0.0157058010227046,0.0209410680302729,0.2222611308097839,0.1480919867753982,0.4550344944000244
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,0,0,0,0.0290049750474281,0.0386733000632375,0.2330027371644973,0.2346101850271225,0.6603793501853943
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,0,0,1,0.0283312040264718,0.0377749387019624,0.2137190699577331,0.2326458990573883,0.5504651665687561
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,0,0,0,0.0590726219816133,0.0787634959754844,0.2293535470962524,0.245817169547081,0.5655811429023743
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,0,0,1,0.0602487649885006,0.0803316866513341,0.1992163509130478,0.2573280930519104,0.590320885181427
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,0,0,0,0.1467225829837843,0.1956301106450458,0.2290319949388504,0.3056160509586334,0.5935989618301392
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,0,0,1,0.1486904469784349,0.1982539293045798,0.1880901455879211,0.2386774122714996,0.472885251045227
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,0,0,0.0138985089724883,0.0185313452966511,0.1815602779388427,0.1276749223470688,0.3337403535842895
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,0,1,0.0155534810037352,0.0207379746716469,0.1845448613166809,0.1408487558364868,0.3639317750930786
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,0,0,0.030347266991157,0.0404630226548761,0.187264546751976,0.1791707277297973,0.3634561896324157
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,0,1,0.0288489939994178,0.0384653253325571,0.1750534474849701,0.1797489672899246,0.3184050321578979
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,0,0,0.0593209229991771,0.0790945639989028,0.2003067582845688,0.1949793100357055,0.3635373115539551
