training_scheme,variant,variant_label,family,timesteps,posterior_error_median,posterior_error_lo,posterior_error_hi,runtime_s_median,mean_error_median,covariance_error_median
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0.475660502910614,0.3551305890083313,1.9486704230308531,0.10442078998312351,0.19191034138202664,0.30936749279499054
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0.5337103605270386,0.32115879058837893,2.060094428062439,0.14976647848379793,0.21006243675947184,0.2961370050907135
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0.3281356990337372,0.24161468148231502,1.7419620990753173,0.24017117099720048,0.16066119819879526,0.27137094736099243
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0.155771255493164,0.1286869943141937,1.1290194034576415,0.5132309389882721,0.10076975822448725,0.18108147382736206
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,0.6908281445503235,0.4484917938709259,2.263432240486145,2.7974006900039967,0.17401020228862762,0.3402245193719864
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,0.39987170696258545,0.2848482131958008,1.7860262632369994,3.794608213502215,0.14737533777952194,0.28404077887535095
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,0.3253506124019623,0.23094780445098878,1.707261335849762,6.542478467483306,0.13004222139716148,0.2509521245956421
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,0.21640363335609436,0.1580418288707733,1.2028858542442322,11.901352595508797,0.08523650467395782,0.2185196951031685
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,5,4.591989278793335,3.744035744667053,7.129425477981568,0.01541359801194625,0.2866533398628235,1.6187055110931396
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,10,0.9740349352359772,0.804535961151123,2.581953740119934,0.030472066981019397,0.1603773087263107,0.5968087315559387
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,20,0.4490181803703308,0.4036486744880676,1.7348617315292358,0.06143884398625225,0.14018148928880686,0.3679390251636505
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,50,0.2902843654155731,0.2428705215454101,1.5361565589904784,0.15484366752207274,0.12322973832488056,0.2590051740407944
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,3.342711925506592,3.011197638511658,5.2717241764068605,0.01498979199095625,0.2662963271141052,0.9769462645053864
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,1.362393856048584,1.121287822723389,2.8326936960220337,0.0303318164951633,0.1825971379876136,0.550948441028595
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0.7562475800514221,0.6586514472961426,2.1449768543243413,0.0616677515208721,0.15249368548393244,0.4150066524744034
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0.42353150248527527,0.33924164772033694,1.735201346874237,0.15407090602093376,0.12646391242742536,0.30661460757255554
mixture,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,8.04173493385315,5.938000011444092,14.466235828399657,0.01490358047885815,0.2187460958957672,0.13002167642116547
mixture,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,8.246397972106934,7.001570129394532,11.61839256286621,0.02997382450848815,0.15305823087692255,0.1414622142910957
mixture,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,8.534939289093018,7.325506114959717,11.360197830200196,0.060496795980725396,0.145513504743576,0.14778525382280344
mixture,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,9.446211338043213,8.130465126037597,14.035859680175783,0.152612099511316,0.1353220827877521,0.15442418307065958
mixture,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,1.1610100269317627,0.28975597620010374,3.82719783782959,0.0140631284739356,0.3746235966682434,0.1664856523275375
mixture,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,1.1182390451431274,0.43262335062026974,3.238226175308227,0.0291926795034669,0.32480020821094513,0.27040585875511164
mixture,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,1.0238692164421082,0.5118273854255676,3.393310594558716,0.0582821500138379,0.31724080443382263,0.3059837520122528
mixture,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,1.0452627837657928,0.412951385974884,3.146604609489441,0.14791793498443434,0.31968073546886444,0.3178703635931015
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,1.0340314507484436,0.2650309860706329,3.717742085456848,0.0152034564816858,0.35254284739494324,0.14172580838203425
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0.8925786018371582,0.3128117442131042,2.9669614315032957,0.030385813501197803,0.29934602975845337,0.2220850735902786
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0.8158325850963593,0.3864680647850037,3.1001221895217896,0.06108845197013575,0.2945172190666199,0.2603911906480789
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0.8982354402542114,0.3394189774990082,2.939875078201294,0.15179265153710725,0.3032040148973465,0.2865961194038391
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0.8454681634902954,0.3365451693534851,3.2837878465652466,0.0146977920085191,0.31154216825962067,0.15273163467645645
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0.6844662427902222,0.2772989571094513,2.6866330623626706,0.0303069329820573,0.260810986161232,0.2230570465326309
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0.6982973515987396,0.35113323926925655,2.953089380264282,0.06040136999217785,0.28144724667072296,0.2606718838214874
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0.8467174172401427,0.3238610625267028,2.8806849479675294,0.15268712799297646,0.2956638038158417,0.2855672091245651
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0.35301157832145685,0.2393842160701751,1.7352994918823241,0.106328376015881,0.18432920426130295,0.24238521605730057
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0.4466208815574646,0.22875957489013668,1.8603010892868042,0.15108299150597299,0.19902271032333368,0.23548589646816248
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0.2605253756046295,0.16963219642639155,1.5278903245925903,0.24394468998070806,0.15783867985010147,0.20429635792970655
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0.1050062179565429,0.07131150960922236,0.9352746307849885,0.524217508995207,0.09727185219526291,0.1133907958865165
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,5,4.336971282958984,3.765994739532471,7.122304010391235,0.01550299150403585,0.29039801657199854,1.5418832302093506
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,10,0.8516599833965302,0.6913381040096283,2.4080784559249877,0.03101544297533105,0.1683987826108932,0.5163722336292267
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,20,0.351828932762146,0.2843350052833557,1.541233956813812,0.062255710014142054,0.13777450472116465,0.29123008251190186
uniform,em_log,"Euler--Maruyama, log sigma",Euler update,50,0.2152815461158752,0.15302478075027465,1.3331610798835754,0.15588506252970546,0.12209529057145116,0.1950674653053283
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,3.483011245727539,3.0922351837158204,5.511963939666748,0.01525676652090615,0.2774317264556885,0.9722243249416351
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,1.3720547556877136,1.141926145553589,2.840453815460205,0.030523189023369847,0.19389556348323816,0.5282900035381317
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0.6516712307929993,0.6055472314357757,2.0497730493545534,0.0618745209940243,0.16068738698959345,0.3651941269636154
uniform,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0.34733837842941284,0.24898999333381652,1.5917606830596924,0.15667445701546967,0.12932838499546045,0.25106579065322876
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,7.317938804626465,4.084339427947999,13.067178440093993,0.01508048048708585,0.2124841436743736,0.12938536703586573
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,7.97285270690918,5.783734607696534,12.602653217315673,0.030030130961677,0.1478249654173851,0.1445653364062309
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,8.625680446624756,6.719533634185791,14.230165672302244,0.06159965347615065,0.14704310894012446,0.15177525579929352
uniform,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,9.998685359954834,7.97502326965332,18.353606605529784,0.1548174885101616,0.1328210830688476,0.15963100641965866
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,1.1523057520389557,0.309011036157608,3.931934857368469,0.01448767949477765,0.3761034309864044,0.1656797155737877
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,1.1514293551445007,0.4176172077655792,3.2736775159835814,0.0292370285314973,0.3313188850879669,0.25215068459510803
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,1.0359487235546112,0.47461632490158073,3.366568183898926,0.059220047492999556,0.3205857127904892,0.27950114011764526
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,1.024425059556961,0.3571533441543579,3.0486079454421997,0.1481051854789257,0.3204337805509567,0.2733289450407028
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0.9719065725803376,0.2551941335201263,3.550396537780762,0.01523500701296135,0.34911453723907465,0.1206607744097709
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0.8495475053787231,0.270982015132904,2.831664538383484,0.03075348000857045,0.2980235815048218,0.19234727323055265
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0.7748406827449797,0.32939231395721436,2.9587321043014527,0.0619828185299411,0.2928323596715927,0.2260503992438316
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0.8483802974224091,0.278678810596466,2.789544653892517,0.15375860998756247,0.3009065985679626,0.2353970780968666
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0.7795225381851196,0.3195158123970031,3.3814536571502685,0.014974671008530949,0.3183391541242599,0.15525384247303003
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0.6850060224533081,0.2661130130290985,2.668825149536133,0.0300395480007864,0.2732725292444229,0.19923906028270716
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0.6876466572284698,0.3098275542259216,2.856196975708008,0.060720396984834155,0.2795197516679764,0.2287037149071693
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0.8050790131092072,0.26906639933586113,2.741747832298279,0.15307216151268221,0.2948022186756134,0.23516144603490824
