training_scheme,variant,variant_label,timesteps,model_seed,observation,nominal_coverage,analytical_coverage
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,0,0.5,0.5657280683517456
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,0,0.8,0.8693757057189941
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,0,0.9,0.9504031538963318
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,0,0.95,0.9819025993347168
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,0,0.5,0.6130774021148682
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,0,0.8,0.9073982238769531
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,0,0.9,0.9715116024017334
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,0,0.95,0.9917531609535217
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,0,0.5,0.6178924441337585
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,0,0.8,0.9096148610115051
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,0,0.9,0.9722751379013062
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,0,0.95,0.9919610619544983
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,0,0.5,0.6263432502746582
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,0,0.8,0.9095685482025146
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,0,0.9,0.9704439043998718
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,0,0.95,0.9905740022659302
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,1,0.5,0.5434043407440186
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,1,0.8,0.8501471877098083
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,1,0.9,0.9391152858734131
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,1,0.95,0.9763456583023071
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,1,0.5,0.5697336196899414
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,1,0.8,0.8755674362182617
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,1,0.9,0.9553258419036865
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,1,0.95,0.9849223494529724
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,1,0.5,0.6136401891708374
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,1,0.8,0.9027206301689148
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,1,0.9,0.9676832556724548
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,1,0.95,0.9896580576896667
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,1,0.5,0.616949737071991
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,1,0.8,0.9036175012588501
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,1,0.9,0.9675604104995728
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,2,1,0.95,0.9893492460250854
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,2,0.5,0.5348069667816162
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,2,0.8,0.8481312990188599
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,2,0.9,0.9396089911460876
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,2,2,0.95,0.9771898984909058
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,2,0.5,0.5845441818237305
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,2,0.8,0.8869752883911133
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,2,0.9,0.9611684083938599
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,2,2,0.95,0.9873614311218262
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,2,0.5,0.6547459363937378
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,2,2,0.8,0.9296693205833435
