training_scheme,variant,variant_label,timesteps,model_seed,observation,nominal_coverage,analytical_coverage
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.5,0.5590773820877075
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.8,0.8580954074859619
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.9,0.9411838054656982
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,0,0.95,0.9759641885757446
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.5,0.6126521825790405
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.8,0.9006707668304443
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.9,0.9660663604736328
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,0,0.95,0.9887030124664307
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.5,0.6025933027267456
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.8,0.892349123954773
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.9,0.961159348487854
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,0,0.95,0.9862114787101746
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.5,0.5709307193756104
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.8,0.8668296337127686
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.9,0.9459617137908936
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,0,0.95,0.9782367944717407
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.5,0.5176292657852173
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.8,0.8260537981987
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.9,0.9231700897216797
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,1,0.95,0.9672496318817139
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.5,0.5861664414405823
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.8,0.8820992112159729
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.9,0.9566012620925903
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,1,0.95,0.9845963716506958
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.5,0.6052936315536499
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.8,0.8960630893707275
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.9,0.9639132022857666
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,1,0.95,0.9878422617912292
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.5,0.541334331035614
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.8,0.8412688970565796
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.9,0.9297523498535156
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,1,0.95,0.9691349267959595
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.5,0.5340769290924072
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.8,0.8447406888008118
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.9,0.9363231658935547
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,2,0.95,0.9748992323875427
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.5,0.5827955007553101
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.8,0.8844695091247559
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.9,0.9595116376876831
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,2,0.95,0.9865237474441528
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,2,0.5,0.6162487268447876
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,2,0.8,0.9037714004516602
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,2,0.9,0.9679158329963684
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,2,0.95,0.9896326065063477
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,2,0.5,0.5634280443191528
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,2,0.8,0.8608217239379883
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,2,0.9,0.9424091577529907
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,2,0.95,0.9763901233673096
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,3,0.5,0.32865816354751587
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,3,0.8,0.6462872624397278
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,3,0.9,0.8006851673126221
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,3,0.95,0.8939926028251648
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,3,0.5,0.38721027970314026
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,3,0.8,0.7288702726364136
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,3,0.9,0.870390772819519
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,3,0.95,0.9426723718643188
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,3,0.5,0.459804892539978
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,3,0.8,0.7934754490852356
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,3,0.9,0.9102362394332886
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,3,0.95,0.9635351896286011
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,3,0.5,0.4896216094493866
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,3,0.8,0.7972097396850586
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,3,0.9,0.9022180438041687
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,3,0.95,0.9539521932601929
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,4,0.5,0.33838510513305664
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,4,0.8,0.6390386819839478
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,4,0.9,0.786579966545105
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,4,0.95,0.8802647590637207
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,4,0.5,0.3723568022251129
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,4,0.8,0.7070295810699463
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,4,0.9,0.8535023927688599
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,4,0.95,0.9324031472206116
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,4,0.5,0.44688257575035095
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,4,0.8,0.7619553804397583
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,4,0.9,0.881023645401001
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,4,0.95,0.9428783655166626
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,4,0.5,0.4739508628845215
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,4,0.8,0.7796847820281982
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,4,0.9,0.8887622356414795
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,4,0.95,0.9449515342712402
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,5,0.5,0.5194714069366455
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,5,0.8,0.8276809453964233
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,5,0.9,0.924196183681488
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,5,0.95,0.9678100943565369
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,5,0.5,0.5432456135749817
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,5,0.8,0.8449914455413818
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,5,0.9,0.9338222146034241
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,5,0.95,0.9725856184959412
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,5,0.5,0.5833072662353516
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,5,0.8,0.8808966875076294
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,5,0.9,0.9561025500297546
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,5,0.95,0.9843535423278809
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,5,0.5,0.5463564395904541
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,5,0.8,0.8461657762527466
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,5,0.9,0.9331621527671814
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,5,0.95,0.9712243676185608
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,6,0.5,0.48504388332366943
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,6,0.8,0.7968928813934326
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,6,0.9,0.9047094583511353
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,6,0.95,0.9571751356124878
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,6,0.5,0.5588998794555664
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,6,0.8,0.8611685037612915
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,6,0.9,0.9453209638595581
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,6,0.95,0.9794825911521912
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,6,0.5,0.5727418065071106
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,6,0.8,0.8751868009567261
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,6,0.9,0.9538668394088745
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,6,0.95,0.9836781620979309
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,6,0.5,0.5552098751068115
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,6,0.8,0.8538475632667542
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,6,0.9,0.9380552172660828
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,6,0.95,0.973986029624939
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,7,0.5,0.3933989703655243
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,7,0.8,0.6964534521102905
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,7,0.9,0.8316362500190735
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,7,0.95,0.9122600555419922
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,7,0.5,0.440656453371048
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,7,0.8,0.7470659017562866
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,7,0.9,0.8699865937232971
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,7,0.95,0.9373894929885864
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,7,0.5,0.4995289444923401
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,7,0.8,0.8137562274932861
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,7,0.9,0.9174584150314331
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,7,0.95,0.965272068977356
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,7,0.5,0.53055340051651
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,7,0.8,0.8333494067192078
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,7,0.9,0.9255250692367554
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,7,0.95,0.9672445058822632
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,8,0.5,0.5598416328430176
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,8,0.8,0.8570433855056763
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,8,0.9,0.9399225115776062
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,8,0.95,0.9750620126724243
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,8,0.5,0.6169216632843018
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,8,0.8,0.903555154800415
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,8,0.9,0.9676579833030701
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,8,0.95,0.9894975423812866
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,8,0.5,0.6298849582672119
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,8,0.8,0.9115920066833496
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,8,0.9,0.9713429808616638
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,8,0.95,0.9909249544143677
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,8,0.5,0.58536696434021
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,8,0.8,0.878420889377594
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,8,0.9,0.9528608322143555
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,8,0.95,0.981864333152771
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,9,0.5,0.6471152305603027
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,9,0.8,0.9229691624641418
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,9,0.9,0.976942777633667
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,9,0.95,0.9932971596717834
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,9,0.5,0.6621114611625671
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,9,0.8,0.9315268993377686
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,9,0.9,0.9806874990463257
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,9,0.95,0.9947118163108826
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,9,0.5,0.6490317583084106
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,9,0.8,0.9237074851989746
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,9,0.9,0.977124810218811
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,9,0.95,0.9933081865310669
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,9,0.5,0.5694188475608826
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,9,0.8,0.8657717704772949
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,9,0.9,0.9454234838485718
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,9,0.95,0.9780095219612122
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,10,0.5,0.6213258504867554
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,10,0.8,0.9061744213104248
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,10,0.9,0.9687068462371826
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,10,0.95,0.9897959232330322
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,10,0.5,0.6178954839706421
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,10,0.8,0.903936505317688
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,10,0.9,0.9676113724708557
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,10,0.95,0.9893327951431274
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,10,0.5,0.636214017868042
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,10,0.8,0.9156717658042908
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,10,0.9,0.9733107089996338
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,10,0.95,0.9917410016059875
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,10,0.5,0.5781346559524536
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,10,0.8,0.8728993535041809
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,10,0.9,0.9497250914573669
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,10,0.95,0.9802989363670349
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,11,0.5,0.5381371974945068
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,11,0.8,0.8448233604431152
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,11,0.9,0.9355294108390808
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,11,0.95,0.974319577217102
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,11,0.5,0.5814958214759827
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,11,0.8,0.8836919069290161
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,11,0.9,0.9592597484588623
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,11,0.95,0.9864985346794128
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,11,0.5,0.6230049729347229
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,11,0.8,0.9051605463027954
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,11,0.9,0.9675165414810181
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,11,0.95,0.989057183265686
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,11,0.5,0.5792651772499084
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,11,0.8,0.8736251592636108
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,11,0.9,0.9500681757926941
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,11,0.95,0.9804341793060303
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,12,0.5,0.510226845741272
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,12,0.8,0.816045880317688
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,12,0.9,0.9164220690727234
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,12,0.95,0.9637826681137085
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,12,0.5,0.5292171835899353
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,12,0.8,0.8385496139526367
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,12,0.9,0.9327486753463745
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,12,0.95,0.9734774231910706
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,12,0.5,0.5997649431228638
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,12,0.8,0.8900915384292603
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,12,0.9,0.9601356387138367
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,12,0.95,0.985920786857605
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,12,0.5,0.5802625417709351
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,12,0.8,0.8745298385620117
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,12,0.9,0.9506931900978088
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,12,0.95,0.9808250665664673
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,13,0.5,0.5939556956291199
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,13,0.8,0.8866531848907471
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,13,0.9,0.9583232998847961
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,13,0.95,0.9849817752838135
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,13,0.5,0.638883113861084
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,13,0.8,0.9172161221504211
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,13,0.9,0.9739706516265869
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,13,0.95,0.9919734001159668
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,13,0.5,0.6213986873626709
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,13,0.8,0.9065617918968201
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,13,0.9,0.9690520763397217
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0,13,0.95,0.9900161027908325
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,13,0.5,0.5633403062820435
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,13,0.8,0.8604589700698853
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,13,0.9,0.9420217275619507
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0,13,0.95,0.9760814905166626
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,14,0.5,0.543220579624176
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,14,0.8,0.8453707098960876
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,14,0.9,0.9337522387504578
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0,14,0.95,0.9722007513046265
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,14,0.5,0.5908090472221375
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0,14,0.8,0.8862823247909546
