training_scheme,variant,variant_label,family,timesteps,runtime_s_median,mean_error_median,mean_error_lo,mean_error_hi,covariance_error_median,covariance_error_lo,covariance_error_hi,posterior_width_ratio_median,posterior_width_ratio_lo,posterior_width_ratio_hi
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0.10442078998312351,0.19191034138202664,0.10590744391083713,0.9229975044727327,0.30936749279499054,0.273970028758049,0.36490943729877473,,,
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0.13942086498718706,0.21132213622331614,0.15449575781822203,1.005109441280365,0.30192121863365173,0.258868408203125,0.3740422636270523,,,
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0.24017117099720048,0.16066119819879526,0.12217105031013487,0.8832851231098175,0.27137094736099243,0.234982892870903,0.31757561862468714,,,
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,50,0.4756292594829574,0.10252587124705309,0.06924310848116876,0.7570044755935669,0.1853531748056411,0.16250583827495568,0.23004282563924788,1.3361873626708984,1.3008873462677002,1.4492956280708313
mixture,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,100,0.9004488669452257,0.0822115875780582,0.027178615331649763,0.5402214229106903,0.1103084944188594,0.08401825800538057,0.14990008175373076,,,
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,5,2.7974006900039967,0.1740102022886276,0.11154338344931596,0.9729408681392668,0.3402245193719864,0.269526931643486,0.41850145757198326,,,
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,10,0.13811009202618146,0.15601791441440577,0.12737598270177836,0.8868929445743561,0.2862360030412674,0.2410073399543762,0.3446299523115158,,,
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,20,6.542478467483306,0.13004222139716146,0.08112959787249557,0.8570976316928863,0.2509521245956421,0.23153127431869502,0.3091056376695633,,,
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,50,0.47625647857785225,0.10093394294381136,0.060464813187718354,0.7156539499759674,0.22851431369781489,0.1970170706510543,0.28299271464347836,,,
mixture,dpm2_uniform,"DPM-2 + corrector, uniform t",Overall sampler,100,0.8964530560187995,0.07790499180555341,0.02681666836142536,0.5837768971920013,0.18742648512125015,0.1551881670951843,0.21548140048980707,,,
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,5,0.01541359801194625,0.2866533398628235,0.16117103844881056,1.2073356986045838,1.6187055110931396,1.4549136757850647,1.9211919069290162,,,
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,10,0.028401886462233898,0.16127897053956985,0.14056897461414333,0.9864829540252685,0.6104839742183685,0.5496915817260742,0.759904021024704,,,
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,20,0.06143884398625225,0.14018148928880686,0.10469846501946445,0.8157772779464721,0.3679390251636505,0.33573713898658747,0.44695683121681207,,,
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,50,0.14369602594524616,0.1215722598135471,0.08707947209477418,0.8544894218444824,0.2719907909631729,0.2329801574349403,0.3354990899562836,,,
mixture,em_log,"Euler--Maruyama, log sigma",Euler update,100,0.28775811800733203,0.14246813952922815,0.08349770531058308,0.8162090122699738,0.2430019751191139,0.20375528186559674,0.2957030326128006,,,
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,5,0.01498979199095625,0.2662963271141052,0.12548479661345482,1.1674528241157531,0.9769462645053864,0.8756033658981324,1.0564709424972534,,,
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,10,0.02813814592082045,0.18067383766174316,0.16267842650413508,1.0033334851264955,0.5733151435852051,0.4911367863416672,0.6935686409473419,,,
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,20,0.0616677515208721,0.15249368548393244,0.10936710163950912,0.8833675026893616,0.4150066524744034,0.36417970061302185,0.4804943084716796,,,
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,50,0.1440459905425086,0.13376520574092865,0.08597321510314938,0.8889748990535736,0.3170125484466553,0.28619166910648347,0.3774590790271759,,,
mixture,em_uniform,"Euler--Maruyama, uniform t",Euler update,100,0.28926773398416117,0.14327572286128995,0.08568151742219922,0.834849613904953,0.26133015751838684,0.2357462793588638,0.31712653338909147,,,
mixture,legacy_drift_euler,Legacy drift-only Euler,Euler update,5,0.01490358047885815,0.2187460958957672,0.1496581628918647,1.1355311632156373,0.13002167642116547,0.11796751096844674,0.13707492053508752,,,
mixture,legacy_drift_euler,Legacy drift-only Euler,Euler update,10,0.02749234251677985,0.16019472479820246,0.13737724870443344,0.978471577167511,0.14008387178182596,0.1297857016324997,0.14581310898065564,,,
mixture,legacy_drift_euler,Legacy drift-only Euler,Euler update,20,0.060496795980725396,0.145513504743576,0.09757270291447637,0.8703705728054046,0.14778525382280344,0.1380467668175697,0.15169772654771804,,,
mixture,legacy_drift_euler,Legacy drift-only Euler,Euler update,50,0.14102491748053575,0.134706825017929,0.10896085202693938,0.8641078054904938,0.1520454660058021,0.1417502701282501,0.16108360439538952,,,
mixture,legacy_drift_euler,Legacy drift-only Euler,Euler update,100,0.2839985145255923,0.12337639927864069,0.10210166871547696,0.8343683540821075,0.15540637075901026,0.14960165917873383,0.16358464956283567,,,
mixture,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,5,0.0140631284739356,0.3746235966682434,0.24500387907028193,1.3320602893829345,0.1664856523275375,0.13218839019536968,0.20035259723663326,,,
mixture,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,10,0.027007018506992553,0.33045800030231476,0.2187447503209114,1.2435287714004517,0.287502646446228,0.24285058826208109,0.3436949819326401,,,
mixture,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,0.0582821500138379,0.31724080443382263,0.22603216618299485,1.249850904941559,0.3059837520122528,0.2770695239305496,0.3448781490325928,,,
mixture,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,0.13654529006453225,0.3246283680200577,0.22155041247606272,1.2386550188064576,0.3013216257095337,0.2582392483949661,0.3887371808290481,,,
mixture,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,100,0.2759423400275409,0.29730401188135147,0.21527197659015654,1.2028778910636901,0.29487511515617365,0.2679806649684906,0.35663948655128475,,,
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0.0152034564816858,0.35254284739494324,0.24067436307668683,1.3108847737312317,0.14172580838203425,0.10717028081417078,0.17443405538797377,,,
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0.027677661506459048,0.30391429364681244,0.2061222597956657,1.2048557400703428,0.22695111483335495,0.19182268679141992,0.2872810065746307,,,
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0.06108845197013575,0.2945172190666199,0.2076964259147644,1.2129699826240539,0.2603911906480789,0.24095109999179834,0.30418241024017334,,,
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0.1409848310286179,0.3083813637495041,0.21160379350185396,1.207290744781494,0.2696322947740555,0.23119551837444302,0.35223967134952544,1.522337555885315,1.4297553420066833,1.6454104423522948
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,100,0.2829109624726698,0.28618215769529337,0.2073767215013504,1.181875514984131,0.2749885767698288,0.2479123324155807,0.3310071945190429,,,
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0.0146977920085191,0.31154216825962067,0.19867538064718246,1.2672605037689209,0.15273163467645645,0.1239417195320129,0.19125980436801904,,,
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0.0274646109901368,0.2707194536924362,0.19282347261905664,1.1737964510917664,0.24165245145559305,0.1990415424108505,0.29838265776634215,,,
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0.06040136999217785,0.28144724667072296,0.19543854743242262,1.1884730100631713,0.2606718838214874,0.2336334466934204,0.2993185102939605,,,
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0.13879791746148834,0.30164772272109985,0.20739881843328475,1.2006199955940247,0.2691043019294739,0.23098431676626202,0.353657841682434,,,
mixture,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,100,0.2793500469997525,0.2827139645814895,0.20472443252801892,1.178379690647125,0.27479176223278046,0.24825901985168458,0.3324693292379379,,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0.106328376015881,0.18432920426130295,0.11295123323798176,0.8721907675266266,0.24238521605730057,0.21378890872001646,0.29913867712020875,,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0.15108299150597299,0.19902271032333368,0.15038480907678597,0.9146234929561616,0.23548589646816248,0.19577328413724895,0.2832618176937103,,,
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,20,0.24394468998070806,0.15783867985010147,0.12651072740554806,0.8266994237899781,0.20429635792970655,0.17616604417562481,0.25361900031566614,,,
