training_scheme,variant,variant_label,timesteps,nominal_coverage,analytical_coverage_median,analytical_coverage_lo,analytical_coverage_hi
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.5,0.6465187072753906,0.476148760318756,0.6900453209877014
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.8,0.9234480857849121,0.8199271261692047,0.9465197861194611
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.9,0.9774109423160554,0.9304998457431792,0.9868923902511597
mixture,dpm2_log,"DPM-2 + corrector, log sigma",10,0.95,0.9936776459217072,0.9754876136779785,0.9969128668308257
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.5,0.6239615976810455,0.5101033747196198,0.6603096961975098
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.8,0.9074621200561523,0.8301253199577332,0.9306505143642425
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.9,0.9691698551177979,0.9297203600406646,0.9803351759910583
mixture,dpm2_log,"DPM-2 + corrector, log sigma",50,0.95,0.9899232983589172,0.9724086046218872,0.9945868492126464
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.5,0.555309534072876,0.3526740431785583,0.6380068600177765
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.8,0.8618152737617493,0.6959864735603333,0.9173967242240907
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.9,0.9465875327587128,0.8461880505084991,0.9743627369403839
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.95,0.9791817963123322,0.927642160654068,0.9922674834728242
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.5,0.5982092916965485,0.4086048066616058,0.6820101976394654
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.8,0.8942404985427856,0.7467282772064209,0.9425057411193848
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.9,0.9643821120262146,0.8810797452926635,0.9853235483169556
mixture,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.95,0.9885492622852325,0.9481383085250855,0.9963846743106843
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.5,0.6140838265419006,0.46665776968002315,0.6495088934898376
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.8,0.9022201597690582,0.794713419675827,0.9242612659931183
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.9,0.9673966467380524,0.9106281876564026,0.9774851620197297
uniform,dpm2_log,"DPM-2 + corrector, log sigma",10,0.95,0.9895578324794769,0.9635688185691834,0.9934946298599244
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.5,0.5731643438339233,0.487449511885643,0.5975126981735229
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.8,0.8689473271369934,0.7963545799255372,0.888288676738739
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.9,0.9473602771759033,0.9023482620716096,0.9587776601314545
uniform,dpm2_log,"DPM-2 + corrector, log sigma",50,0.95,0.9790620505809784,0.9548696041107178,0.984989869594574
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.5,0.5363096594810486,0.34339556694030754,0.6216429769992828
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.8,0.8447820246219635,0.6673752844333649,0.9064539074897766
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.9,0.9346408247947693,0.8275430798530579,0.9688794195652009
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",10,0.95,0.974123477935791,0.9141021370887755,0.9898868680000306
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.5,0.5787613093852997,0.4116426378488541,0.6517344355583191
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.8,0.8802910149097443,0.7370429575443268,0.9257066130638123
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.9,0.9560136795043946,0.8692420840263366,0.9781800091266633
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",50,0.95,0.9845155477523804,0.9384051203727722,0.993818724155426
