training_scheme,variant,model_seed,observation,repeat,timesteps,posterior_width_ratio,empirical_rms_width,analytic_rms_width
uniform,sigma_log_dpm,0,0,0,50,1.482290506362915,0.5145159959793091,0.34710875153541565
uniform,sigma_log_dpm,0,0,1,50,1.393378734588623,0.4836539328098297,0.34710875153541565
uniform,dpm2_log,0,0,0,50,1.1919169425964355,0.413724809885025,0.34710875153541565
uniform,dpm2_log,0,0,1,50,1.1763241291046143,0.4083123803138733,0.34710875153541565
uniform,sigma_log_dpm,0,1,0,50,1.4516019821166992,0.5038637518882751,0.34710875153541565
uniform,sigma_log_dpm,0,1,1,50,1.4503357410430908,0.5034242272377014,0.34710875153541565
uniform,dpm2_log,0,1,0,50,1.161882758140564,0.4032996892929077,0.34710875153541565
uniform,dpm2_log,0,1,1,50,1.1803295612335205,0.40970271825790405,0.34710875153541565
uniform,sigma_log_dpm,0,2,0,50,1.359440565109253,0.4718737006187439,0.34710875153541565
uniform,sigma_log_dpm,0,2,1,50,1.3429473638534546,0.4661487638950348,0.34710875153541565
uniform,dpm2_log,0,2,0,50,1.1719609498977661,0.4067978858947754,0.34710875153541565
uniform,dpm2_log,0,2,1,50,1.1536182165145874,0.40043097734451294,0.34710875153541565
uniform,sigma_log_dpm,0,3,0,50,1.5194566249847412,0.5274167060852051,0.34710875153541565
uniform,sigma_log_dpm,0,3,1,50,1.5295758247375488,0.5309291481971741,0.34710875153541565
uniform,dpm2_log,0,3,0,50,1.2423486709594727,0.4312300980091095,0.34710875153541565
uniform,dpm2_log,0,3,1,50,1.249190330505371,0.433604896068573,0.34710875153541565
uniform,sigma_log_dpm,1,0,0,50,1.5545835494995117,0.5396095514297485,0.34710875153541565
uniform,sigma_log_dpm,1,0,1,50,1.4546774625778198,0.5049312710762024,0.34710875153541565
uniform,dpm2_log,1,0,0,50,1.2602704763412476,0.43745091557502747,0.34710875153541565
uniform,dpm2_log,1,0,1,50,1.2450639009475708,0.43217259645462036,0.34710875153541565
uniform,sigma_log_dpm,1,1,0,50,1.5014301538467407,0.5211595296859741,0.34710875153541565
uniform,sigma_log_dpm,1,1,1,50,1.5055723190307617,0.5225973129272461,0.34710875153541565
uniform,dpm2_log,1,1,0,50,1.2276828289031982,0.4261394441127777,0.34710875153541565
uniform,dpm2_log,1,1,1,50,1.2445367574691772,0.4319896101951599,0.34710875153541565
