index,true_label,probability_Circle 1p,probability_Horizontally scaled circle 2p,probability_Axis-scaled circle 3p
0,0,0.7573076,0.20844811,0.034244295
1,0,0.685813,0.29902253,0.015164437
2,0,0.90764534,0.00027361137,0.092080995
3,0,0.9656285,0.018592754,0.015778687
4,0,0.9643201,0.0027787727,0.032901112
5,0,0.97029155,0.01636464,0.013343799
6,0,0.78293616,0.17542914,0.041634765
7,0,0.97291464,0.0069446177,0.020140786
8,0,0.6026394,0.33010876,0.06725188
9,0,0.91730404,0.00068534806,0.08201065
10,0,0.19096626,0.7884318,0.02060191
11,0,0.93318486,0.00017343856,0.06664171
12,0,0.96085864,0.0018387086,0.037302572
13,0,0.46316776,0.45819953,0.07863281
14,0,0.9185505,0.00035254878,0.08109694
15,0,0.6235115,0.3366794,0.039809156
16,0,0.96329725,0.0037007441,0.033002064
17,0,0.69807124,0.22871597,0.073212825
18,0,0.9410667,0.012305403,0.04662794
19,0,0.53439814,0.40265667,0.06294525
20,0,0.96854097,0.007798772,0.02366017
21,0,0.8962271,0.06575634,0.038016472
22,0,0.97458243,0.0047105593,0.020706978
23,0,0.7902186,0.13327944,0.076501966
24,0,0.65874267,0.27511635,0.06614099
25,0,0.60871184,0.29243955,0.098848596
26,0,0.9073873,0.0028212217,0.08979139
27,0,0.9295235,0.00030247006,0.0701739
28,0,0.9252653,0.00019382474,0.074540935
29,0,0.6912269,0.052500535,0.2562726
30,0,0.9548872,0.01644858,0.028664187
31,0,0.94291836,0.00061574334,0.05646592
32,0,0.30583254,0.6027115,0.09145599
33,0,0.001932474,0.821772,0.17629555
34,0,0.97438264,0.0043274844,0.021289852
35,0,0.95407724,0.001963265,0.04395943
36,0,0.8515559,0.13857049,0.009873568
37,0,0.9653073,0.009021883,0.025670866
38,0,0.9553678,0.0009514439,0.04368075
39,0,0.9217744,0.0014055171,0.07682002
40,0,0.4357636,0.4303802,0.13385616
41,0,0.5898002,0.36912072,0.041079104
42,0,0.6839678,0.24387048,0.07216171
43,0,0.79171824,0.15977241,0.04850934
44,0,0.84026974,0.101134114,0.058596108
45,0,0.9481285,0.0012073469,0.050664093
46,0,0.93509424,0.050684657,0.014221097
47,0,0.69914156,0.23678404,0.06407438
48,0,0.9519366,0.0007420243,0.047321398
49,0,0.926296,0.00019007771,0.07351397
50,0,0.44678345,0.5064868,0.046729773
51,0,0.8160669,0.17413594,0.009797193
52,0,0.81072414,0.1685169,0.02075896
53,0,0.78934145,0.19687408,0.0137843955
54,0,0.23166393,0.69778013,0.0705559
55,0,0.9631314,0.0013236933,0.03554491
56,0,0.9058391,0.0035222329,0.09063865
57,0,0.7525491,0.20927939,0.03817139
58,0,0.49338007,0.43550044,0.07111945
59,0,0.7383408,0.23224302,0.029416176
60,0,0.7538572,0.0015264668,0.2446163
61,0,0.79008913,0.004762466,0.20514843
62,0,0.93378705,0.00018554338,0.06602737
63,0,0.94279647,0.0034772018,0.053726297
64,0,0.89086044,0.00045058923,0.10868904
65,0,0.32500255,0.5975201,0.07747733
66,0,0.50156105,0.45411223,0.044326805
67,0,0.9245254,0.0004561827,0.07501847
68,0,0.944845,0.0005555895,0.054599326
69,0,0.9372492,0.0005117829,0.06223901
70,0,0.9364878,0.04749063,0.016021637
71,0,0.810116,0.18015768,0.009726288
72,0,0.3707842,0.5644405,0.06477533
73,0,0.65205413,0.3035675,0.044378363
74,0,0.9214006,0.011606434,0.06699299
75,0,0.6179642,0.33962002,0.042415783
76,0,0.84328204,0.14628847,0.010429512
77,0,0.9634558,0.0147457225,0.021798473
78,0,0.82399917,0.16640799,0.009592917
79,0,0.95901996,0.021239864,0.019740213
80,0,0.2558386,0.016751293,0.7274101
81,0,0.922172,0.025431769,0.05239621
82,0,0.427671,0.0056876633,0.56664133
83,0,0.93383396,0.00544992,0.06071615
84,0,0.8905837,0.0011953528,0.108220965
85,0,0.8461037,0.0010742634,0.152822
86,0,0.94477296,0.04302338,0.012203647
87,0,0.62573117,0.36493945,0.009329415
88,0,0.4649779,0.47519663,0.059825506
89,0,0.96722955,0.0061061913,0.026664205
90,0,0.90702385,0.0003092091,0.09266692
91,0,0.9373404,0.041944608,0.020714987
92,0,0.94083184,0.047886122,0.011282113
93,0,0.59443605,0.36453402,0.041029993
94,0,0.7062285,0.25364974,0.040121775
95,0,0.48068544,0.47680584,0.042508684
96,0,0.7509485,0.22337203,0.025679532
97,0,0.83092785,0.003933854,0.1651383
98,0,0.95646083,0.0023097023,0.041229527
99,0,0.9291317,0.00018769421,0.070680566
100,0,0.90267885,0.0003359643,0.09698522
101,0,0.8366201,0.013160551,0.15021935
102,0,0.7237833,0.23283963,0.04337712
103,0,0.9292686,0.00017070214,0.07056068
104,0,0.96776766,0.011256844,0.0209756
105,0,0.9543457,0.0012846387,0.044369694
106,0,0.9581926,0.0057200575,0.03608739
107,0,0.9118481,0.0005478625,0.08760397
108,0,0.78227276,0.0016610275,0.21606623
109,0,0.823329,0.0010776905,0.17559336
110,0,0.7015671,0.23531304,0.0631198
111,0,0.17664154,0.15239507,0.67096335
112,0,0.9735555,0.0045376546,0.021906769
113,0,0.9033703,0.0002893507,0.09634031
114,0,0.829369,0.10494802,0.065682955
115,0,0.14636652,0.8170343,0.036599148
116,0,0.9687863,0.008724237,0.022489464
117,0,0.44168127,0.51289624,0.045422573
118,0,0.81036747,0.17231262,0.01731987
119,0,0.97012645,0.0075125983,0.0223609
120,1,0.09994925,0.8110367,0.089014046
121,1,5.843427e-08,0.70557266,0.2944272
122,1,7.8913376e-07,0.39970592,0.60029334
123,1,0.00027289573,0.9598408,0.039886322
124,1,0.39255935,0.55925477,0.048185885
125,1,0.00022533067,0.77350986,0.22626472
126,1,0.24854907,0.6585565,0.09289444
127,1,0.0043705953,0.9692814,0.026348012
128,1,1.168414e-05,0.73416376,0.2658245
