index,true_label,probability_Circle 1p,probability_Horizontally scaled circle 2p,probability_Axis-scaled circle 3p
0,0,0.79513115,0.1889749,0.015893953
1,0,0.8265538,0.16561353,0.007832628
2,0,0.6889515,0.29172498,0.019323489
3,0,0.4559237,0.4922616,0.05181469
4,0,0.72189105,0.2588785,0.019230444
5,0,0.79114836,0.16342945,0.0454222
6,0,0.8223773,0.1597223,0.017900368
7,0,0.83654106,0.1439031,0.019555787
8,0,0.7064853,0.28176755,0.011747224
9,0,0.812539,0.1698338,0.017627176
10,0,0.84953505,0.13635364,0.014111319
11,0,0.691144,0.28047562,0.028380448
12,0,0.7618895,0.19031139,0.047798973
13,0,0.7896914,0.20059824,0.009710378
14,0,0.7806502,0.20764649,0.011703288
15,0,0.77850056,0.20932491,0.012174534
16,0,0.76350945,0.2177234,0.018767118
17,0,0.81713504,0.17040451,0.012460368
18,0,0.84243363,0.14567052,0.011895818
19,0,0.7299783,0.25432804,0.015693687
20,0,0.81211376,0.14913447,0.038751807
21,0,0.824158,0.1550971,0.020744894
22,0,0.82800025,0.15524049,0.016759302
23,0,0.7741015,0.21000844,0.015890049
24,0,0.79849833,0.18560818,0.015893482
25,0,0.7647026,0.22114505,0.014152393
26,0,0.770938,0.21951199,0.009549993
27,0,0.78911865,0.195684,0.01519733
28,0,0.80776995,0.16583955,0.026390448
29,0,0.7284011,0.24715956,0.024439348
30,0,0.82859886,0.1476685,0.023732692
31,0,0.8190765,0.16108814,0.019835398
32,0,0.65513873,0.3089921,0.035869244
33,0,0.6579119,0.30529743,0.036790688
34,0,0.8112003,0.17661786,0.012181804
35,0,0.81166154,0.16327344,0.025065022
36,0,0.80764174,0.14605232,0.046305973
37,0,0.687299,0.27962655,0.033074453
38,0,0.8046665,0.18301713,0.012316382
39,0,0.8366282,0.15402776,0.009344092
40,0,0.80668116,0.16455221,0.028766654
41,0,0.8272526,0.14864145,0.02410591
42,0,0.8656381,0.120847724,0.013514165
43,0,0.7867962,0.2059636,0.0072401813
44,0,0.82249755,0.14739585,0.030106684
45,0,0.4313643,0.46513426,0.103501484
46,0,0.83484155,0.13506179,0.03009666
47,0,0.75031865,0.21279626,0.036885142
48,0,0.68415666,0.25911468,0.05672867
49,0,0.772072,0.21041021,0.017517772
50,0,0.8492183,0.13071239,0.020069284
51,0,0.7692565,0.21734184,0.013401678
52,0,0.8237509,0.16434763,0.011901514
53,0,0.8586382,0.12448219,0.016879627
54,0,0.7859266,0.17333183,0.040741578
55,0,0.8245974,0.14892456,0.026478034
56,0,0.77320176,0.21583052,0.010967697
57,0,0.8061468,0.1662951,0.027558098
58,0,0.7510558,0.22667208,0.022272218
59,0,0.7941552,0.19840519,0.0074395617
60,0,0.8010446,0.14756411,0.05139128
61,0,0.75433946,0.23013163,0.015528811
62,0,0.74309534,0.23739287,0.019511737
63,0,0.7967834,0.15795512,0.045261454
64,0,0.7977131,0.17183425,0.030452682
65,0,0.7735624,0.20751739,0.018920206
66,0,0.718998,0.2571919,0.023810158
67,0,0.7549461,0.22427213,0.020781774
68,0,0.8223805,0.16258085,0.015038755
69,0,0.80060875,0.17675385,0.022637427
70,0,0.8214506,0.13892305,0.039626468
71,0,0.79913807,0.17934622,0.02151576
72,0,0.7351852,0.2547419,0.010072887
73,0,0.7972906,0.19119897,0.0115103545
74,0,0.8549519,0.12940134,0.015646728
75,0,0.6867116,0.2737868,0.039501574
76,0,0.82931244,0.16105485,0.009632728
77,0,0.8042527,0.18393552,0.011811814
78,0,0.8097414,0.15823969,0.032018937
79,0,0.81357235,0.17034897,0.016078653
80,0,0.6077776,0.3518952,0.04032715
81,0,0.7695157,0.21626876,0.0142155485
82,0,0.80256003,0.18175037,0.015689533
83,0,0.79998034,0.18930577,0.010713876
84,0,0.77808505,0.19968238,0.022232605
85,0,0.79237443,0.19929382,0.008331777
86,0,0.63016737,0.32946005,0.040372536
87,0,0.72376657,0.23718807,0.039045382
88,0,0.7647278,0.22269492,0.012577382
89,0,0.81996983,0.16290072,0.017129451
90,0,0.77301985,0.18209499,0.044885166
91,0,0.8349177,0.15253785,0.012544487
92,0,0.85228777,0.13102043,0.01669182
93,0,0.7563344,0.22524217,0.018423373
94,0,0.67072445,0.28873482,0.040540684
95,0,0.84091246,0.1379867,0.021100916
96,0,0.6485611,0.33839428,0.013044618
97,0,0.79341,0.19865632,0.007933751
98,0,0.38751456,0.5525759,0.05990948
99,0,0.72013015,0.26340473,0.016465135
100,0,0.79384565,0.15916502,0.046989344
101,0,0.8466782,0.13952655,0.013795285
102,0,0.7733671,0.19607346,0.03055946
103,0,0.7929695,0.1894452,0.017585287
104,0,0.7509509,0.23496635,0.014082819
105,0,0.8359758,0.14912531,0.014898815
106,0,0.75282955,0.23127587,0.015894651
107,0,0.7227789,0.26285946,0.0143616265
108,0,0.74724966,0.23739727,0.015353143
109,0,0.6976722,0.2848679,0.017459946
110,0,0.83420056,0.1479113,0.017888209
111,0,0.80929583,0.16536851,0.025335612
112,0,0.8158667,0.1567616,0.027371654
