index,true_label,probability_Circle 1p,probability_Horizontally scaled circle 2p,probability_Axis-scaled circle 3p
0,0,0.9440065,0.046386506,0.0096069295
1,0,0.16096896,0.5262406,0.31279045
2,0,0.8402064,0.10516196,0.054631706
3,0,0.7821391,0.18026419,0.03759667
4,0,0.9330653,0.045048717,0.021885952
5,0,0.53814024,0.27526057,0.18659917
6,0,0.10814623,0.6034533,0.28840053
7,0,0.59466887,0.27271745,0.13261372
8,0,0.9135138,0.047278192,0.03920797
9,0,0.754886,0.17565703,0.06945701
10,0,0.81199867,0.117656276,0.070345044
11,0,0.5061568,0.39510104,0.09874211
12,0,0.40129864,0.48115316,0.11754816
13,0,0.59730786,0.2181713,0.18452084
14,0,0.88985586,0.09933575,0.010808382
15,0,0.9607436,0.028076239,0.011180152
16,0,0.15429212,0.48916516,0.35654274
17,0,0.51248497,0.4118393,0.07567566
18,0,0.8481547,0.10970074,0.04214447
19,0,0.7599369,0.12707756,0.112985514
20,0,0.6325957,0.27249533,0.09490897
21,0,0.60245895,0.18766077,0.20988028
22,0,0.6963577,0.21753009,0.08611215
23,0,0.93762213,0.051834237,0.010543632
24,0,0.53899497,0.42295328,0.038051773
25,0,0.41334298,0.4224804,0.16417667
26,0,0.95846397,0.030175237,0.011360791
27,0,0.88220465,0.10668133,0.011114
28,0,0.8219154,0.1513446,0.026739988
29,0,0.29784366,0.62714744,0.07500888
30,0,0.5995565,0.18239003,0.21805345
31,0,0.40518415,0.46220294,0.13261285
32,0,0.7423048,0.1925524,0.06514283
33,0,0.51897997,0.4402551,0.040764954
34,0,0.66760594,0.22441803,0.10797598
35,0,0.8964159,0.092323914,0.011260206
36,0,0.6919781,0.15430322,0.15371872
37,0,0.76079154,0.18374492,0.055463597
38,0,0.81754047,0.09630166,0.08615782
39,0,0.6104225,0.31089276,0.078684695
40,0,0.90781343,0.05888454,0.033302017
41,0,0.7483309,0.15886118,0.092808016
42,0,0.8552285,0.11550376,0.029267743
43,0,0.5725465,0.33315152,0.09430205
44,0,0.8920077,0.08707462,0.020917708
45,0,0.95468163,0.035342023,0.009976285
46,0,0.81857806,0.16451031,0.016911598
47,0,0.8418369,0.14347722,0.014685838
48,0,0.8830985,0.094471686,0.0224299
49,0,0.7261527,0.23982239,0.03402495
50,0,0.94939053,0.03265904,0.01795041
51,0,0.82518303,0.122580886,0.0522361
52,0,0.9191066,0.057204343,0.023689082
53,0,0.6574683,0.2103426,0.1321891
54,0,0.36919725,0.4560747,0.17472805
55,0,0.5510484,0.3431239,0.10582768
56,0,0.70912033,0.11862027,0.17225939
57,0,0.8088956,0.16080259,0.030301794
58,0,0.7304222,0.12745166,0.14212613
59,0,0.9193799,0.06312859,0.017491465
60,0,0.6895452,0.14181203,0.16864276
61,0,0.7616852,0.19327445,0.045040403
62,0,0.9279841,0.05538742,0.016628494
63,0,0.3981472,0.5288156,0.073037125
64,0,0.8943053,0.083027,0.022667645
65,0,0.87612337,0.11317138,0.010705228
66,0,0.870544,0.09626871,0.033187296
67,0,0.44508293,0.37490654,0.18001048
68,0,0.71674097,0.20246117,0.08079786
69,0,0.5065472,0.42798027,0.06547251
70,0,0.06099722,0.7492529,0.18974982
71,0,0.9667741,0.023231838,0.009994157
72,0,0.35062885,0.58799034,0.061380796
73,0,0.9422713,0.04205271,0.015676009
74,0,0.915486,0.05890038,0.02561366
75,0,0.72203743,0.21072099,0.0672415
76,0,0.711499,0.20488738,0.08361365
77,0,0.943487,0.030152649,0.026360413
78,0,0.5430943,0.39984253,0.057063174
79,0,0.34892392,0.46957773,0.18149836
80,0,0.766749,0.094747394,0.13850355
81,0,0.71303225,0.18357487,0.10339291
82,0,0.39361697,0.51682067,0.08956237
83,0,0.48926917,0.2760292,0.23470171
84,0,0.82067657,0.13710268,0.04222067
85,0,0.1062411,0.7634439,0.13031502
86,0,0.79234123,0.122458,0.085200734
87,0,0.591952,0.30197504,0.106072985
88,0,0.5121163,0.38074243,0.10714127
89,0,0.9205746,0.035028633,0.044396773
90,0,0.69510376,0.17563938,0.12925689
91,0,0.6297145,0.33088815,0.039397374
92,0,0.5379755,0.27286187,0.18916264
93,0,0.83455664,0.10654823,0.05889511
94,0,0.8227096,0.12400132,0.05328904
95,0,0.93491584,0.031993456,0.033090718
96,0,0.47355685,0.2914678,0.23497535
97,0,0.29614422,0.5701853,0.13367039
98,0,0.95092064,0.024394426,0.024684934
99,0,0.74060804,0.23275414,0.026637807
100,1,0.6254702,0.3023745,0.07215525
101,1,0.6564472,0.29440325,0.049149588
102,1,0.6677341,0.25682923,0.07543665
103,1,0.6583171,0.28720057,0.054482356
104,1,0.5023743,0.44206935,0.055556357
105,1,0.6587451,0.26697746,0.0742774
106,1,0.63680285,0.2723363,0.09086083
107,1,0.6683389,0.24262819,0.08903295
108,1,0.6513004,0.27464122,0.07405842
109,1,0.67414844,0.26033843,0.06551322
110,1,0.6763729,0.25410756,0.069519505
111,1,0.67162764,0.28014028,0.0482321
112,1,0.64510924,0.30305463,0.051836144
113,1,0.6694509,0.27145043,0.059098598
114,1,0.6499339,0.2786685,0.07139768
115,1,0.59628356,0.2885154,0.11520112
116,1,0.671589,0.270138,0.058273032
117,1,0.5008121,0.45130387,0.047884036
118,1,0.6532998,0.26680255,0.07989769
119,1,0.68849987,0.2580702,0.053429883
120,1,0.6696949,0.26747143,0.062833704
121,1,0.62147593,0.30881342,0.06971064
122,1,0.6477695,0.2898443,0.06238624
123,1,0.6759835,0.24618794,0.07782859
124,1,0.672672,0.256904,0.07042399
125,1,0.6992439,0.23885384,0.061902266
126,1,0.6473649,0.2991257,0.05350941
127,1,0.6424283,0.27120632,0.0863654
128,1,0.6735982,0.26342404,0.06297772
129,1,0.63712984,0.29284713,0.070022985
130,1,0.6900926,0.2350565,0.07485088
131,1,0.6184825,0.29706302,0.08445452
132,1,0.5350381,0.39058095,0.074381
133,1,0.61551267,0.32577962,0.05870775
134,1,0.538212,0.41651338,0.045274626
135,1,0.65485436,0.29584694,0.049298756
136,1,0.6408053,0.30148587,0.05770882
137,1,0.6496539,0.27538782,0.074958235
138,1,0.67652404,0.2640992,0.059376698
139,1,0.6673582,0.26538977,0.06725202
140,1,0.66128665,0.26958647,0.0691269
141,1,0.6890571,0.24979007,0.06115282
142,1,0.6663984,0.27682424,0.056777336
143,1,0.649574,0.27246845,0.077957556
144,1,0.66126424,0.28602824,0.05270745
145,1,0.7159425,0.23007995,0.053977568
146,1,0.54068536,0.41189763,0.047417052
147,1,0.6834986,0.262018,0.05448336
148,1,0.71315604,0.21357408,0.07326987
149,1,0.636162,0.30600777,0.05783024
150,1,0.69355327,0.24992092,0.05652576
151,1,0.6321801,0.3128995,0.05492041
152,1,0.65946054,0.2750564,0.06548302
153,1,0.65829676,0.2653944,0.07630883
154,1,0.6710155,0.25240254,0.07658193
155,1,0.6408749,0.27947563,0.07964947
156,1,0.5550806,0.386066,0.05885339
157,1,0.6933526,0.2540866,0.052560806
158,1,0.69222474,0.25493968,0.052835587
159,1,0.6316607,0.2853361,0.08300323
160,1,0.6556986,0.29250544,0.051796004
161,1,0.6282799,0.31403682,0.057683256
162,1,0.5795336,0.3566553,0.063811176
163,1,0.6578364,0.2640835,0.07808012
164,1,0.6739503,0.2499519,0.07609773
165,1,0.69736344,0.24759315,0.055043384
166,1,0.5495091,0.40256524,0.047925673
167,1,0.50010645,0.42915857,0.07073494
168,1,0.66616017,0.27583206,0.058007725
169,1,0.68482053,0.26019263,0.05498684
170,1,0.7064873,0.2280138,0.06549893
171,1,0.6737867,0.24088275,0.0853306
172,1,0.63471276,0.30186617,0.063421056
173,1,0.6008371,0.34149486,0.057668064
174,1,0.6823294,0.24534065,0.07232995
175,1,0.5053866,0.42517117,0.06944225
176,1,0.5612351,0.32877716,0.10998777
177,1,0.65657437,0.28624082,0.057184804
178,1,0.6700807,0.23991032,0.09000896
179,1,0.7220311,0.23355019,0.044418782
180,1,0.57609695,0.33895066,0.08495235
181,1,0.6627826,0.2538827,0.0833347
182,1,0.64581674,0.25980648,0.09437681
183,1,0.56731415,0.33084762,0.1018383
184,1,0.6302323,0.29095083,0.07881691
185,1,0.6083586,0.3122894,0.07935194
