comparison_index,true_model,run_index,selected_model,correct,probability_percent_Logistic Prey,probability_percent_Satiated Predator,probability_percent_Rosenzweig-MacArthur,probability_percent_Lotka-Volterra,aic_Logistic Prey,aic_Satiated Predator,aic_Rosenzweig-MacArthur,aic_Lotka-Volterra
1,Logistic Prey,1,Logistic Prey,True,100.0,0.0,8.542853535686845e-07,1.0387903644909491e-10,114.51821899414062,-42.536705017089844,95.94004821777344,86.92525482177734
2,Logistic Prey,2,Logistic Prey,True,99.79561567306519,0.0,0.20437913481146097,1.4128114322965294e-17,114.922119140625,-22.4759521484375,108.73121643066406,71.5206298828125
3,Logistic Prey,3,Logistic Prey,True,85.96554398536682,0.0,14.03445303440094,4.9918850500766576e-20,108.21324920654297,-44.39091491699219,106.40081787109375,59.31541442871094
4,Logistic Prey,4,Logistic Prey,True,99.84292387962341,0.0,0.1570681342855096,2.2649186671129529e-13,104.87627410888672,-37.35920715332031,98.42160034179688,71.15660858154297
5,Satiated Predator,1,Lotka-Volterra,False,0.0,0.0,9.701853798516229e-26,100.0,-153.478515625,-275.2476806640625,-20.719736099243164,41.48033142089844
6,Satiated Predator,2,Lotka-Volterra,False,0.0,0.0,0.0,100.0,-3296.44384765625,-3295.42919921875,-2104.644287109375,-594.5662841796875
7,Satiated Predator,3,Satiated Predator,True,0.0,100.0,0.0,0.0,-1399.9114990234375,-371.51336669921875,-922.3301391601562,-663.6185913085938
8,Satiated Predator,4,Lotka-Volterra,False,0.0,0.0,0.0,100.0,-1876.804443359375,-3350.67626953125,-1735.678955078125,-430.87554931640625
9,Rosenzweig-MacArthur,1,Rosenzweig-MacArthur,True,0.018140979227609932,0.0,99.98186230659485,1.0140232905198228e-12,93.2031021118164,-118.49090576171875,101.81767272949219,69.59558868408203
10,Rosenzweig-MacArthur,2,Logistic Prey,False,89.08985257148743,0.0,10.910141468048096,6.467958547223818e-10,99.39330291748047,-34.78342056274414,97.29335021972656,73.74466705322266
11,Rosenzweig-MacArthur,3,Rosenzweig-MacArthur,True,0.900746788829565,0.0,99.0992546081543,2.3279638722757597e-20,94.02685546875,-24.798892974853516,98.72750854492188,48.924678802490234
12,Rosenzweig-MacArthur,4,Rosenzweig-MacArthur,True,0.000282232554127404,0.0,99.99971389770508,7.160306916090134e-20,92.69784545898438,-85.25894927978516,105.47579193115234,56.7874755859375
13,Lotka-Volterra,1,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-220.666259765625,-598.950927734375,-81.4415512084961,50.16404342651367
14,Lotka-Volterra,2,Lotka-Volterra,True,5.4525677916813236e-36,0.0,2.4597607471164454e-25,100.0,14.553135871887207,-280.79669189453125,39.08555221557617,100.35528564453125
15,Lotka-Volterra,3,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-325.70538330078125,-1105.1611328125,-98.12083435058594,44.471221923828125
16,Lotka-Volterra,4,Lotka-Volterra,True,0.0001405112584507151,0.0,0.00041489302020636387,99.99943971633911,72.02703857421875,-265.1416015625,73.10977172851562,85.50242614746094
